<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZRE_PE,D,20080611,000000,147.6,147.6,147.6,147.6,0,0
ZRE_PE,D,20090310,000000,93.2,93.2,93.2,93.2,0,0
ZRE_PE,D,20090311,000000,94.4,101.1,93.3,97.6,0,0
ZRE_PE,D,20090312,000000,94.4,94.4,90,94.3,0,0
ZRE_PE,D,20090313,000000,95.6,95.6,89.8,89.8,0,0
ZRE_PE,D,20090316,000000,90,90,86.5,86.5,0,0
ZRE_PE,D,20090317,000000,86.7,88.9,86.7,88.7,0,0
ZRE_PE,D,20090318,000000,88.9,88.9,85.4,85.4,0,0
ZRE_PE,D,20090319,000000,86.7,88.9,86.7,88.7,0,0
ZRE_PE,D,20090320,000000,84.4,90,84.4,89.8,0,0
ZRE_PE,D,20090323,000000,90,93.3,85.6,92.1,0,0
ZRE_PE,D,20090324,000000,93.3,93.3,90,92.1,0,0
ZRE_PE,D,20090325,000000,88.9,92.2,88.9,91,0,0
ZRE_PE,D,20090326,000000,92.2,101.1,90,98.7,0,0
ZRE_PE,D,20090327,000000,100,100,92.2,96.5,0,0
ZRE_PE,D,20090330,000000,93.3,93.3,90,92.1,0,0
ZRE_PE,D,20090331,000000,91.1,93.3,91.1,93.2,0,0
ZRE_PE,D,20090401,000000,94.4,94.4,94.4,94.4,0,0
ZRE_PE,D,20090402,000000,94.3,94.3,94.3,94.3,0,0
ZRE_PE,D,20090403,000000,94.4,94.4,91.1,93.2,0,0
ZRE_PE,D,20090406,000000,93.3,96.7,92.2,95.4,0,0
ZRE_PE,D,20090407,000000,96.7,96.7,91.1,94.3,0,0
ZRE_PE,D,20090408,000000,95.6,98.9,95.6,98.7,0,0
ZRE_PE,D,20090409,000000,98.9,98.9,95.6,98.7,0,0
ZRE_PE,D,20090414,000000,98.9,102.2,98.7,100.9,0,0
ZRE_PE,D,20090415,000000,103.3,113.3,103.3,113.1,0,0
ZRE_PE,D,20090416,000000,115.6,143.3,113.1,133.1,0,0
ZRE_PE,D,20090417,000000,137.8,137.8,126.7,133.1,0,0
ZRE_PE,D,20090420,000000,144.4,144.4,130,137.5,0,0
ZRE_PE,D,20090421,000000,126.7,142.2,126.7,142,0,0
ZRE_PE,D,20090422,000000,142.2,151.1,134.4,138.6,0,0
ZRE_PE,D,20090423,000000,140,144.4,136.7,142,0,0
ZRE_PE,D,20090424,000000,138.9,145.6,138.9,140.9,0,0
ZRE_PE,D,20090427,000000,145.6,145.6,141.1,143.1,0,0
ZRE_PE,D,20090428,000000,136.7,138.9,130,138.6,0,0
ZRE_PE,D,20090429,000000,140,141.1,137.8,139.8,0,0
ZRE_PE,D,20090430,000000,142.2,142.2,133.3,139.8,0,0
ZRE_PE,D,20090504,000000,137.8,142.2,137.8,139.8,0,0
ZRE_PE,D,20090505,000000,140,144.4,136.7,140.9,0,0
ZRE_PE,D,20090506,000000,141.1,144.4,134.4,139.8,0,0
ZRE_PE,D,20090507,000000,138.9,145.6,132.1,132.1,0,0
ZRE_PE,D,20090508,000000,131.6,147.4,33.3,33.3,0,0
ZRE_PE,D,20090511,000000,35,39,35,39,0,0
ZRE_PE,D,20090512,000000,40.2,40.2,36.8,38,0,0
ZRE_PE,D,20090513,000000,39.2,39.2,33.6,35.1,0,0
ZRE_PE,D,20090514,000000,34.6,37.1,34.4,37,0,0
ZRE_PE,D,20090515,000000,37.3,38,36.3,36.5,0,0
ZRE_PE,D,20090518,000000,34.6,36,34.3,34.3,0,0
ZRE_PE,D,20090519,000000,34.3,35.5,33.8,34.6,0,0
ZRE_PE,D,20090520,000000,34.6,35.3,33.3,34.6,0,0
ZRE_PE,D,20090521,000000,33.3,34.3,32.1,32.4,0,0
ZRE_PE,D,20090522,000000,31.2,33.2,31.2,31.6,0,0
ZRE_PE,D,20090525,000000,30.6,31.6,29.4,29.9,0,0
ZRE_PE,D,20090526,000000,29.9,30.4,28.2,28.4,0,0
ZRE_PE,D,20090527,000000,29.4,30.4,28.4,30.4,0,0
ZRE_PE,D,20090528,000000,30.4,36.3,30.1,35.3,0,0
ZRE_PE,D,20090529,000000,35.8,35.8,31.9,32.4,0,0
ZRE_PE,D,20090601,000000,34.2,34.2,32.1,32.1,0,0
ZRE_PE,D,20090602,000000,32.6,32.6,31.1,32.1,0,0
ZRE_PE,D,20090603,000000,32.4,32.4,30.6,31.9,0,0
ZRE_PE,D,20090604,000000,31.6,31.9,30.6,31.4,0,0
ZRE_PE,D,20090605,000000,31.4,31.6,30.6,31.1,0,0
ZRE_PE,D,20090608,000000,31.1,31.1,29.2,30.4,0,0
ZRE_PE,D,20090609,000000,30.4,30.4,28.7,29.9,0,0
ZRE_PE,D,20090610,000000,30.4,30.6,28.7,29.7,0,0
ZRE_PE,D,20090612,000000,29.5,30.2,28.7,30.2,0,0
ZRE_PE,D,20090615,000000,30.2,30.2,29.5,29.9,0,0
ZRE_PE,D,20090616,000000,30.1,32.1,28.7,32.1,0,0
ZRE_PE,D,20090617,000000,32.1,32.1,30.1,30.9,0,0
ZRE_PE,D,20090618,000000,30.9,30.9,28.9,29.4,0,0
ZRE_PE,D,20090619,000000,29.2,30.6,28.7,30.2,0,0
ZRE_PE,D,20090622,000000,31.2,31.2,28.7,28.7,0,0
ZRE_PE,D,20090623,000000,28.7,28.7,26,26,0,0
ZRE_PE,D,20090624,000000,27,28.4,27,28.2,0,0
ZRE_PE,D,20090625,000000,28.7,29.9,28.7,29.7,0,0
ZRE_PE,D,20090626,000000,29.7,29.7,27.8,28.9,0,0
ZRE_PE,D,20090629,000000,28.9,28.9,28.2,28.9,0,0
ZRE_PE,D,20090630,000000,28.9,29.7,28.4,29.2,0,0
ZRE_PE,D,20090701,000000,27.2,28.7,27.2,28.2,0,0
ZRE_PE,D,20090702,000000,29.2,29.2,27.5,28.7,0,0
ZRE_PE,D,20090703,000000,28.2,28.7,24.5,26.5,0,0
ZRE_PE,D,20090706,000000,26.5,26.5,25,26,0,0
ZRE_PE,D,20090707,000000,26,26.2,25.2,25.7,0,0
ZRE_PE,D,20090708,000000,25.7,25.7,24.9,25.5,0,0
ZRE_PE,D,20090709,000000,25.2,25.5,24.8,25.5,0,0
ZRE_PE,D,20090710,000000,25.5,26.2,25.5,26.2,0,0
ZRE_PE,D,20090713,000000,26.5,26.5,25.2,26,0,0
ZRE_PE,D,20090714,000000,25.2,29.9,25.2,29.4,0,0
ZRE_PE,D,20090715,000000,29.9,30.1,28.4,28.9,0,0
ZRE_PE,D,20090716,000000,29.7,29.7,27.5,27.9,0,0
ZRE_PE,D,20090717,000000,28.4,28.4,27.6,28.2,0,0
ZRE_PE,D,20090720,000000,28.2,28.7,28.2,28.4,0,0
ZRE_PE,D,20090721,000000,28.4,28.4,26.7,27.2,0,0
ZRE_PE,D,20090722,000000,26.7,27.5,26,27.5,0,0
ZRE_PE,D,20090723,000000,27.5,28,26.5,27.5,0,0
ZRE_PE,D,20090724,000000,27.5,28.3,27,27.5,0,0
ZRE_PE,D,20090727,000000,28,28,26.8,27.2,0,0
ZRE_PE,D,20090728,000000,27,31.1,27,29.4,0,0
ZRE_PE,D,20090729,000000,29.4,29.7,28.2,28.4,0,0
ZRE_PE,D,20090730,000000,29.4,29.4,27.9,28.4,0,0
ZRE_PE,D,20090731,000000,28.9,28.9,27.7,28.4,0,0
ZRE_PE,D,20090803,000000,29.4,32.4,28.7,32.4,0,0
ZRE_PE,D,20090804,000000,33.9,33.9,31.9,32.6,0,0
ZRE_PE,D,20090805,000000,31.9,33.3,31.1,32.6,0,0
ZRE_PE,D,20090806,000000,33.1,33.8,31.6,33.8,0,0
ZRE_PE,D,20090807,000000,33.6,33.8,31.6,32.4,0,0
ZRE_PE,D,20090810,000000,32.7,32.7,31,31.6,0,0
ZRE_PE,D,20090811,000000,31.6,31.6,28.9,29.4,0,0
ZRE_PE,D,20090812,000000,29.2,29.4,27,28.4,0,0
ZRE_PE,D,20090813,000000,29.2,29.2,27.9,28.2,0,0
ZRE_PE,D,20090814,000000,28.4,28.9,28.2,28.7,0,0
ZRE_PE,D,20090817,000000,28.2,28.9,27.7,28.4,0,0
ZRE_PE,D,20090818,000000,28.4,28.4,27.9,28.4,0,0
ZRE_PE,D,20090819,000000,28.4,29.7,28.2,29.2,0,0
ZRE_PE,D,20090820,000000,29.4,30.4,29.4,30.4,0,0
ZRE_PE,D,20090821,000000,30.6,31.1,30.6,31.1,0,0
ZRE_PE,D,20090824,000000,30.6,30.6,29.9,30.4,0,0
ZRE_PE,D,20090825,000000,30.4,30.4,29.7,29.7,0,0
ZRE_PE,D,20090826,000000,29.7,29.7,28.7,29.2,0,0
ZRE_PE,D,20090827,000000,28.7,29.9,28.7,29.4,0,0
ZRE_PE,D,20090828,000000,29.9,30.4,29.7,29.7,0,0
ZRE_PE,D,20090831,000000,30,30.5,29.5,30.5,0,0
ZRE_PE,D,20090901,000000,30.2,30.2,28.3,29.2,0,0
ZRE_PE,D,20090902,000000,28.4,29.2,26.7,26.7,0,0
ZRE_PE,D,20090903,000000,27.5,27.7,27,27,0,0
ZRE_PE,D,20090904,000000,27.8,28.5,15.7,15.7,0,0
ZRE_PE,D,20090907,000000,15.8,16.3,15.6,16.1,0,0
ZRE_PE,D,20090908,000000,16.4,16.4,15.8,15.8,0,0
ZRE_PE,D,20090909,000000,15.8,15.8,15.2,15.4,0,0
ZRE_PE,D,20090910,000000,15.8,15.8,15.3,15.4,0,0
ZRE_PE,D,20090911,000000,15.4,15.4,15.1,15.4,0,0
ZRE_PE,D,20090914,000000,15.4,15.4,14.6,14.9,0,0
ZRE_PE,D,20090915,000000,14.9,15.3,14.9,15.3,0,0
ZRE_PE,D,20090916,000000,15.4,15.6,15.2,15.3,0,0
ZRE_PE,D,20090917,000000,15.3,15.3,14.9,14.9,0,0
ZRE_PE,D,20090918,000000,15.2,15.4,15.2,15.2,0,0
ZRE_PE,D,20090921,000000,15.5,15.5,14.9,15.2,0,0
ZRE_PE,D,20090922,000000,15.2,15.3,14.8,15.3,0,0
ZRE_PE,D,20090923,000000,15.3,15.4,15.2,15.3,0,0
ZRE_PE,D,20090924,000000,15.2,15.3,15,15.2,0,0
ZRE_PE,D,20090925,000000,15.1,15.9,15.1,15.8,0,0
ZRE_PE,D,20090928,000000,15.9,16.9,15.9,16.5,0,0
ZRE_PE,D,20090929,000000,17.1,17.1,16.4,16.4,0,0
ZRE_PE,D,20090930,000000,16.4,16.4,15.3,15.3,0,0
ZRE_PE,D,20091001,000000,15.6,15.7,15.3,15.3,0,0
ZRE_PE,D,20091002,000000,15.3,15.6,15,15.4,0,0
ZRE_PE,D,20091005,000000,15.4,15.7,15.1,15.4,0,0
