<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TBL_PB,D,20161103,000000,25.75,25.75,25.75,25.75,0,0
TBL_PB,D,20161104,000000,28.16,33.4,27.23,32.76,0,0
TBL_PB,D,20161107,000000,35.68,35.68,29.98,29.98,0,0
TBL_PB,D,20161108,000000,29.58,31.13,27.44,29.43,0,0
TBL_PB,D,20161109,000000,29.13,31.67,29.13,31.67,0,0
TBL_PB,D,20161110,000000,31.66,32.29,29.56,31.67,0,0
TBL_PB,D,20161114,000000,32.09,33.13,31.67,32.72,0,0
TBL_PB,D,20161115,000000,32.72,32.92,31.67,32.9,0,0
TBL_PB,D,20161116,000000,32.72,32.91,32.72,32.91,0,0
TBL_PB,D,20161117,000000,32.91,33.04,32.91,33.04,0,0
TBL_PB,D,20161118,000000,32.93,33.14,32.93,33.14,0,0
TBL_PB,D,20161121,000000,34.41,35.02,33.78,34.83,0,0
TBL_PB,D,20161122,000000,35.02,35.76,34.83,35.76,0,0
TBL_PB,D,20161123,000000,35.78,35.81,34.83,35.04,0,0
TBL_PB,D,20161124,000000,35.04,35.89,35.04,35.89,0,0
TBL_PB,D,20161125,000000,35.89,35.89,35.68,35.68,0,0
TBL_PB,D,20161128,000000,35.89,35.89,35.68,35.89,0,0
TBL_PB,D,20161129,000000,35.68,35.87,35.04,35.04,0,0
TBL_PB,D,20161130,000000,35.87,35.87,33.36,35.53,0,0
TBL_PB,D,20161201,000000,35.47,35.47,35.34,35.34,0,0
TBL_PB,D,20161202,000000,35.64,35.64,29.08,29.08,0,0
TBL_PB,D,20161205,000000,29.08,29.3,29.08,29.3,0,0
TBL_PB,D,20161206,000000,29.31,29.31,29.15,29.15,0,0
TBL_PB,D,20161207,000000,29.13,29.14,29.13,29.14,0,0
TBL_PB,D,20161208,000000,27.59,28.8,27.59,28.8,0,0
TBL_PB,D,20161209,000000,29.04,29.04,25.9,27.94,0,0
TBL_PB,D,20161212,000000,25.87,27.93,25.87,27.93,0,0
TBL_PB,D,20161213,000000,27.93,29.66,27.25,29.66,0,0
TBL_PB,D,20161214,000000,29.66,29.66,28.46,29.66,0,0
TBL_PB,D,20161215,000000,29.49,29.49,27.88,29.49,0,0
TBL_PB,D,20161216,000000,29.49,29.49,27.64,29.49,0,0
TBL_PB,D,20161219,000000,29.3,29.4,28.97,29.4,0,0
TBL_PB,D,20161220,000000,29.4,29.4,29.4,29.4,0,0
TBL_PB,D,20161221,000000,29.32,29.32,29.32,29.32,0,0
TBL_PB,D,20161222,000000,28.97,28.97,27.59,28.97,0,0
TBL_PB,D,20161227,000000,28.96,28.96,28.96,28.96,0,0
TBL_PB,D,20161228,000000,29.39,29.39,29.39,29.39,0,0
TBL_PB,D,20161229,000000,28.8,29.15,28.8,29.15,0,0
TBL_PB,D,20161230,000000,29.39,29.39,29.39,29.39,0,0
TBL_PB,D,20170102,000000,30.16,30.16,30.16,30.16,0,0
TBL_PB,D,20170103,000000,29.32,29.32,26.09,29.32,0,0
TBL_PB,D,20170104,000000,29.32,29.32,29.28,29.28,0,0
TBL_PB,D,20170105,000000,29.28,29.64,27.59,29.6,0,0
TBL_PB,D,20170109,000000,29.32,29.32,29.32,29.32,0,0
TBL_PB,D,20170110,000000,29.32,29.49,29.32,29.49,0,0
TBL_PB,D,20170111,000000,29.57,29.57,27.63,29.28,0,0
TBL_PB,D,20170112,000000,29.49,29.49,29.49,29.49,0,0
TBL_PB,D,20170113,000000,29.13,29.4,29.13,29.4,0,0
TBL_PB,D,20170116,000000,29.32,29.32,28.46,29.32,0,0
TBL_PB,D,20170117,000000,29.32,29.32,29.32,29.32,0,0
TBL_PB,D,20170118,000000,29.32,29.4,29.32,29.4,0,0
TBL_PB,D,20170119,000000,29.4,29.4,29.31,29.31,0,0
TBL_PB,D,20170120,000000,29.31,29.31,28.97,28.97,0,0
TBL_PB,D,20170123,000000,29.31,29.31,28.97,28.97,0,0
TBL_PB,D,20170124,000000,28.97,28.97,28.97,28.97,0,0
TBL_PB,D,20170125,000000,28.97,28.97,27.59,27.59,0,0
TBL_PB,D,20170126,000000,26.92,27.77,26.47,27.77,0,0
TBL_PB,D,20170127,000000,28.8,28.8,28.77,28.77,0,0
TBL_PB,D,20170130,000000,28.76,28.8,26.82,28.47,0,0
TBL_PB,D,20170131,000000,26.82,29.32,26.56,29.32,0,0
TBL_PB,D,20170201,000000,29.15,29.15,28.11,29.15,0,0
TBL_PB,D,20170202,000000,28.97,29.11,28.11,29.11,0,0
TBL_PB,D,20170203,000000,28.97,28.97,28.49,28.49,0,0
TBL_PB,D,20170206,000000,27.68,28.46,27.59,28.46,0,0
TBL_PB,D,20170207,000000,26.6,28.46,26.6,28.46,0,0
TBL_PB,D,20170208,000000,28.61,28.61,26.73,28.46,0,0
TBL_PB,D,20170210,000000,28.46,28.46,26.73,28.28,0,0
TBL_PB,D,20170213,000000,28.11,28.11,28.03,28.08,0,0
TBL_PB,D,20170214,000000,28.08,28.08,26.77,28.04,0,0
TBL_PB,D,20170215,000000,28.03,28.03,27.92,27.93,0,0
TBL_PB,D,20170216,000000,27.92,27.92,27.92,27.92,0,0
TBL_PB,D,20170217,000000,27.91,27.91,26.56,27.25,0,0
TBL_PB,D,20170220,000000,27.9,27.9,26.18,27.76,0,0
TBL_PB,D,20170221,000000,27.76,27.76,27.25,27.25,0,0
TBL_PB,D,20170222,000000,27.57,27.57,26.47,27.37,0,0
TBL_PB,D,20170223,000000,27.36,27.36,26.56,27.34,0,0
TBL_PB,D,20170224,000000,27.29,27.29,25.87,27.08,0,0
TBL_PB,D,20170227,000000,27.08,27.08,26.21,27.08,0,0
TBL_PB,D,20170228,000000,26.89,26.89,26.21,26.82,0,0
TBL_PB,D,20170301,000000,26.9,26.9,26.64,26.72,0,0
TBL_PB,D,20170302,000000,25.87,26.72,25.87,26.72,0,0
TBL_PB,D,20170303,000000,26.72,26.72,25.87,26.69,0,0
TBL_PB,D,20170306,000000,26.72,28.97,26.72,27.59,0,0
TBL_PB,D,20170307,000000,27.42,27.42,27.42,27.42,0,0
TBL_PB,D,20170308,000000,27.59,27.59,25.95,27.51,0,0
TBL_PB,D,20170309,000000,27.59,27.59,25.87,27.54,0,0
TBL_PB,D,20170310,000000,27.54,27.54,27.54,27.54,0,0
TBL_PB,D,20170313,000000,27.59,27.59,27.59,27.59,0,0
TBL_PB,D,20170314,000000,26.73,27.59,26.73,27.54,0,0
TBL_PB,D,20170315,000000,27.54,27.59,27.54,27.54,0,0
TBL_PB,D,20170316,000000,25.64,27.54,24.49,27.4,0,0
TBL_PB,D,20170317,000000,25.87,25.99,24.49,24.66,0,0
TBL_PB,D,20170320,000000,27.44,27.44,24.54,24.54,0,0
TBL_PB,D,20170321,000000,27.42,27.42,24.49,24.49,0,0
TBL_PB,D,20170322,000000,27.42,27.42,25.02,27.42,0,0
TBL_PB,D,20170323,000000,27.39,27.39,24.49,24.49,0,0
TBL_PB,D,20170324,000000,27.33,27.59,25.87,27.58,0,0
TBL_PB,D,20170327,000000,27.42,27.42,27.42,27.42,0,0
TBL_PB,D,20170328,000000,27.42,28.97,24.11,24.11,0,0
TBL_PB,D,20170329,000000,24.11,25.83,24.11,25.83,0,0
TBL_PB,D,20170330,000000,25.83,27.41,25.83,27.41,0,0
TBL_PB,D,20170331,000000,26.98,27.56,26.69,27.43,0,0
TBL_PB,D,20170403,000000,25.83,25.83,25.11,25.83,0,0
TBL_PB,D,20170404,000000,26.69,26.69,26.69,26.69,0,0
TBL_PB,D,20170405,000000,26.69,27.26,26.69,27.12,0,0
TBL_PB,D,20170406,000000,27.12,27.84,27.12,27.84,0,0
TBL_PB,D,20170407,000000,27.84,28.77,27.83,28.73,0,0
TBL_PB,D,20170410,000000,28.77,28.77,28.7,28.7,0,0
TBL_PB,D,20170411,000000,28.77,28.77,27.41,28.39,0,0
TBL_PB,D,20170412,000000,28.7,28.7,27.26,28.23,0,0
TBL_PB,D,20170413,000000,28.23,29.18,27.26,28.84,0,0
TBL_PB,D,20170418,000000,28.79,29.66,27.41,29.65,0,0
TBL_PB,D,20170419,000000,29.65,29.65,28.7,29.42,0,0
TBL_PB,D,20170420,000000,29.42,30.02,29.42,30.02,0,0
TBL_PB,D,20170421,000000,30.02,30.13,30.02,30.12,0,0
TBL_PB,D,20170424,000000,30.13,30.13,30.13,30.13,0,0
TBL_PB,D,20170425,000000,30.83,30.84,27.42,29.06,0,0
TBL_PB,D,20170426,000000,28.84,28.84,28.76,28.76,0,0
TBL_PB,D,20170427,000000,29.06,29.06,27.98,29.05,0,0
TBL_PB,D,20170428,000000,29.06,29.59,28.7,29.56,0,0
TBL_PB,D,20170502,000000,29.59,29.59,29.27,29.27,0,0
TBL_PB,D,20170504,000000,29.27,29.27,28.84,29.26,0,0
TBL_PB,D,20170505,000000,29.27,29.27,28.55,28.55,0,0
TBL_PB,D,20170508,000000,28.7,28.83,28.7,28.83,0,0
TBL_PB,D,20170509,000000,29.27,29.27,28.55,29.26,0,0
TBL_PB,D,20170510,000000,29.26,29.26,29.13,29.13,0,0
TBL_PB,D,20170511,000000,29.13,29.13,27.98,29.12,0,0
TBL_PB,D,20170512,000000,29.12,29.12,27.26,28.65,0,0
TBL_PB,D,20170515,000000,28.69,28.69,27.29,28.52,0,0
TBL_PB,D,20170516,000000,28.55,28.55,26.98,27.26,0,0
TBL_PB,D,20170517,000000,27.26,28.39,24.54,26.26,0,0
TBL_PB,D,20170518,000000,28.39,28.39,24.39,26.19,0,0
TBL_PB,D,20170519,000000,26.19,26.26,26.19,26.26,0,0
TBL_PB,D,20170522,000000,26.26,26.26,22.16,22.16,0,0
TBL_PB,D,20170523,000000,23.25,23.25,23.25,23.25,0,0
TBL_PB,D,20170524,000000,23.31,23.31,23.24,23.24,0,0
TBL_PB,D,20170525,000000,23.24,23.24,23.24,23.24,0,0
TBL_PB,D,20170526,000000,23,23,21.31,22.46,0,0
TBL_PB,D,20170529,000000,22.52,23.01,22.52,23.01,0,0
TBL_PB,D,20170530,000000,23,23,22.99,22.99,0,0
TBL_PB,D,20170531,000000,22.4,23.74,21.8,23.74,0,0
TBL_PB,D,20170601,000000,24.83,24.83,24.7,24.7,0,0
TBL_PB,D,20170602,000000,24.7,24.7,24.64,24.64,0,0
