<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OND_PB,D,20210719,000000,18.98,18.98,18.98,18.98,0,0
OND_PB,D,20210720,000000,19.26,19.92,18.25,18.6,0,0
OND_PB,D,20210721,000000,18.98,18.98,18.25,18.25,0,0
OND_PB,D,20210722,000000,18.26,18.26,17.98,18.11,0,0
OND_PB,D,20210723,000000,18.11,18.56,18.08,18.18,0,0
OND_PB,D,20210726,000000,18.86,18.86,18.24,18.45,0,0
OND_PB,D,20210727,000000,18.65,18.65,18.19,18.19,0,0
OND_PB,D,20210728,000000,18.19,18.23,17.71,17.91,0,0
OND_PB,D,20210729,000000,18.18,18.58,17.91,18.16,0,0
OND_PB,D,20210730,000000,18.25,19.06,17.81,18.98,0,0
OND_PB,D,20210802,000000,19.19,19.53,18.75,18.75,0,0
OND_PB,D,20210803,000000,19.06,19.12,18.25,18.71,0,0
OND_PB,D,20210804,000000,18.92,18.92,18.25,18.65,0,0
OND_PB,D,20210805,000000,18.65,18.65,18.24,18.55,0,0
OND_PB,D,20210806,000000,18.65,18.65,18.11,18.31,0,0
OND_PB,D,20210809,000000,18.58,18.58,18.25,18.57,0,0
OND_PB,D,20210810,000000,18.38,18.67,18.04,18.18,0,0
OND_PB,D,20210811,000000,18.77,18.77,18.11,18.5,0,0
OND_PB,D,20210812,000000,18.27,18.55,18.12,18.12,0,0
OND_PB,D,20210813,000000,18.25,18.25,18.08,18.25,0,0
OND_PB,D,20210816,000000,18.25,18.25,17.84,18.11,0,0
OND_PB,D,20210817,000000,18.24,18.24,17.85,18.04,0,0
OND_PB,D,20210818,000000,17.92,18.11,17.84,18.11,0,0
OND_PB,D,20210819,000000,18.24,18.24,17.91,17.91,0,0
OND_PB,D,20210820,000000,17.98,18.35,17.91,18.35,0,0
OND_PB,D,20210823,000000,18.52,18.52,18.25,18.49,0,0
OND_PB,D,20210824,000000,18.52,18.58,17.93,18.58,0,0
OND_PB,D,20210825,000000,18.72,18.72,17.99,18.04,0,0
OND_PB,D,20210826,000000,18.04,18.04,17.86,17.92,0,0
OND_PB,D,20210827,000000,17.88,18.49,17.88,17.99,0,0
