<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TPE_MV,D,20100630,000000,6488.38,6488.38,6488.38,6488.38,0,0
TPE_MV,D,20100701,000000,6449.84,6501.23,6385.6,6488.38,0,0
TPE_MV,D,20100702,000000,6501.23,6539.77,6488.38,6501.23,0,0
TPE_MV,D,20100705,000000,6501.23,6514.09,6488.38,6488.38,0,0
TPE_MV,D,20100706,000000,6501.23,6526.93,6501.23,6514.09,0,0
TPE_MV,D,20100707,000000,6501.23,6501.23,6475.53,6488.38,0,0
TPE_MV,D,20100708,000000,6488.38,6552.63,6488.38,6552.63,0,0
TPE_MV,D,20100709,000000,6552.63,6591.17,6552.63,6591.17,0,0
TPE_MV,D,20100712,000000,6591.17,6681.12,6591.17,6668.27,0,0
TPE_MV,D,20100713,000000,6681.12,6681.12,6578.33,6578.33,0,0
TPE_MV,D,20100714,000000,6591.17,6591.17,6514.09,6539.77,0,0
TPE_MV,D,20100715,000000,6539.77,6539.77,6514.09,6526.93,0,0
TPE_MV,D,20100716,000000,6539.77,6552.63,6501.23,6514.09,0,0
TPE_MV,D,20100719,000000,6501.23,6514.09,6488.38,6514.09,0,0
TPE_MV,D,20100720,000000,6501.23,6501.23,6475.53,6475.53,0,0
TPE_MV,D,20100721,000000,6475.53,6514.09,6475.53,6501.23,0,0
TPE_MV,D,20100722,000000,6488.38,6578.33,6488.38,6578.33,0,0
TPE_MV,D,20100723,000000,6578.33,6591.17,6552.63,6591.17,0,0
TPE_MV,D,20100726,000000,6565.47,6565.47,6514.09,6526.93,0,0
TPE_MV,D,20100727,000000,6552.63,6578.33,6539.77,6578.33,0,0
TPE_MV,D,20100728,000000,6539.77,6552.63,6526.93,6539.77,0,0
TPE_MV,D,20100729,000000,6526.93,6578.33,6526.93,6578.33,0,0
TPE_MV,D,20100730,000000,6552.63,6591.17,6539.77,6578.33,0,0
TPE_MV,D,20100802,000000,6552.63,6591.17,6539.77,6578.33,0,0
