<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OND_PE,D,20210719,000000,28.2,28.2,28.2,28.2,0,0
OND_PE,D,20210720,000000,26.8,27.7,25.4,27.6,0,0
OND_PE,D,20210721,000000,28.2,28.2,27.1,27.1,0,0
OND_PE,D,20210722,000000,27.1,27.1,26.7,26.9,0,0
OND_PE,D,20210723,000000,26.9,27.6,26.8,27,0,0
OND_PE,D,20210726,000000,28,28,27.1,27.4,0,0
OND_PE,D,20210727,000000,27.7,27.7,27,27,0,0
OND_PE,D,20210728,000000,27,27.1,26.3,26.6,0,0
OND_PE,D,20210729,000000,27,27.6,26.6,27,0,0
OND_PE,D,20210730,000000,27.1,28.3,26.5,28.2,0,0
OND_PE,D,20210802,000000,28.5,29,27.9,27.9,0,0
OND_PE,D,20210803,000000,28.4,28.4,27.2,27.8,0,0
OND_PE,D,20210804,000000,28.1,28.1,27.1,27.7,0,0
OND_PE,D,20210805,000000,27.7,27.7,27.1,27.6,0,0
OND_PE,D,20210806,000000,27.7,27.7,26.9,27.2,0,0
OND_PE,D,20210809,000000,27.6,27.6,27.1,27.6,0,0
OND_PE,D,20210810,000000,27.3,27.7,26.8,27,0,0
OND_PE,D,20210811,000000,27.9,27.9,26.9,27.5,0,0
OND_PE,D,20210812,000000,27.2,27.6,26.9,26.9,0,0
OND_PE,D,20210813,000000,27.1,27.1,26.8,27.1,0,0
OND_PE,D,20210816,000000,27.1,27.1,26.5,26.9,0,0
OND_PE,D,20210817,000000,27.1,27.1,26.5,26.8,0,0
OND_PE,D,20210818,000000,26.6,26.9,26.5,26.9,0,0
OND_PE,D,20210819,000000,27.1,27.1,26.6,26.6,0,0
OND_PE,D,20210820,000000,26.7,27.3,26.6,27.3,0,0
OND_PE,D,20210823,000000,27.6,27.6,27.2,27.5,0,0
OND_PE,D,20210824,000000,27.5,27.6,26.7,27.6,0,0
OND_PE,D,20210825,000000,27.8,27.8,26.7,26.8,0,0
OND_PE,D,20210826,000000,26.8,26.8,26.5,26.6,0,0
OND_PE,D,20210827,000000,26.5,27.5,26.5,26.7,0,0
OND_PE,D,20210830,000000,27,27.1,26.7,27.1,0,0
OND_PE,D,20210831,000000,27.1,31.3,26.6,31.3,0,0
OND_PE,D,20210901,000000,31.4,31.4,31.1,31.3,0,0
OND_PE,D,20210902,000000,31.8,33.5,31.1,33.5,0,0
OND_PE,D,20210903,000000,33.7,33.7,33.4,33.4,0,0
OND_PE,D,20210906,000000,33.6,33.6,32.9,33.1,0,0
OND_PE,D,20210907,000000,33,33,31.7,31.7,0,0
OND_PE,D,20210908,000000,31.8,31.8,30.5,30.5,0,0
OND_PE,D,20210909,000000,30.5,31.8,30.5,31.5,0,0
OND_PE,D,20210910,000000,31.8,31.8,31.3,31.4,0,0
OND_PE,D,20210913,000000,31.8,33.2,31.4,32.7,0,0
OND_PE,D,20210914,000000,33.1,33.6,32.8,33,0,0
OND_PE,D,20210915,000000,33.4,33.4,32.8,33.3,0,0
OND_PE,D,20210916,000000,33.1,33.7,32.3,32.8,0,0
OND_PE,D,20210917,000000,33,33.5,32,33.3,0,0
