<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SES,D,20130522,000000,10.981,10.981,10.981,10.981,1764,0
SES,D,20130523,000000,10.882,10.882,10.882,10.882,611,0
SES,D,20130524,000000,10.882,10.882,10.882,10.882,5,0
SES,D,20130527,000000,10.684,10.684,10.684,10.684,5,0
SES,D,20130529,000000,10.684,10.684,10.684,10.684,5,0
SES,D,20130603,000000,10.684,10.684,10.684,10.684,5,0
SES,D,20130604,000000,10.684,10.684,10.684,10.684,5,0
SES,D,20130610,000000,10.684,10.684,10.684,10.684,276,0
SES,D,20130613,000000,10.684,10.684,10.684,10.684,5,0
SES,D,20130614,000000,10.684,10.684,10.684,10.684,5,0
SES,D,20130617,000000,10.684,10.684,10.684,10.684,2,0
SES,D,20130618,000000,10.684,10.684,10.684,10.684,5,0
SES,D,20130619,000000,10.684,10.684,10.684,10.684,5,0
SES,D,20130621,000000,10.684,10.684,10.684,10.684,5,0
SES,D,20130624,000000,10.684,10.684,10.684,10.684,5,0
SES,D,20130625,000000,10.684,10.684,10.684,10.684,2,0
SES,D,20130626,000000,10.684,10.684,10.684,10.684,5,0
SES,D,20130627,000000,10.388,10.388,10.388,10.388,5,0
SES,D,20130628,000000,10.487,10.487,10.487,10.487,5,0
SES,D,20130702,000000,10.388,10.388,10.388,10.388,5,0
SES,D,20130703,000000,10.289,10.289,9.992,9.992,172,0
SES,D,20130704,000000,9.893,9.893,9.893,9.893,507,0
SES,D,20130705,000000,9.893,9.893,9.893,9.893,5,0
SES,D,20130708,000000,9.3984,9.3984,9.3984,9.3984,10,0
SES,D,20130709,000000,9.0225,9.883,9.0225,9.883,1962,0
SES,D,20130712,000000,9.893,9.893,9.893,9.893,10,0
SES,D,20130715,000000,9.893,9.893,9.893,9.893,5,0
SES,D,20130716,000000,9.893,9.893,9.893,9.893,5,0
SES,D,20130717,000000,9.893,9.893,9.893,9.893,5,0
SES,D,20130719,000000,9.893,9.893,9.893,9.893,4,0
SES,D,20130722,000000,9.893,9.893,9.893,9.893,4,0
SES,D,20130725,000000,9.893,9.893,9.893,9.893,2,0
SES,D,20130726,000000,9.893,9.893,9.893,9.893,5,0
SES,D,20130730,000000,9.893,9.893,9.893,9.893,5,0
SES,D,20130731,000000,9.893,9.893,9.893,9.893,5,0
SES,D,20130801,000000,9.893,9.893,9.893,9.893,3,0
SES,D,20130802,000000,9.893,9.893,9.893,9.893,5,0
SES,D,20130805,000000,9.893,9.893,9.893,9.893,7,0
SES,D,20130806,000000,9.893,9.893,9.893,9.893,5,0
SES,D,20130807,000000,9.893,9.893,9.893,9.893,5,0
SES,D,20130808,000000,9.893,9.893,9.893,9.893,3,0
SES,D,20130809,000000,9.893,9.893,9.893,9.893,3,0
SES,D,20130812,000000,9.893,9.893,9.893,9.893,5,0
SES,D,20130813,000000,9.893,9.893,9.893,9.893,2,0
SES,D,20130814,000000,9.893,9.893,9.893,9.893,5,0
SES,D,20130816,000000,9.893,9.893,9.893,9.893,5,0
SES,D,20130819,000000,9.893,9.893,9.893,9.893,5,0
SES,D,20130821,000000,9.893,9.893,9.893,9.893,4,0
SES,D,20130822,000000,9.893,9.893,9.893,9.893,5,0
SES,D,20130823,000000,9.893,9.893,9.893,9.893,5,0
SES,D,20130826,000000,9.893,9.893,9.893,9.893,3,0
SES,D,20130827,000000,9.893,9.893,9.893,9.893,4,0
SES,D,20130828,000000,9.893,9.893,9.893,9.893,3,0
SES,D,20130829,000000,9.893,9.893,9.893,9.893,4,0
SES,D,20130830,000000,9.893,9.893,9.893,9.893,5,0
SES,D,20130902,000000,9.893,9.893,9.893,9.893,4,0
SES,D,20130903,000000,9.893,9.893,9.893,9.893,3,0
SES,D,20130904,000000,9.893,9.893,9.893,9.893,5,0
SES,D,20130905,000000,9.893,9.893,9.893,9.893,3,0
SES,D,20130906,000000,9.893,9.893,9.893,9.893,3,0
SES,D,20130909,000000,9.893,9.893,9.893,9.893,5,0
SES,D,20130910,000000,9.893,9.893,9.893,9.893,4,0
SES,D,20130911,000000,9.893,9.893,9.893,9.893,3,0
SES,D,20130912,000000,9.893,9.893,9.893,9.893,5,0
SES,D,20130913,000000,9.893,9.893,9.893,9.893,3,0
SES,D,20130916,000000,9.893,9.893,9.893,9.893,3,0
