<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
B24,D,20180130,000000,57,57,45.1,47.8,43098,0
B24,D,20180131,000000,48.4,54,48,48,13266,0
B24,D,20180201,000000,48.6,48.6,43.3,44,3970,0
B24,D,20180202,000000,44.9,44.9,40.02,42.58,5592,0
B24,D,20180205,000000,42.58,43,39.01,39.77,2555,0
B24,D,20180206,000000,36.02,38.64,35,36.49,7478,0
B24,D,20180207,000000,39,44,37,42.5,3893,0
B24,D,20180208,000000,42.5,44.4,40.1,43.89,2417,0
B24,D,20180209,000000,42,43.85,40.5,43.85,1022,0
B24,D,20180212,000000,43.85,45.7,43,44,3072,0
B24,D,20180213,000000,44.1,44.1,41.01,44,803,0
B24,D,20180214,000000,44,44,43,43,380,0
B24,D,20180215,000000,43.5,44.5,43.5,44,181,0
B24,D,20180216,000000,44,44,42,42.05,473,0
B24,D,20180219,000000,40.6,43.4,40.6,43.4,2922,0
B24,D,20180220,000000,43,43.49,43,43.49,127,0
B24,D,20180221,000000,43.4,43.49,43,43.49,297,0
B24,D,20180222,000000,43.5,44,43.5,44,105,0
B24,D,20180223,000000,44.5,46.5,43.96,43.96,593,0
B24,D,20180226,000000,44.7,47,44.7,47,63,0
B24,D,20180227,000000,46,46,45,46,169,0
B24,D,20180228,000000,45.5,45.5,44.1,44.1,302,0
B24,D,20180301,000000,45.5,45.5,43.5,43.5,227,0
B24,D,20180302,000000,44.6,45,44,44,34,0
B24,D,20180305,000000,44.5,46,44.5,45,997,0
B24,D,20180306,000000,44,47.9,44,47,854,0
B24,D,20180307,000000,47,47.5,46.5,46.5,213,0
B24,D,20180308,000000,47.9,50.5,47.6,50.5,1068,0
B24,D,20180309,000000,49,50.5,48,48,1121,0
B24,D,20180312,000000,49.9,49.9,47,49.8,488,0
B24,D,20180313,000000,49,49,49,49,63,0
B24,D,20180314,000000,49,49,48.5,48.5,240,0
B24,D,20180315,000000,48.5,49,48.5,48.5,495,0
B24,D,20180316,000000,49,49,47.3,48.5,1833,0
B24,D,20180319,000000,48.5,53,48,50.5,1582,0
B24,D,20180320,000000,50.5,52,50.5,51,209,0
B24,D,20180321,000000,51,52.25,51,52,616,0
B24,D,20180322,000000,52,58,52,54.95,2286,0
B24,D,20180323,000000,53,54.5,52,52,451,0
B24,D,20180326,000000,51.75,54.45,51.75,51.8,775,0
B24,D,20180327,000000,52,54,52,53.5,278,0
B24,D,20180328,000000,52.3,52.3,49,49,2999,0
B24,D,20180329,000000,49,52.8,49,49,637,0
B24,D,20180403,000000,50.01,52.5,50,52.5,1383,0
B24,D,20180404,000000,52.8,52.8,51.5,52.8,141,0
B24,D,20180405,000000,52.8,52.99,51.7,52.99,570,0
B24,D,20180406,000000,52.99,53,52,52,381,0
B24,D,20180409,000000,51.5,53,51.5,53,22,0
B24,D,20180410,000000,53,53.5,52.5,52.5,443,0
B24,D,20180411,000000,53.9,53.9,51.4,51.4,1042,0
B24,D,20180412,000000,51.1,51.1,51,51,606,0
B24,D,20180413,000000,52.44,52.99,52.44,52.8,385,0
B24,D,20180416,000000,52.8,52.8,49,49,577,0
B24,D,20180417,000000,51.2,51.2,51.2,51.2,69,0
B24,D,20180418,000000,50.1,52.95,50.1,52.94,753,0
B24,D,20180419,000000,51,51.1,51,51,99,0
B24,D,20180420,000000,51.1,51.1,51,51,98,0
B24,D,20180423,000000,51,51,50,51,412,0
B24,D,20180424,000000,50,50.5,49.1,50.4,227,0
B24,D,20180425,000000,49,49.15,48.96,49.15,886,0
B24,D,20180426,000000,49,49,48.7,48.7,202,0
B24,D,20180427,000000,49,49.95,48.8,49.95,39,0
B24,D,20180430,000000,50,50,48.95,48.95,293,0
B24,D,20180502,000000,47,47,37.6,45,1265,0
B24,D,20180504,000000,45.9,48.5,45.9,48.5,19,0
B24,D,20180507,000000,48.7,49,47.5,47.5,191,0
