<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GIF,D,20200724,000000,34.278,34.278,25.537,30.743,540610,0
GIF,D,20200727,000000,34.377,39.288,30.939,39.288,224337,0
GIF,D,20200728,000000,44.199,48.618,35.801,35.801,300905,0
GIF,D,20200729,000000,35.752,35.752,29.466,33.198,75832,0
GIF,D,20200730,000000,33.886,33.886,26.519,27.108,55347,0
GIF,D,20200804,000000,32.412,32.953,29.171,30.448,88376,0
GIF,D,20200805,000000,31.627,31.916,28.975,29.122,26224,0
GIF,D,20200806,000000,29.957,29.957,26.028,27.01,18017,0
GIF,D,20200807,000000,27.894,27.894,24.363,25.832,19479,0
GIF,D,20200810,000000,27.108,27.108,25.341,25.537,11847,0
GIF,D,20200811,000000,25.39,25.39,21.608,23.091,20363,0
GIF,D,20200812,000000,22.694,22.694,20.43,21.702,23739,0
GIF,D,20200813,000000,21.702,25.031,21.702,24.064,16210,0
GIF,D,20200814,000000,25.046,25.635,24.555,24.849,15974,0
GIF,D,20200817,000000,25.832,25.832,23.248,24.555,7901,0
GIF,D,20200818,000000,25.783,25.783,23.582,23.965,6344,0
GIF,D,20200819,000000,23.082,25.341,22.689,24.555,6232,0
GIF,D,20200820,000000,24.83,25.439,23.578,24.26,6887,0
GIF,D,20200821,000000,24.26,24.506,23.587,24.064,3495,0
GIF,D,20200824,000000,24.26,25.832,23.573,24.26,8134,0
GIF,D,20200825,000000,24.948,25.041,24.064,25.036,2552,0
GIF,D,20200826,000000,25.802,25.802,25.144,25.154,5047,0
GIF,D,20200827,000000,25.439,25.832,24.673,25.242,4044,0
GIF,D,20200828,000000,25.537,25.537,24.555,25.242,5023,0
GIF,D,20200831,000000,24.565,24.653,24.064,24.653,4089,0
GIF,D,20200901,000000,24.702,24.756,23.278,24.064,7174,0
GIF,D,20200902,000000,24.358,25.046,23.573,24.064,6280,0
GIF,D,20200903,000000,24.648,24.648,24.074,24.457,2940,0
GIF,D,20200904,000000,23.278,23.965,22.689,22.738,7077,0
GIF,D,20200907,000000,23.082,23.848,21.898,23.474,4638,0
GIF,D,20200908,000000,23.082,23.376,16.927,21.962,29286,0
GIF,D,20200909,000000,20.626,21.264,20.626,20.822,5569,0
GIF,D,20200910,000000,20.822,21.986,20.626,21.412,9514,0
GIF,D,20200911,000000,22.099,22.983,22.001,22.109,4718,0
GIF,D,20200914,000000,22.59,22.59,22.001,22.006,1468,0
GIF,D,20200915,000000,22.006,22.576,20.891,21.117,2629,0
GIF,D,20200916,000000,21.117,22.094,20.921,21.51,2345,0
GIF,D,20200917,000000,22.374,22.374,21.117,21.805,1434,0
GIF,D,20200918,000000,22.296,22.296,20.827,21.166,931,0
GIF,D,20200921,000000,21.166,21.51,19.742,20.626,3760,0
GIF,D,20200922,000000,20.626,20.626,18.662,20.616,5392,0
GIF,D,20200923,000000,20.626,20.626,18.367,19.33,7885,0
GIF,D,20200924,000000,19.546,19.546,18.465,18.662,2729,0
GIF,D,20200925,000000,18.662,18.662,17.188,18.161,4189,0
GIF,D,20200928,000000,18.161,18.579,17.587,18.072,4446,0
GIF,D,20200929,000000,18.662,19.644,18.463,19.548,5001,0
GIF,D,20200930,000000,20.076,20.076,18.662,18.858,3381,0
GIF,D,20201001,000000,19.638,19.638,18.514,18.76,2792,0
GIF,D,20201002,000000,18.563,18.567,16.992,17.679,8180,0
GIF,D,20201005,000000,18.112,18.611,17.923,18.171,2302,0
GIF,D,20201006,000000,18.465,18.465,17.689,17.689,1687,0
GIF,D,20201007,000000,17.689,18.171,17.677,17.679,2166,0
GIF,D,20201008,000000,17.679,18.151,17.385,18.151,3396,0
GIF,D,20201009,000000,18.171,18.171,17.118,17.66,5790,0
GIF,D,20201012,000000,18.072,18.072,16.599,16.845,7911,0
GIF,D,20201013,000000,16.452,17.186,14.813,15.713,20370,0
GIF,D,20201014,000000,14.929,15.42,14.144,14.733,14881,0
GIF,D,20201015,000000,14.733,17.09,14.733,15.568,17907,0
GIF,D,20201016,000000,15.145,17.336,15.145,16.579,9386,0
GIF,D,20201019,000000,17.198,18.662,15.715,17.876,14948,0
GIF,D,20201020,000000,18.072,18.652,16.695,17.67,5723,0
GIF,D,20201021,000000,18.514,19.644,17.697,18.072,9947,0
GIF,D,20201022,000000,18.072,18.542,16.314,17.679,4096,0
GIF,D,20201023,000000,17.679,17.679,16.334,16.992,3905,0
GIF,D,20201026,000000,17.63,17.63,15.912,16.599,5976,0
GIF,D,20201027,000000,16.206,17.471,15.617,15.715,6285,0
GIF,D,20201028,000000,15.617,15.695,13.751,14.733,18210,0
GIF,D,20201029,000000,13.967,14.711,13.269,13.656,9921,0
GIF,D,20201030,000000,13.456,14.124,12.827,14.124,5552,0
GIF,D,20201102,000000,14.586,14.586,13.258,13.651,4510,0
GIF,D,20201103,000000,13.947,14.043,13.26,13.739,5600,0
GIF,D,20201104,000000,13.739,14.556,13.737,14.144,4412,0
GIF,D,20201105,000000,14.556,15.086,14.242,14.998,2953,0
GIF,D,20201106,000000,15.617,15.617,14.242,14.959,4757,0
GIF,D,20201109,000000,15.489,15.517,14.045,14.733,6177,0
GIF,D,20201110,000000,14.24,14.584,14.055,14.242,9143,0
GIF,D,20201112,000000,14.242,16.599,14.144,16.599,11663,0
GIF,D,20201113,000000,17.385,17.385,15.391,16.135,5864,0
GIF,D,20201116,000000,16.139,16.206,14.782,14.782,4683,0
GIF,D,20201117,000000,14.782,15.635,14.782,14.811,3579,0
GIF,D,20201118,000000,14.831,15.617,14.802,15.617,1820,0
GIF,D,20201119,000000,15.813,16.206,15.037,15.705,3009,0
GIF,D,20201120,000000,15.715,15.988,14.802,15.715,1416,0
GIF,D,20201123,000000,16.108,16.108,14.831,15.617,3007,0
GIF,D,20201124,000000,15.617,16.059,15.073,15.138,6574,0
