<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DVL,D,20070629,000000,3.67947,3.7798,3.37833,3.37833,21961111.543921165,0
DVL,D,20070702,000000,3.43422,3.43422,3.03276,3.25015,8978371.98508799,0
DVL,D,20070703,000000,3.34501,3.42294,3.31698,3.35603,7342482.0814770395,0
DVL,D,20070704,000000,3.40064,3.46763,3.36158,3.40064,2819693.751368408,0
DVL,D,20070705,000000,3.43969,3.43969,3.31698,3.37833,2250067.786881328,0
DVL,D,20070706,000000,3.38953,3.39508,3.33381,3.33937,838368.6142427439,0
DVL,D,20070709,000000,3.35048,3.35048,3.20563,3.22776,1394009.304617656,0
DVL,D,20070710,000000,3.21665,3.2334,3.08283,3.11086,2758798.9848688,0
DVL,D,20070711,000000,3.12197,3.12197,2.95465,3.01592,2018093.3757056398,0
DVL,D,20070712,000000,2.97696,3.05506,2.95465,3.00481,1312473.670097016,0
DVL,D,20070713,000000,3.00481,3.11086,2.97696,3.09403,1353930.5533472078,0
DVL,D,20070716,000000,3.10522,3.16649,2.84878,3.01046,736874.2639853599,0
DVL,D,20070717,000000,2.98824,2.98824,2.86544,2.93799,999637.710695128,0
DVL,D,20070718,000000,2.95465,2.95465,2.87108,2.88783,1392118.406140432,0
DVL,D,20070719,000000,2.89894,3.1888,2.89894,3.13308,2390909.1879015197,0
DVL,D,20070720,000000,3.17769,3.17769,3.03831,3.04951,1005885.395974536,0
DVL,D,20070723,000000,3.04951,3.11086,2.95465,3.01046,616287.71575776,0
DVL,D,20070724,000000,3.07728,3.07728,2.88219,2.89338,1600838.568584336,0
DVL,D,20070725,000000,2.78751,2.88783,2.66479,2.87108,2636369.934103064,0
DVL,D,20070726,000000,2.87108,2.88783,2.77631,2.77631,1565839.0863496,0
DVL,D,20070727,000000,2.68146,2.81536,2.67035,2.67599,2073378.822408096,0
DVL,D,20070730,000000,2.70385,2.78751,2.70385,2.73162,737718.888350872,0
DVL,D,20070731,000000,2.78178,2.87108,2.78178,2.81536,1239978.85791172,0
DVL,D,20070801,000000,2.78751,2.78751,2.72051,2.7429,720816.030482256,0
DVL,D,20070802,000000,2.82083,2.83758,2.69829,2.69829,2162001.005152336,0
