<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OND,D,20210719,000000,30,31,26.605,28.08,265014,0
OND,D,20210720,000000,28.5,29.5,27,27.52,52756,0
OND,D,20210721,000000,28.08,28.08,27,27,30318,0
OND,D,20210722,000000,27.02,27.39,26.61,26.8,11581,0
OND,D,20210723,000000,26.8,27.46,26.75,26.9,13891,0
OND,D,20210726,000000,27.9,27.9,26.99,27.3,13598,0
OND,D,20210727,000000,27.595,27.595,26.91,26.91,1873,0
OND,D,20210728,000000,26.91,26.975,26.2,26.5,24481,0
OND,D,20210729,000000,26.9,27.5,26.52,26.87,55609,0
OND,D,20210730,000000,27,28.385,26.35,28.08,29235,0
OND,D,20210802,000000,28.395,29,27.75,27.75,15610,0
OND,D,20210803,000000,28.2,28.45,27.005,27.69,4798,0
OND,D,20210804,000000,28,28,26.845,27.6,10238,0
OND,D,20210805,000000,27.595,27.595,26.995,27.455,505,0
OND,D,20210806,000000,27.6,27.6,26.8,27.095,3730,0
OND,D,20210809,000000,27.49,27.49,27,27.48,26411,0
OND,D,20210810,000000,27.2,27.62,26.7,26.9,13088,0
OND,D,20210811,000000,27.78,27.78,26.8,27.37,3230,0
OND,D,20210812,000000,27.03,27.445,26.75,26.81,9101,0
OND,D,20210813,000000,27,27,26.75,27,825,0
OND,D,20210816,000000,27,27,26.4,26.79,119317,0
OND,D,20210817,000000,26.99,26.99,26.41,26.7,1178,0
OND,D,20210818,000000,26.51,26.79,26.4,26.79,4546,0
OND,D,20210819,000000,26.99,26.99,26.5,26.5,254,0
OND,D,20210820,000000,26.6,27.15,26.5,27.15,9234,0
OND,D,20210823,000000,27.4,27.4,27.005,27.36,1775,0
OND,D,20210824,000000,27.4,27.49,26.525,27.49,745,0
OND,D,20210825,000000,27.7,27.7,26.625,26.7,1912,0
OND,D,20210826,000000,26.7,26.7,26.425,26.51,12155,0
OND,D,20210827,000000,26.45,27.36,26.45,26.62,6214,0
OND,D,20210830,000000,26.9,27.005,26.6,26.95,2939,0
OND,D,20210831,000000,27,27,26.42,26.5,12067,0
OND,D,20210901,000000,26.6,26.6,26.35,26.47,9573,0
