<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANR,D,20210108,000000,29.9,37.995,29,32.46,541406,0
ANR,D,20210111,000000,33.5,34.08,32,32.5,82546,0
ANR,D,20210112,000000,32.6,33,32.02,32.5,23713,0
ANR,D,20210113,000000,32.6,32.795,31.7,32.4,14875,0
ANR,D,20210114,000000,31.5,31.98,30.5,31.005,25737,0
ANR,D,20210115,000000,31.38,31.9,31.15,31.15,3964,0
ANR,D,20210118,000000,31,31,29.5,29.805,14024,0
ANR,D,20210119,000000,29.8,29.8,28.4,28.85,26561,0
ANR,D,20210120,000000,28.5,28.99,28.2,28.5,5100,0
ANR,D,20210121,000000,28.59,29.99,28.59,29.26,8002,0
ANR,D,20210122,000000,29.7,29.9,28.9,29.73,2493,0
ANR,D,20210125,000000,29.99,30.3,29.005,29.19,9803,0
ANR,D,20210126,000000,29.98,29.98,29.015,29.51,4780,0
ANR,D,20210127,000000,29.99,30.9,28.035,28.6,10607,0
ANR,D,20210128,000000,30.2,30.2,28.4,29.42,9089,0
ANR,D,20210129,000000,29.42,29.84,28,28.6,10264,0
ANR,D,20210201,000000,28.5,28.85,28.285,28.6,1668,0
ANR,D,20210202,000000,29,29,28.5,28.6,1996,0
ANR,D,20210203,000000,28.6,28.9,28.495,28.51,2146,0
ANR,D,20210204,000000,28.51,30.2,28.51,29.25,14316,0
ANR,D,20210205,000000,29.9,29.9,29.245,29.89,3041,0
ANR,D,20210208,000000,29.9,30.305,29.2,30.305,9871,0
ANR,D,20210209,000000,31.46,33.3,31.33,33.3,52229,0
ANR,D,20210210,000000,34.4,35.96,33.5,35.9,59007,0
ANR,D,20210211,000000,36.1,39.03,35.4,37.7,84960,0
ANR,D,20210212,000000,37.7,39.1,36.66,37,35619,0
ANR,D,20210215,000000,38.795,38.795,36.9,37.4,20413,0
ANR,D,20210216,000000,37.4,37.4,36.6,36.6,20057,0
ANR,D,20210217,000000,37,37,36.2,36.2,33112,0
ANR,D,20210218,000000,36.6,36.6,35.4,35.51,17072,0
ANR,D,20210219,000000,36.3,36.55,35.5,36.2,11224,0
ANR,D,20210222,000000,37.3,37.3,36.3,36.85,8797,0
ANR,D,20210223,000000,37,37,36.3,36.8,14080,0
ANR,D,20210224,000000,36.805,36.805,34,34.98,20931,0
ANR,D,20210225,000000,35,35,34,34.445,10840,0
ANR,D,20210226,000000,33.4,33.495,32.1,33.375,21444,0
ANR,D,20210301,000000,34,34.565,33.03,33.7,12195,0
ANR,D,20210302,000000,34.28,34.44,33.7,34.2,19083,0
ANR,D,20210303,000000,34.5,35.5,34.5,34.76,28856,0
ANR,D,20210304,000000,34.85,35.2,34.75,35.07,32671,0
ANR,D,20210305,000000,35.07,35.07,34.72,35,11827,0
ANR,D,20210308,000000,35.1,35.1,34.4,34.5,6709,0
ANR,D,20210309,000000,34.5,34.505,33,33.1,36984,0
ANR,D,20210310,000000,33.3,33.695,32.13,33.045,10247,0
ANR,D,20210311,000000,33.05,33.05,32.655,32.85,7269,0
ANR,D,20210312,000000,32.8,33.25,32.7,32.8,14127,0
ANR,D,20210315,000000,33,33.74,33,33.2,14627,0
ANR,D,20210316,000000,33.24,33.24,32.7,33,8764,0
ANR,D,20210317,000000,33,33.25,32.1,32.8,9778,0
ANR,D,20210318,000000,32.85,33.005,32.455,32.7,2571,0
ANR,D,20210319,000000,33,34.105,33,34,24459,0
ANR,D,20210322,000000,34,34.58,34,34.37,15504,0
ANR,D,20210323,000000,34.49,34.495,33.5,34.3,8971,0
ANR,D,20210324,000000,34.4,34.45,32.7,33.3,8006,0
ANR,D,20210325,000000,33.305,33.945,33.11,33.11,3567,0
ANR,D,20210326,000000,33.1,33.605,33.1,33.6,4045,0
ANR,D,20210329,000000,33.225,34,33.1,33.6,3986,0
ANR,D,20210330,000000,33.6,34.155,33.15,33.8,6883,0
ANR,D,20210331,000000,34,34,33.12,33.8,4734,0
ANR,D,20210401,000000,33.8,33.8,33.2,33.785,3103,0
ANR,D,20210406,000000,34,34,33.5,34,16034,0
ANR,D,20210407,000000,35.15,36.295,34.8,35.05,60861,0
ANR,D,20210408,000000,35.4,36,35.395,35.535,25403,0
ANR,D,20210409,000000,35.5,35.53,34.8,35.1,18564,0
ANR,D,20210412,000000,35.6,36.3,35.125,36,33674,0
ANR,D,20210413,000000,35.55,36.1,34.1,35.4,26657,0
ANR,D,20210414,000000,35.5,35.825,35,35.05,8742,0
ANR,D,20210415,000000,35,35.5,35,35.4,5488,0
ANR,D,20210416,000000,35.17,35.2,34.6,35.04,19963,0
ANR,D,20210419,000000,35.18,35.24,33.2,34.66,15694,0
ANR,D,20210420,000000,34.49,34.5,34.005,34.15,14752,0
ANR,D,20210421,000000,34.1,34.1,33.3,34.09,8384,0
ANR,D,20210422,000000,33.6,35.05,33.6,34.5,13347,0
ANR,D,20210423,000000,34,35.3,34,35.1,8542,0
ANR,D,20210426,000000,35.4,35.5,34.3,35.005,6094,0
ANR,D,20210427,000000,35.145,35.39,34.5,34.99,5233,0
ANR,D,20210428,000000,35,35.005,34.15,34.65,53918,0
ANR,D,20210429,000000,35,35,34.15,34.4,7130,0
ANR,D,20210430,000000,34.3,34.5,34.3,34.4,1993,0
ANR,D,20210504,000000,34.35,34.4,33.805,34.2,15485,0
ANR,D,20210505,000000,34.2,34.3,34,34.15,9604,0
ANR,D,20210506,000000,33.7,34,31.5,32.01,66963,0
ANR,D,20210507,000000,32.015,32.59,32.015,32.5,9909,0
ANR,D,20210510,000000,32.6,32.745,31.6,32.355,14098,0
ANR,D,20210511,000000,32.345,32.5,32.1,32.5,3593,0
ANR,D,20210512,000000,32.25,32.3,31.6,31.8,10127,0
ANR,D,20210513,000000,32,32,31.23,31.5,25413,0
ANR,D,20210514,000000,31.2,31.8,31.2,31.3,2875,0
ANR,D,20210517,000000,30.665,31.4,30.665,31.3,7199,0
ANR,D,20210518,000000,31.3,31.5,31.205,31.3,6216,0
ANR,D,20210519,000000,31.5,31.575,30.4,31,24144,0
ANR,D,20210520,000000,31,31.94,31,31.59,2496,0
ANR,D,20210521,000000,31.795,32,31.7,32,8411,0
ANR,D,20210524,000000,32,32.4,32,32.4,3474,0
ANR,D,20210525,000000,32.5,32.82,32.055,32.7,3614,0
ANR,D,20210526,000000,32.7,32.82,31.05,32,16880,0
ANR,D,20210527,000000,32.955,33.09,32,32.54,24805,0
ANR,D,20210528,000000,32.51,33,32.5,32.5,10150,0
ANR,D,20210531,000000,32.9,33.2,32.05,32.665,7168,0
ANR,D,20210601,000000,32.55,33.34,31.82,31.9,6990,0
ANR,D,20210602,000000,32,32.5,31.7,32.5,5941,0
ANR,D,20210604,000000,32.5,32.65,32.005,32.6,2681,0
ANR,D,20210607,000000,32,33.1,31,32.545,7314,0
ANR,D,20210608,000000,31.6,32.99,31.6,32.91,2930,0
ANR,D,20210609,000000,32.94,32.94,31.8,32.75,1317,0
ANR,D,20210610,000000,32.745,32.745,32.215,32.215,2799,0
ANR,D,20210611,000000,32,32.2,31.5,32,2357,0
ANR,D,20210614,000000,32,32.9,31.7,31.995,2315,0
ANR,D,20210615,000000,32.4,32.4,31.7,31.76,1561,0
ANR,D,20210616,000000,31.8,31.8,30.8,31,9384,0
ANR,D,20210617,000000,31.5,31.5,30.2,30.795,7726,0
ANR,D,20210618,000000,30.8,30.8,30.2,30.7,18658,0
ANR,D,20210621,000000,30.7,30.7,30.2,30.5,13573,0
ANR,D,20210622,000000,30.89,31.88,30.51,31.5,3432,0
ANR,D,20210623,000000,31.5,32,31.495,32,4602,0
ANR,D,20210624,000000,32,32,30.5,31.3,1612,0
ANR,D,20210625,000000,30.6,31.8,30.6,31.3,3085,0
ANR,D,20210628,000000,31.5,31.5,31,31.1,1505,0
ANR,D,20210629,000000,31.1,31.5,31,31.5,14762,0
ANR,D,20210630,000000,31.1,31.5,31.1,31.45,9461,0
ANR,D,20210701,000000,31.45,32,31.3,31.85,2228,0
ANR,D,20210702,000000,31.9,32.2,31.65,32,61413,0
ANR,D,20210705,000000,32,33.4,32,33.4,52853,0
ANR,D,20210706,000000,33.45,33.45,32.8,33,15609,0
ANR,D,20210707,000000,33,33,32.5,32.9,3392,0
ANR,D,20210708,000000,33,33.35,32.9,33.05,7105,0
ANR,D,20210709,000000,32.95,33.2,32,32.75,1544,0
ANR,D,20210712,000000,32.8,32.8,32.6,32.7,2446,0
ANR,D,20210713,000000,32.8,32.8,32.1,32.5,3108,0
ANR,D,20210714,000000,32.3,32.75,31.55,32.6,12713,0
ANR,D,20210715,000000,32.8,32.8,32,32.7,1235,0
ANR,D,20210716,000000,32.8,32.8,32.45,32.7,486,0
ANR,D,20210719,000000,32.2,32.45,31.6,32.1,5040,0
ANR,D,20210720,000000,31.6,32.15,31.6,32.1,3476,0
ANR,D,20210721,000000,32.1,32.1,31.6,31.8,44321,0
ANR,D,20210722,000000,31.6,32.2,31.6,31.9,1328,0
ANR,D,20210723,000000,31.9,31.9,31.5,31.65,802,0
ANR,D,20210726,000000,31.8,31.9,31.5,31.9,1026,0
ANR,D,20210727,000000,31.9,32.1,31.6,32.1,594,0
ANR,D,20210728,000000,32.1,32.2,31.7,32,1078,0
ANR,D,20210729,000000,32.1,33,31.65,32.7,11801,0
ANR,D,20210730,000000,33.05,33.85,32.7,33.65,32452,0
ANR,D,20210802,000000,33.85,33.9,33.35,33.45,6641,0
ANR,D,20210803,000000,33.5,33.9,33.3,33.4,4245,0
ANR,D,20210804,000000,33.4,34.1,33.4,33.8,15454,0
ANR,D,20210805,000000,33.8,34,33.7,33.85,5930,0
ANR,D,20210806,000000,34.25,34.55,33.9,34.55,11931,0
ANR,D,20210809,000000,34.85,36.2,34.8,36.1,62043,0
ANR,D,20210810,000000,36.15,36.9,36.15,36.75,21250,0
ANR,D,20210811,000000,36.95,38.1,36.85,38,52900,0
ANR,D,20210812,000000,38.1,38.8,35.9,37.7,53986,0
ANR,D,20210813,000000,37.7,38.1,37,37.55,18081,0
ANR,D,20210816,000000,38,38.4,37.5,37.7,23620,0
ANR,D,20210817,000000,38.35,38.4,37.7,37.75,9465,0
ANR,D,20210818,000000,37.8,38,37,37.5,11398,0
ANR,D,20210819,000000,37.5,37.5,37,37.3,12583,0
ANR,D,20210820,000000,37.15,37.25,37,37.1,4221,0
ANR,D,20210823,000000,37,37.5,37,37.05,5282,0
ANR,D,20210824,000000,37.15,37.5,37.15,37.4,4775,0
ANR,D,20210825,000000,37.45,37.6,37.3,37.5,7324,0
ANR,D,20210826,000000,37.5,37.5,37.35,37.35,2893,0
ANR,D,20210827,000000,37.3,37.6,37.1,37.1,5559,0
ANR,D,20210830,000000,37,37.5,37,37.45,4978,0
ANR,D,20210831,000000,37.7,37.7,37.3,37.5,6154,0
ANR,D,20210901,000000,37.5,37.7,37.45,37.55,5740,0
ANR,D,20210902,000000,37.5,37.7,37.1,37.4,9493,0
ANR,D,20210903,000000,37.3,37.75,37.1,37.5,11009,0
ANR,D,20210906,000000,37.55,37.6,37.05,37.2,22902,0
ANR,D,20210907,000000,37.8,37.8,36.6,37,7240,0
ANR,D,20210908,000000,37.1,37.1,36.3,36.6,7578,0
ANR,D,20210909,000000,36.95,36.95,36.15,36.7,4316,0
ANR,D,20210910,000000,36.5,36.7,36.35,36.5,8196,0
ANR,D,20210913,000000,34.25,35.9,31.3,35.65,47465,0
ANR,D,20210914,000000,35.35,35.4,34.4,35.2,10777,0
ANR,D,20210915,000000,35,35.1,34.4,34.8,4365,0
ANR,D,20210916,000000,34.7,35,33.9,34.3,12230,0
ANR,D,20210917,000000,34.15,35.5,34,34.7,16981,0
ANR,D,20210920,000000,35.45,35.45,33.7,33.8,11046,0
ANR,D,20210921,000000,33.7,34.6,33.5,34.1,4779,0
ANR,D,20210922,000000,35.15,35.4,34.75,35.4,4514,0
ANR,D,20210923,000000,35.8,36.25,33.9,35,23760,0
ANR,D,20210924,000000,35,35.45,33.9,35,5870,0
ANR,D,20210927,000000,34.25,35.2,34.25,34.45,3296,0
ANR,D,20210928,000000,34.4,34.4,34.2,34.2,2427,0
ANR,D,20210929,000000,34.05,34.5,34.05,34.15,2970,0
ANR,D,20210930,000000,34.8,35,34.05,34.85,17915,0
ANR,D,20211001,000000,34.3,34.95,34.2,34.95,3676,0
ANR,D,20211004,000000,35.15,35.9,35.05,35.7,12057,0
ANR,D,20211005,000000,35.9,35.9,34.35,35.8,8568,0
ANR,D,20211006,000000,36.3,36.8,35.05,35.5,11432,0
ANR,D,20211007,000000,35.5,36,35,35.5,7574,0
ANR,D,20211008,000000,36,36.3,35.25,35.9,8444,0
ANR,D,20211011,000000,35.9,36.3,35.85,36,2175,0
ANR,D,20211012,000000,36,36.2,35.25,35.3,7529,0
ANR,D,20211013,000000,35.5,36.2,35,35.45,9897,0
ANR,D,20211014,000000,35.6,35.9,35.2,35.45,10722,0
ANR,D,20211015,000000,35.75,35.75,34.95,35.2,4493,0
ANR,D,20211018,000000,35.2,35.2,34.65,34.9,17290,0
ANR,D,20211019,000000,35.5,35.7,34.25,34.85,53978,0
ANR,D,20211020,000000,34.9,34.9,33.9,34.3,4521,0
ANR,D,20211021,000000,34.3,34.3,32.4,34.3,19830,0
ANR,D,20211022,000000,33.4,34.6,33.35,34.55,25123,0
ANR,D,20211025,000000,34.8,36,34.6,36,19362,0
ANR,D,20211026,000000,36,36.2,35.55,36,12119,0
ANR,D,20211027,000000,36.1,36.1,35,35.2,2263,0
ANR,D,20211028,000000,34.8,35.75,33.8,35.75,12248,0
ANR,D,20211029,000000,35.7,35.85,34.1,35,16672,0
ANR,D,20211102,000000,35.45,35.5,34.5,35,4276,0
ANR,D,20211103,000000,34.95,34.95,33.85,34.8,3134,0
ANR,D,20211104,000000,34.35,34.95,34.35,34.5,2739,0
ANR,D,20211105,000000,34.1,34.85,34.1,34.65,1502,0
ANR,D,20211108,000000,35,35,34.7,34.95,4385,0
ANR,D,20211109,000000,34.8,34.9,33.2,34.2,3701,0
ANR,D,20211110,000000,34,34.55,33.7,33.95,2067,0
ANR,D,20211112,000000,34,34.5,33.3,33.3,7401,0
ANR,D,20211115,000000,33.2,34.25,33.2,33.7,7706,0
ANR,D,20211116,000000,33.7,34.9,33.7,34.55,58551,0
ANR,D,20211117,000000,34.9,34.9,33.95,34.8,1596,0
ANR,D,20211118,000000,34.8,34.8,33.6,34.5,4630,0
ANR,D,20211119,000000,34.2,34.6,33.3,34.25,6821,0
ANR,D,20211122,000000,33.4,33.5,33,33.5,10051,0
ANR,D,20211123,000000,33.3,33.35,33,33.15,6744,0
ANR,D,20211124,000000,33.1,33.4,33,33.15,3153,0
ANR,D,20211125,000000,33.45,33.45,32.95,33,6013,0
ANR,D,20211126,000000,32.5,33,31,33,17761,0
ANR,D,20211129,000000,32.15,32.35,30.7,31.9,16406,0
ANR,D,20211130,000000,31.85,34,30.4,33.65,34511,0
ANR,D,20211201,000000,33,34.3,32.85,34.2,4034,0
ANR,D,20211202,000000,34.3,34.3,33.1,33.45,3235,0
ANR,D,20211203,000000,34,34,33.15,33.75,3609,0
ANR,D,20211206,000000,33.8,33.8,32.3,33.4,15418,0
ANR,D,20211207,000000,33.4,33.4,32.6,33.15,1045,0
ANR,D,20211208,000000,33.5,33.8,32.7,33.8,5739,0
ANR,D,20211209,000000,33.7,33.7,33,33.4,25105,0
ANR,D,20211210,000000,33,33.75,33,33.75,2176,0
ANR,D,20211213,000000,33.8,33.8,32.9,33.45,5533,0
ANR,D,20211214,000000,33,33,32.5,32.65,13317,0
ANR,D,20211215,000000,32.65,32.95,31.8,32.8,24070,0
ANR,D,20211216,000000,32.7,32.7,32.05,32.25,21985,0
ANR,D,20211217,000000,32.6,32.6,31.55,31.95,2901,0
ANR,D,20211220,000000,31.5,31.5,31.05,31.2,6821,0
ANR,D,20211221,000000,31.15,31.2,30.5,30.9,5623,0
ANR,D,20211222,000000,31.5,31.5,30.7,31.3,5249,0
ANR,D,20211223,000000,31.15,31.2,29.7,30.7,33577,0
ANR,D,20211227,000000,30.5,30.5,29.5,30,14591,0
ANR,D,20211228,000000,30,30.5,29.8,29.8,17085,0
ANR,D,20211229,000000,30,32,29.8,32,13864,0
ANR,D,20211230,000000,31.5,31.8,31.1,31.1,7596,0
ANR,D,20220103,000000,31.1,33.2,31.1,33,7904,0
ANR,D,20220104,000000,33,33,32,32.85,1691,0
ANR,D,20220105,000000,33.4,34.45,33.4,33.6,22863,0
ANR,D,20220107,000000,34.45,34.45,33,33.3,15008,0
ANR,D,20220110,000000,33.75,34,33.35,33.95,8256,0
ANR,D,20220111,000000,33.95,34.3,33.85,34.25,6390,0
ANR,D,20220112,000000,34.4,34.4,33.65,33.9,2710,0
ANR,D,20220113,000000,33.9,34,33.65,33.9,2056,0
ANR,D,20220114,000000,33.8,34,33.5,34,3885,0
ANR,D,20220117,000000,34,35,34,34.9,14452,0
ANR,D,20220118,000000,34.9,35.3,34,34.25,18443,0
ANR,D,20220119,000000,34.1,34.1,33.15,33.9,8328,0
ANR,D,20220120,000000,33.95,34,33,33.45,12968,0
ANR,D,20220121,000000,33.5,33.5,32.25,32.3,6420,0
ANR,D,20220124,000000,32.55,32.6,30,30.1,18722,0
ANR,D,20220125,000000,30.1,32,30.1,31.5,11902,0
ANR,D,20220126,000000,31.9,31.95,31.5,31.85,6670,0
ANR,D,20220127,000000,31.85,31.85,31.4,31.6,4280,0
ANR,D,20220128,000000,31.8,31.8,30.1,30.5,28157,0
ANR,D,20220131,000000,31,31.5,30,30.25,13173,0
ANR,D,20220201,000000,30.4,30.55,30.1,30.45,10464,0
ANR,D,20220202,000000,30.7,31.95,30.7,31.7,5632,0
ANR,D,20220203,000000,31.7,32.7,31.05,31.5,12713,0
ANR,D,20220204,000000,31.5,31.6,31.35,31.35,7099,0
ANR,D,20220207,000000,31.55,31.55,31,31.35,6981,0
ANR,D,20220208,000000,31.35,31.55,30.1,31,9211,0
ANR,D,20220209,000000,31,31,30.2,30.8,6900,0
