<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DEK,D,20150108,000000,14.289,14.48,13.632,13.861,1991,0
DEK,D,20150109,000000,13.565,13.756,13.47,13.527,1066,0
DEK,D,20150112,000000,13.842,13.842,13.622,13.718,1083,0
DEK,D,20150113,000000,13.632,13.632,13.632,13.632,60,0
DEK,D,20150114,000000,13.632,13.632,13.622,13.622,213,0
DEK,D,20150116,000000,13.709,13.814,13.709,13.814,283,0
DEK,D,20150119,000000,13.661,13.661,13.651,13.651,105,0
DEK,D,20150121,000000,13.622,13.861,13.622,13.861,162,0
DEK,D,20150127,000000,13.814,13.814,13.814,13.814,53,0
DEK,D,20150130,000000,13.356,13.356,13.356,13.356,146,0
DEK,D,20150203,000000,13.356,13.356,13.356,13.356,1,0
DEK,D,20150205,000000,13.356,13.356,13.356,13.356,20,0
DEK,D,20150206,000000,14.47,14.47,14.47,14.47,1,0
DEK,D,20150211,000000,13.07,13.718,13.07,13.718,310,0
DEK,D,20150212,000000,13.765,13.765,13.718,13.765,488,0
DEK,D,20150213,000000,13.765,13.765,13.765,13.765,88,0
DEK,D,20150217,000000,13.765,13.765,13.765,13.765,493,0
DEK,D,20150218,000000,14.089,14.175,14.089,14.175,566,0
DEK,D,20150219,000000,14.099,14.214,14.052,14.194,998,0
DEK,D,20150220,000000,14.194,14.194,14.004,14.175,173,0
DEK,D,20150223,000000,14.194,14.252,14.194,14.252,334,0
DEK,D,20150224,000000,14.099,14.252,14.099,14.252,178,0
DEK,D,20150226,000000,14.099,14.252,14.099,14.252,7,0
DEK,D,20150227,000000,14.232,14.47,14.232,14.47,1843,0
DEK,D,20150302,000000,14.422,14.422,14.422,14.422,430,0
DEK,D,20150303,000000,14.461,14.671,14.422,14.671,5885,0
DEK,D,20150304,000000,14.671,15.337,14.671,15.337,1012,0
DEK,D,20150305,000000,15.624,16.662,15.624,16.662,3497,0
DEK,D,20150306,000000,16.195,17.604,16.147,17.604,2008,0
DEK,D,20150309,000000,17.604,18.939,17.529,18.091,623,0
DEK,D,20150310,000000,18.567,18.576,17.767,18.481,738,0
DEK,D,20150311,000000,17.814,18.576,17.814,18.567,22262,0
DEK,D,20150312,000000,18.386,18.386,18.1,18.291,7,0
DEK,D,20150313,000000,18.243,19.044,17.671,18.672,7860,0
DEK,D,20150316,000000,17.795,18.434,17.795,18.434,106,0
