<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DAT,D,20120720,000000,3,3.6,2.9,3.6,20354,0
DAT,D,20120723,000000,4.32,5.16,4.03,5.16,14065,0
DAT,D,20120724,000000,5.99,7.18,4.8,7.18,9453,0
DAT,D,20120725,000000,7.22,8.66,5.78,6.2,15887,0
DAT,D,20120726,000000,6.89,7.7,6.19,6.19,4113,0
DAT,D,20120727,000000,6.99,6.99,5.6,6.95,2671,0
DAT,D,20120730,000000,7,7,5.16,5.16,4727,0
DAT,D,20120731,000000,4.25,6,4.25,6,746,0
DAT,D,20120801,000000,6.1,7.15,6,7.14,7004,0
DAT,D,20120802,000000,7.14,8,7,8,6136,0
DAT,D,20120803,000000,8.88,8.88,7,7,298,0
DAT,D,20120806,000000,7.5,7.5,6,6,1321,0
DAT,D,20120807,000000,5.05,5.5,4.8,4.8,11030,0
DAT,D,20120808,000000,4.8,5.45,4.57,5.45,10501,0
DAT,D,20120809,000000,5.5,5.5,4.8,4.8,2430,0
DAT,D,20120810,000000,4.8,5.7,4.8,5.7,3709,0
DAT,D,20120814,000000,5.5,5.5,5,5,97,0
DAT,D,20120816,000000,5.5,5.5,5.5,5.5,200,0
DAT,D,20120817,000000,5.3,5.5,5.3,5.5,215,0
DAT,D,20120820,000000,4.5,6.6,4.5,6.6,414,0
DAT,D,20120822,000000,7,7,7,7,42,0
DAT,D,20120823,000000,7.4,7.4,7.4,7.4,416,0
DAT,D,20120824,000000,7.95,8,7.95,8,450,0
DAT,D,20120827,000000,8.88,8.9,8.88,8.9,540,0
DAT,D,20120828,000000,9.3,9.5,9,9,171,0
DAT,D,20120829,000000,8.5,8.5,6.5,6.5,972,0
DAT,D,20120830,000000,6.5,6.5,5.9,5.9,200,0
DAT,D,20120831,000000,6.5,6.5,5.61,5.61,400,0
DAT,D,20120904,000000,5,5,5,5,10,0
DAT,D,20120905,000000,6,6,6,6,645,0
DAT,D,20120906,000000,6,6,6,6,490,0
DAT,D,20120907,000000,5.05,6,5.05,6,300,0
DAT,D,20120910,000000,6.06,6.06,6.05,6.05,1500,0
DAT,D,20120911,000000,6.11,7,6.11,7,200,0
DAT,D,20120912,000000,7.5,8,7.3,7.3,2700,0
DAT,D,20120913,000000,8,8.6,8,8.6,67,0
DAT,D,20120918,000000,8,8,6.9,6.9,900,0
DAT,D,20120919,000000,6.6,6.6,6,6,751,0
DAT,D,20120924,000000,6,6,5,5.9,2109,0
DAT,D,20120926,000000,6,6,6,6,100,0
DAT,D,20120927,000000,6,6,5,5.11,211,0
DAT,D,20120928,000000,5.6,5.6,5.5,5.5,4400,0
DAT,D,20121001,000000,5.5,5.5,5.5,5.5,1189,0
DAT,D,20121003,000000,6,6,6,6,13,0
DAT,D,20121004,000000,5.35,5.35,5.35,5.35,255,0
DAT,D,20121005,000000,5.3,5.3,5.1,5.1,705,0
DAT,D,20121008,000000,5.15,5.4,5.15,5.4,912,0
DAT,D,20121009,000000,5.16,5.16,4.8,4.8,1850,0
DAT,D,20121010,000000,4.2,4.2,4.2,4.2,1200,0
DAT,D,20121011,000000,4.21,4.21,4.21,4.21,20,0
DAT,D,20121015,000000,4.9,4.9,4.9,4.9,1,0
DAT,D,20121017,000000,4.9,4.99,4.9,4.99,299,0
DAT,D,20121019,000000,5,5,5,5,100,0
DAT,D,20121022,000000,5,5.2,5,5.2,200,0
DAT,D,20121024,000000,5.01,5.01,5,5,310,0
DAT,D,20121102,000000,5.49,5.49,5.49,5.49,2,0
DAT,D,20121106,000000,4.6,4.6,4.41,4.41,900,0
DAT,D,20121107,000000,3.8,3.99,3.53,3.6,500,0
DAT,D,20121109,000000,3.8,4.3,3.01,4.3,688,0
DAT,D,20121112,000000,5,5,5,5,100,0
DAT,D,20121114,000000,5.8,5.8,5.8,5.8,2,0
DAT,D,20121119,000000,5.45,5.45,4.8,4.8,200,0
DAT,D,20121120,000000,4.01,4.01,4,4,1100,0
DAT,D,20121121,000000,4.01,4.01,4,4,400,0
DAT,D,20121122,000000,4.01,4.3,4.01,4.3,1300,0
DAT,D,20121126,000000,4.2,5,4.2,5,2400,0
DAT,D,20121127,000000,5.41,5.65,4.9,5.4,6621,0
DAT,D,20121128,000000,5.88,7,5.88,7,7188,0
