<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAV,D,20210723,000000,23.9,25.2,23.715,24.99,185139,0
CAV,D,20210726,000000,24.65,24.9,24.115,24.4,7562,0
CAV,D,20210727,000000,24.5,24.5,24.205,24.3,6226,0
CAV,D,20210728,000000,24.2,24.4,24.015,24.02,4125,0
CAV,D,20210729,000000,24,24,23.7,23.85,8863,0
CAV,D,20210730,000000,23.8,24.15,23.72,23.82,5994,0
CAV,D,20210802,000000,24.095,25,24.095,24.78,5075,0
CAV,D,20210803,000000,24.78,25.1,24.51,24.99,9179,0
CAV,D,20210804,000000,24.61,25,24.5,24.8,2883,0
CAV,D,20210805,000000,24.8,24.8,24.17,24.73,8658,0
CAV,D,20210806,000000,24.31,24.5,24.3,24.4,1335,0
CAV,D,20210809,000000,24.4,24.5,24.04,24.05,1870,0
CAV,D,20210810,000000,24.2,24.25,22.02,24,6772,0
CAV,D,20210811,000000,24.5,25.25,23.8,24.24,3140,0
CAV,D,20210812,000000,24.46,24.46,24.2,24.4,1035,0
CAV,D,20210813,000000,24.35,24.4,24,24.2,1025,0
CAV,D,20210816,000000,24.3,24.3,24,24.05,1463,0
CAV,D,20210817,000000,24,24.1,23.85,24.1,8866,0
CAV,D,20210818,000000,24.2,24.25,24,24.1,1814,0
CAV,D,20210819,000000,24.1,24.15,24,24.1,1139,0
CAV,D,20210820,000000,24.1,24.205,24.1,24.2,1336,0
CAV,D,20210823,000000,24.15,24.3,24,24,4865,0
CAV,D,20210824,000000,24,24.1,24,24,1061,0
CAV,D,20210825,000000,24.05,24.2,24,24,848,0
CAV,D,20210826,000000,24.2,24.3,24.1,24.3,580,0
CAV,D,20210827,000000,24.35,24.35,24.15,24.35,136,0
CAV,D,20210830,000000,24.45,24.45,24.15,24.15,1407,0
CAV,D,20210831,000000,24.15,24.62,24.15,24.59,7842,0
CAV,D,20210901,000000,24.59,24.69,24.25,24.25,753,0
CAV,D,20210902,000000,24.25,24.45,24.05,24.45,490,0
CAV,D,20210903,000000,24.15,24.45,24.15,24.15,163,0
CAV,D,20210906,000000,24.44,24.55,24.4,24.55,13788,0
CAV,D,20210907,000000,24.54,24.79,24.5,24.79,3788,0
CAV,D,20210908,000000,24.7,24.99,24.5,24.99,6009,0
CAV,D,20210909,000000,24.99,25,24.65,25,4509,0
CAV,D,20210910,000000,24.95,24.95,24.24,24.7,477,0
CAV,D,20210913,000000,24.54,24.6,24.4,24.6,509,0
CAV,D,20210914,000000,24.55,24.55,24.1,24.11,536,0
CAV,D,20210915,000000,24.12,24.5,24.105,24.105,1466,0
CAV,D,20210916,000000,24.105,24.44,24,24,804,0
CAV,D,20210917,000000,24.4,24.4,24,24.395,1403,0
CAV,D,20210920,000000,24,24.29,23.55,24.185,1168,0
CAV,D,20210921,000000,23.56,24.18,23.56,23.89,834,0
CAV,D,20210922,000000,23.6,24,23.6,23.7,3695,0
CAV,D,20210923,000000,23.96,24.01,23.95,24.01,1533,0
CAV,D,20210924,000000,24,24.25,23.7,24,655,0
CAV,D,20210927,000000,23.65,24.24,23.65,24.24,189,0
CAV,D,20210928,000000,23.65,24.24,23.65,24.24,1022,0
CAV,D,20210929,000000,23.55,24.2,23.55,24.2,136,0
CAV,D,20210930,000000,23.7,24.15,23.6,24,649,0
CAV,D,20211001,000000,23.85,23.85,23.6,23.6,902,0
CAV,D,20211004,000000,23.6,24,23.5,23.65,2201,0
CAV,D,20211005,000000,23.7,23.7,23.5,23.5,786,0
CAV,D,20211006,000000,23.5,23.5,23.1,23.5,2368,0
CAV,D,20211007,000000,23.45,24,23.1,24,3118,0
CAV,D,20211008,000000,23,24.2,23,24.2,3401,0
CAV,D,20211011,000000,24.245,24.3,23.65,24.1,2842,0
CAV,D,20211012,000000,24.2,24.7,24,24.7,13169,0
CAV,D,20211013,000000,24.8,25.55,24.75,25,56180,0
CAV,D,20211014,000000,25.19,25.19,24.5,25.1,6626,0
CAV,D,20211015,000000,25,25.17,24.6,24.95,1064,0
CAV,D,20211018,000000,24.95,25,24,25,4799,0
CAV,D,20211019,000000,24.8,24.8,24.2,24.2,789,0
CAV,D,20211020,000000,24.21,24.95,24.21,24.9,8,0
CAV,D,20211021,000000,24.9,24.9,24.2,24.2,575,0
CAV,D,20211022,000000,24.1,24.6,24,24.4,1427,0
CAV,D,20211025,000000,24.4,24.45,24,24,186,0
CAV,D,20211026,000000,24.11,25,24.11,24.7,3826,0
CAV,D,20211027,000000,24.71,24.71,24.7,24.7,300,0
CAV,D,20211028,000000,24.71,24.8,24.71,24.8,55,0
CAV,D,20211029,000000,24.31,25.1,24.31,25,12558,0
CAV,D,20211102,000000,25.1,25.15,24.52,25.13,4878,0
CAV,D,20211103,000000,24.52,25.095,24.52,25.05,797,0
CAV,D,20211104,000000,24.58,25.04,24.58,25,3522,0
CAV,D,20211105,000000,24.995,25.035,24.995,25,4953,0
CAV,D,20211108,000000,25,25,24.3,25,6163,0
CAV,D,20211109,000000,24.7,24.995,24.7,24.75,500,0
CAV,D,20211110,000000,25.02,25.02,24.9,24.9,16117,0
CAV,D,20211112,000000,24.56,24.6,24.56,24.56,205,0
CAV,D,20211115,000000,24.8,24.8,24.6,24.8,3124,0
CAV,D,20211116,000000,25,25,24.405,24.8,739,0
CAV,D,20211117,000000,24.8,24.8,24.4,24.795,3265,0
CAV,D,20211118,000000,24.785,24.8,24.4,24.66,30126,0
CAV,D,20211119,000000,24.6,24.6,23.54,24.5,2288,0
CAV,D,20211122,000000,24,24,23.55,23.96,10183,0
CAV,D,20211123,000000,23.6,23.9,23.6,23.9,191,0
CAV,D,20211124,000000,23.4,23.79,23.35,23.79,210,0
CAV,D,20211125,000000,23.79,23.84,22.205,23.4,3541,0
CAV,D,20211126,000000,22.6,24.1,22,24.1,5962,0
CAV,D,20211129,000000,22.7,24.8,22.7,24.8,3026,0
CAV,D,20211130,000000,24.8,24.8,23,23.28,9250,0
CAV,D,20211201,000000,24.18,24.8,23.27,24.8,5632,0
CAV,D,20211202,000000,23.585,24.79,23.31,24.3,3391,0
CAV,D,20211203,000000,24.25,24.25,24,24.24,91,0
CAV,D,20211206,000000,24.22,24.22,22.8,23.025,6454,0
CAV,D,20211207,000000,23.695,23.695,23.05,23.665,938,0
CAV,D,20211208,000000,23.015,23.4,23,23.395,2514,0
CAV,D,20211209,000000,23.295,23.295,22.6,23.165,619,0
CAV,D,20211210,000000,22.7,23.14,22.5,23.1,1063,0
CAV,D,20211213,000000,22.7,23.1,22.7,23.1,214,0
CAV,D,20211214,000000,23.1,23.1,22.365,22.97,160,0
CAV,D,20211215,000000,22.75,22.75,22,22.47,1885,0
CAV,D,20211216,000000,21.505,22.2,21.5,21.6,523,0
CAV,D,20211217,000000,21.6,22.195,21.51,21.98,3022,0
CAV,D,20211220,000000,22,22,21.565,21.565,514,0
CAV,D,20211221,000000,21.605,22,21.6,22,3490,0
CAV,D,20211222,000000,22,23,22,22.7,13165,0
CAV,D,20211223,000000,22.7,23.5,22.7,23,2349,0
CAV,D,20211227,000000,22.005,22.7,21.53,21.53,8057,0
CAV,D,20211228,000000,21.53,22.28,21.53,21.55,6933,0
CAV,D,20211229,000000,22.38,22.38,22.275,22.28,559,0
CAV,D,20211230,000000,22.26,22.26,22.18,22.18,1194,0
CAV,D,20220103,000000,21.555,22.18,21.555,22.09,285,0
CAV,D,20220104,000000,22.76,22.76,22.76,22.76,180,0
CAV,D,20220107,000000,21.68,22.5,21.68,22.48,154,0
