<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NNG,D,20171221,000000,5,5.3,4.27,4.5,52940,0
NNG,D,20171222,000000,4.75,4.75,3.86,4.1,18499,0
NNG,D,20171227,000000,4.1,4.1,3,3,27208,0
NNG,D,20171228,000000,3.13,3.13,2.75,3.1,17359,0
NNG,D,20171229,000000,3.1,3.29,2.95,3.2,9284,0
NNG,D,20180103,000000,3.2,3.48,3.2,3.4,6878,0
NNG,D,20180104,000000,3.64,4,3.64,4,13991,0
NNG,D,20180105,000000,4.28,5.17,4.28,4.94,56103,0
NNG,D,20180108,000000,4.94,5.2,4.61,4.85,47615,0
NNG,D,20180109,000000,4.88,4.9,4.65,4.7,5308,0
NNG,D,20180110,000000,4.67,4.67,4.59,4.67,1180,0
NNG,D,20180111,000000,4.7,4.85,4.67,4.85,770,0
NNG,D,20180112,000000,4.85,4.85,4.61,4.8,1115,0
NNG,D,20180115,000000,4.8,4.8,4.62,4.8,2370,0
NNG,D,20180116,000000,4.75,4.8,4.75,4.8,1630,0
NNG,D,20180117,000000,4.75,4.75,4.62,4.62,1742,0
NNG,D,20180118,000000,4.55,4.55,4.1,4.1,6811,0
NNG,D,20180119,000000,4.1,4.1,4.07,4.1,1403,0
NNG,D,20180122,000000,4.1,4.1,4.1,4.1,495,0
NNG,D,20180123,000000,4.1,4.47,4.1,4.47,2170,0
NNG,D,20180124,000000,4.45,4.49,4.45,4.48,1400,0
NNG,D,20180125,000000,4.5,4.5,4.4,4.4,2850,0
NNG,D,20180126,000000,4.54,4.55,4.5,4.5,3890,0
NNG,D,20180129,000000,4.52,4.52,4.52,4.52,10,0
NNG,D,20180130,000000,4.49,4.49,4.4,4.49,211,0
NNG,D,20180201,000000,4.4,4.45,4.4,4.4,2651,0
NNG,D,20180205,000000,4.38,4.38,4.05,4.35,1545,0
NNG,D,20180206,000000,4.3,4.5,4.2,4.5,6661,0
NNG,D,20180207,000000,4.11,4.34,4.05,4.3,6350,0
NNG,D,20180209,000000,4.29,4.3,4.29,4.3,320,0
NNG,D,20180212,000000,4.4,4.4,4.4,4.4,120,0
NNG,D,20180213,000000,4.4,4.4,4,4.34,1654,0
NNG,D,20180214,000000,4.34,4.34,4.34,4.34,30,0
NNG,D,20180215,000000,4.3,4.3,4,4.28,649,0
NNG,D,20180216,000000,4.28,4.28,4.28,4.28,2475,0
NNG,D,20180219,000000,4.27,4.27,4.27,4.27,75,0
NNG,D,20180220,000000,4.28,4.28,4,4.28,2842,0
NNG,D,20180221,000000,4.28,4.28,4.28,4.28,155,0
NNG,D,20180226,000000,4.25,4.25,4.25,4.25,500,0
NNG,D,20180227,000000,4,4.24,4,4.24,230,0
NNG,D,20180228,000000,4.23,4.23,4.2,4.2,71,0
NNG,D,20180302,000000,4.01,4.01,4.01,4.01,200,0
NNG,D,20180305,000000,4,4,3.94,3.99,2133,0
NNG,D,20180306,000000,3.94,3.94,3.74,3.87,1480,0
NNG,D,20180307,000000,3.8,3.8,3.74,3.74,600,0
NNG,D,20180308,000000,3.56,4.18,3.56,4.03,7697,0
NNG,D,20180309,000000,4.03,4.25,4.03,4.25,13472,0
NNG,D,20180312,000000,4.4,4.4,4.25,4.25,1732,0
NNG,D,20180313,000000,4.25,4.25,4.25,4.25,100,0
NNG,D,20180314,000000,4.1,4.25,3.9,4.25,250,0
NNG,D,20180315,000000,4.25,4.25,4.25,4.25,200,0
NNG,D,20180316,000000,4.25,4.25,4.25,4.25,300,0
NNG,D,20180320,000000,4,4.19,4,4.19,486,0
NNG,D,20180326,000000,4.19,4.25,4.19,4.25,628,0
NNG,D,20180328,000000,4.2,4.2,4.2,4.2,100,0
NNG,D,20180329,000000,4.25,4.25,4.25,4.25,33,0
NNG,D,20180403,000000,3.95,4.2,3.95,4.2,31,0
NNG,D,20180404,000000,3.81,3.81,3.81,3.81,260,0
