<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPP,D,20211209,000000,74,74.3,70,70,2188353,0
GPP,D,20211210,000000,69.02,69.49,65,67.5,957980,0
GPP,D,20211213,000000,67.56,67.64,66.5,67.5,182497,0
GPP,D,20211214,000000,67.66,68,66.5,67,97432,0
GPP,D,20211215,000000,67.4,67.5,66.51,67.5,78321,0
GPP,D,20211216,000000,68,68.09,67.26,67.87,58448,0
GPP,D,20211217,000000,68,68.02,67,67.6,74433,0
GPP,D,20211220,000000,67,67.99,67,67,49126,0
GPP,D,20211221,000000,67,67.48,66.53,67,86731,0
GPP,D,20211222,000000,67.3,68,67.29,67.7,78209,0
GPP,D,20211223,000000,68,68.9,67.86,68.8,4525,0
GPP,D,20211227,000000,69,70.9,69,70.01,35304,0
GPP,D,20211228,000000,70.49,70.49,70.02,70.3,14864,0
GPP,D,20211229,000000,70.4,72.43,70.31,71.74,21202,0
GPP,D,20211230,000000,72,72.8,72,72.5,38451,0
GPP,D,20220103,000000,72.5,73.5,72.5,73.37,13143,0
GPP,D,20220104,000000,73.95,76.4,73.01,74.8,80020,0
GPP,D,20220105,000000,74.2,75.99,74.2,75.51,45543,0
GPP,D,20220107,000000,75.5,75.99,75,75.2,77059,0
GPP,D,20220110,000000,75.2,75.75,75.2,75.55,27930,0
GPP,D,20220111,000000,75.9,76.39,75.01,75.75,197637,0
GPP,D,20220112,000000,75.8,77.5,75.8,76.73,69070,0
GPP,D,20220113,000000,77.9,77.9,76.8,77.7,33807,0
GPP,D,20220114,000000,77.5,77.85,77.01,77.6,130038,0
GPP,D,20220117,000000,78,78.2,77.49,78.2,11599,0
GPP,D,20220118,000000,78.2,79.7,77.2,78,118572,0
GPP,D,20220119,000000,77.5,79.88,76,79.15,80272,0
GPP,D,20220120,000000,79.15,79.15,72.33,74,192917,0
GPP,D,20220121,000000,74,75.84,73.2,74.7,54750,0
GPP,D,20220124,000000,75,75.05,73.6,73.89,63702,0
GPP,D,20220125,000000,73.02,74.6,73.02,73.93,29377,0
GPP,D,20220126,000000,73.93,74.05,73.01,73.45,10049,0
GPP,D,20220127,000000,72.34,73.43,72,72.75,15169,0
GPP,D,20220128,000000,72.75,73,70.23,71,6815,0
GPP,D,20220131,000000,72.68,72.68,70.04,72,6469,0
GPP,D,20220201,000000,72.5,74.04,72.4,73.01,8949,0
GPP,D,20220202,000000,73.5,75,73.5,75,18149,0
GPP,D,20220203,000000,75,75.3,74.5,74.5,15037,0
GPP,D,20220204,000000,75.3,75.3,74.5,74.5,17273,0
GPP,D,20220207,000000,73,73,69.2,72.06,36920,0
GPP,D,20220208,000000,73.98,74.2,72.85,73.8,8478,0
GPP,D,20220209,000000,75,75.98,73.91,74.87,50158,0
GPP,D,20220210,000000,76,76,71.23,71.8,221745,0
GPP,D,20220211,000000,71.1,72.48,71.1,72.45,2380,0
GPP,D,20220214,000000,72.47,73,71.03,73,4229,0
