<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OVI,D,20200806,000000,7.8,7.98,6.24,6.59,790342,0
OVI,D,20200807,000000,6.59,6.59,4.66,4.99,274738,0
OVI,D,20200810,000000,4.66,6,4.5,5,317438,0
OVI,D,20200811,000000,5.34,5.35,4.5,4.845,140753,0
OVI,D,20200812,000000,4.899,4.899,3.92,4.2,165918,0
OVI,D,20200813,000000,4.2,4.2,3.36,3.4,213356,0
OVI,D,20200814,000000,3.4,3.9,3.4,3.859,89840,0
OVI,D,20200817,000000,3.9,3.9,3.6,3.7995,30931,0
OVI,D,20200818,000000,3.66,3.7895,3.45,3.649,31636,0
OVI,D,20200819,000000,3.55,3.688,3.32,3.649,78997,0
OVI,D,20200820,000000,3.52,3.67,3.4,3.41,16372,0
OVI,D,20200821,000000,3.45,3.799,3.375,3.79,195306,0
OVI,D,20200824,000000,3.77,3.889,3.5405,3.6995,40115,0
OVI,D,20200825,000000,3.69,3.69,3.502,3.51,53852,0
OVI,D,20200826,000000,3.68,3.68,3.502,3.6,14762,0
OVI,D,20200827,000000,3.65,3.84,3.6,3.73,28468,0
OVI,D,20200828,000000,3.82,3.85,3.6155,3.85,37065,0
OVI,D,20200831,000000,3.86,3.889,3.651,3.8,19564,0
OVI,D,20200901,000000,3.621,3.65,3.35,3.45,41425,0
OVI,D,20200902,000000,3.52,3.52,3.4,3.4,10074,0
OVI,D,20200903,000000,3.5,3.569,3.38,3.38,8451,0
OVI,D,20200904,000000,3.21,3.31,3.09,3.27,34567,0
OVI,D,20200907,000000,3.279,3.279,2.73,2.84,44482,0
OVI,D,20200908,000000,2.85,2.85,2.37,2.65,67780,0
OVI,D,20200909,000000,2.53,2.9,2.53,2.89,12362,0
OVI,D,20200910,000000,2.9,3.248,2.89,2.985,6947,0
OVI,D,20200911,000000,2.985,3,2.96,2.985,4778,0
OVI,D,20200914,000000,3.048,3.1,2.95,3.03,10629,0
OVI,D,20200915,000000,2.95,3.49,2.88,3.385,13403,0
OVI,D,20200916,000000,3.478,3.478,3.11,3.3,1033,0
OVI,D,20200917,000000,3.2,3.399,2.9,3.14,5350,0
OVI,D,20200918,000000,3.14,3.24,2.95,3.24,10840,0
OVI,D,20200921,000000,3.24,3.24,2.85,2.985,15095,0
OVI,D,20200922,000000,2.99,3.14,2.9,3.09,4660,0
OVI,D,20200923,000000,2.98,3.1,2.812,3.1,8034,0
OVI,D,20200924,000000,3.07,3.07,2.94,3.048,200,0
OVI,D,20200925,000000,2.95,2.99,2.95,2.99,2982,0
OVI,D,20200928,000000,2.99,3.18,2.96,3.1,9437,0
OVI,D,20200929,000000,3,3.06,2.97,2.998,2385,0
OVI,D,20200930,000000,3,3.18,2.982,3.1,49034,0
OVI,D,20201001,000000,3.21,3.21,2.98,3.04,12425,0
OVI,D,20201002,000000,2.96,3.26,2.902,3.19,6449,0
OVI,D,20201005,000000,3.13,3.23,2.85,3.149,42382,0
OVI,D,20201006,000000,3,3,2.79,2.9,79058,0
OVI,D,20201007,000000,2.88,2.899,2.79,2.899,3466,0
OVI,D,20201008,000000,2.8,2.899,2.8,2.87,1637,0
OVI,D,20201009,000000,2.85,2.92,2.8,2.92,6630,0
OVI,D,20201012,000000,2.82,2.99,2.785,2.89,49553,0
