<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MPS,D,20210701,000000,45,45,40,41.9,1006,0
MPS,D,20210702,000000,40,40,35.5,36,791,0
MPS,D,20210705,000000,36,36,33.085,34.105,149,0
MPS,D,20210706,000000,34.105,35.2,34.105,35,562,0
MPS,D,20210707,000000,34.505,34.505,34.5,34.5,219,0
MPS,D,20210708,000000,34.495,34.495,33.715,33.715,341,0
MPS,D,20210709,000000,33,33,33,33,75,0
MPS,D,20210712,000000,33,33,33,33,30,0
MPS,D,20210713,000000,32.5,32.5,32.49,32.49,60,0
MPS,D,20210714,000000,32.495,32.495,32.495,32.495,5,0
MPS,D,20210715,000000,32,32,30.7,32,791,0
MPS,D,20210716,000000,31.3,31.3,30.9,31,135,0
MPS,D,20210719,000000,30.7,30.7,29,29.99,503,0
MPS,D,20210720,000000,29.99,29.99,29.85,29.85,36,0
MPS,D,20210721,000000,29.195,29.2,29.19,29.2,497,0
MPS,D,20210723,000000,29.005,29.925,29,29.92,197,0
MPS,D,20210726,000000,29.5,29.51,29.5,29.5,125,0
MPS,D,20210727,000000,29.2,29.2,29.2,29.2,45,0
MPS,D,20210728,000000,30,30,28.8,29,216,0
MPS,D,20210729,000000,29,29,29,29,140,0
MPS,D,20210730,000000,28.6,31.31,28.6,31.31,150,0
MPS,D,20210802,000000,31.31,31.31,29.99,30,237,0
MPS,D,20210803,000000,30,30,30,30,10,0
MPS,D,20210804,000000,30,30,30,30,19,0
MPS,D,20210805,000000,31.095,32,30,30.495,1127,0
MPS,D,20210806,000000,30.005,30.2,29.7,30.1,752,0
MPS,D,20210809,000000,30,30,30,30,350,0
MPS,D,20210810,000000,30,30,29.995,30,228,0
MPS,D,20210811,000000,30,30,30,30,304,0
MPS,D,20210812,000000,30,30,29.875,29.875,399,0
MPS,D,20210813,000000,29.875,30,29.875,30,208,0
MPS,D,20210816,000000,29.875,30.5,29.875,30.005,270,0
MPS,D,20210817,000000,30,30,29.405,29.5,273,0
MPS,D,20210818,000000,29.45,29.45,29.4,29.4,126,0
MPS,D,20210819,000000,29.2,29.7,29.2,29.7,90,0
MPS,D,20210820,000000,30,30,30,30,5,0
MPS,D,20210823,000000,29.7,29.7,28.8,28.8,150,0
MPS,D,20210824,000000,28.8,28.805,28.8,28.8,160,0
MPS,D,20210825,000000,28.2,29.995,28.2,29.995,124,0
MPS,D,20210826,000000,29.99,30.395,29.99,30,225,0
MPS,D,20210827,000000,30,30,30,30,3,0
MPS,D,20210830,000000,30.3,30.39,30.3,30.39,100,0
MPS,D,20210831,000000,30.395,34.9,30,34.895,2002,0
MPS,D,20210901,000000,35.4,42.445,35.4,41.685,2643,0
MPS,D,20210902,000000,41,43,39,43,1034,0
MPS,D,20210903,000000,44.4,49.995,44.4,49.47,1511,0
MPS,D,20210906,000000,46.51,46.51,43.005,45.2,787,0
MPS,D,20210907,000000,44.4,45.995,44,45.995,152,0
MPS,D,20210908,000000,47.215,47.215,46,46,35,0
MPS,D,20210909,000000,46,49.35,46,49.35,2691,0
MPS,D,20210910,000000,49.34,49.345,48.525,49.345,501,0
MPS,D,20210913,000000,49.295,49.3,48.56,49.28,454,0
MPS,D,20210914,000000,49,49.005,46.5,47.995,171,0
MPS,D,20210915,000000,46.51,46.51,44.99,44.995,525,0
MPS,D,20210916,000000,45,47.85,45,46.85,757,0
MPS,D,20210917,000000,47,47,47,47,10,0
MPS,D,20210920,000000,47,47,45.13,45.3,256,0
MPS,D,20210921,000000,45.8,49.97,45.8,49.3,1614,0
MPS,D,20210922,000000,49.945,59,49.02,58,2600,0
MPS,D,20210923,000000,57.78,58,51.5,55.5,616,0
MPS,D,20210924,000000,56.49,56.49,53.64,53.64,59,0
MPS,D,20210927,000000,53.64,55.47,53.64,53.64,240,0
MPS,D,20210928,000000,53,53.01,53,53.01,46,0
MPS,D,20210929,000000,53,55,53,53.52,334,0
MPS,D,20210930,000000,53,54.93,53,54,180,0
MPS,D,20211001,000000,53.5,54,53.2,53.3,245,0
MPS,D,20211004,000000,53.95,53.95,53.89,53.89,27,0
MPS,D,20211005,000000,53.22,53.22,50.15,50.5,382,0
MPS,D,20211006,000000,51.46,51.46,48.1,51,153,0
MPS,D,20211007,000000,50.11,51,50,51,253,0
MPS,D,20211011,000000,51.3,53.84,50.78,53.84,311,0
MPS,D,20211012,000000,53.84,56,53.84,56,372,0
MPS,D,20211013,000000,56.01,56.87,56,56.87,350,0
MPS,D,20211014,000000,56.87,56.89,56.68,56.89,117,0
MPS,D,20211015,000000,57,57.77,57,57.7,86,0
MPS,D,20211018,000000,57.94,57.94,57,57.78,21,0
MPS,D,20211019,000000,57.79,57.79,56,56,117,0
MPS,D,20211020,000000,56,56.2,55.8,55.99,121,0
MPS,D,20211021,000000,56.5,56.5,56,56.3,83,0
MPS,D,20211022,000000,56.4,56.4,56,56.05,94,0
MPS,D,20211025,000000,56.02,56.29,56.02,56.29,68,0
MPS,D,20211026,000000,56.29,56.29,55.81,55.81,86,0
MPS,D,20211027,000000,56.29,56.29,55,55.98,110,0
MPS,D,20211028,000000,55.1,55.78,54.1,55.78,111,0
MPS,D,20211029,000000,55.8,55.8,54,54.98,326,0
MPS,D,20211102,000000,54.98,54.98,53.5,54,17,0
MPS,D,20211103,000000,53.5,53.5,50,50.98,481,0
MPS,D,20211104,000000,50.99,54.83,50.99,51,283,0
MPS,D,20211105,000000,50.07,51,49,50,183,0
MPS,D,20211108,000000,50,50.95,50,50.95,102,0
MPS,D,20211109,000000,50,51.38,50,51,138,0
MPS,D,20211110,000000,50.84,50.84,50.48,50.48,24,0
MPS,D,20211112,000000,50,50.45,49,50.45,208,0
MPS,D,20211115,000000,48,48.28,47.98,48.28,200,0
MPS,D,20211116,000000,48.76,48.76,47,47,87,0
MPS,D,20211117,000000,46.02,46.02,45,46,315,0
MPS,D,20211118,000000,45,45.21,44,45.21,150,0
MPS,D,20211119,000000,44.055,44.84,44,44.84,218,0
MPS,D,20211122,000000,44.5,45.9,44,44.39,249,0
MPS,D,20211123,000000,44.4,44.4,42.005,42.005,213,0
MPS,D,20211124,000000,42,42.395,37.2,42.395,913,0
MPS,D,20211125,000000,42.39,42.59,41.995,42.55,214,0
MPS,D,20211126,000000,42.55,42.55,42,42,31,0
MPS,D,20211129,000000,42,42,41.995,42,23,0
MPS,D,20211130,000000,41.99,41.99,41.99,41.99,11,0
MPS,D,20211201,000000,41.99,42,41,41.69,86,0
MPS,D,20211202,000000,41.7,42,41.7,42,47,0
MPS,D,20211203,000000,42,42,40,41.9,234,0
MPS,D,20211206,000000,41.99,41.99,41.99,41.99,2,0
MPS,D,20211207,000000,41.99,41.99,41.99,41.99,2,0
MPS,D,20211208,000000,41,41,40.005,40.79,71,0
MPS,D,20211209,000000,40,40.8,40,40.8,9,0
MPS,D,20211210,000000,41.98,41.98,41.98,41.98,17,0
MPS,D,20211213,000000,41.98,41.98,41.98,41.98,18,0
MPS,D,20211214,000000,41.7,41.7,41.7,41.7,2,0
MPS,D,20211215,000000,41.68,41.7,37.4,37.4,375,0
MPS,D,20211216,000000,36.005,40.85,36.005,38.48,349,0
MPS,D,20211217,000000,38.46,39.455,38.45,39.455,102,0
MPS,D,20211220,000000,39,39,38,38.91,128,0
MPS,D,20211221,000000,38.89,38.89,35.45,37.89,366,0
MPS,D,20211223,000000,36.895,38,36.895,38,180,0
MPS,D,20211227,000000,38.495,38.495,36.5,37.94,66,0
