<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMV,D,20211206,000000,2.72,2.72,1.96,1.99,226867,0
AMV,D,20211207,000000,2,2.08,1.9,1.938,60146,0
AMV,D,20211208,000000,1.93,2,1.82,1.878,48939,0
AMV,D,20211209,000000,1.878,1.878,1.66,1.749,95974,0
AMV,D,20211210,000000,1.65,1.75,1.6,1.68,30655,0
AMV,D,20211213,000000,1.6798,1.6798,1.512,1.549,28267,0
AMV,D,20211214,000000,1.592,1.676,1.55,1.634,16409,0
AMV,D,20211215,000000,1.62,1.8,1.57,1.7798,49885,0
AMV,D,20211216,000000,1.655,1.8,1.655,1.779,10956,0
AMV,D,20211217,000000,1.77,1.8,1.6,1.688,125193,0
AMV,D,20211220,000000,1.63,1.79,1.5,1.56,13483,0
AMV,D,20211221,000000,1.63,1.8,1.55,1.78,30124,0
AMV,D,20211222,000000,1.71,1.78,1.65,1.78,31968,0
AMV,D,20211223,000000,1.576,1.76,1.576,1.73,9350,0
AMV,D,20211227,000000,1.611,1.73,1.57,1.7,16423,0
AMV,D,20211228,000000,1.63,1.7,1.52,1.685,46645,0
AMV,D,20211229,000000,1.65,1.74,1.64,1.73,10016,0
AMV,D,20211230,000000,1.73,1.73,1.725,1.725,154,0
AMV,D,20220103,000000,1.745,1.85,1.74,1.839,9716,0
AMV,D,20220104,000000,1.84,1.85,1.84,1.85,1603,0
AMV,D,20220105,000000,1.85,1.85,1.72,1.848,4262,0
AMV,D,20220107,000000,1.8,1.9,1.8,1.9,3721,0
AMV,D,20220110,000000,1.93,1.95,1.82,1.94,6834,0
AMV,D,20220111,000000,1.95,1.97,1.84,1.97,12020,0
AMV,D,20220112,000000,1.98,2.04,1.97,2.03,4047,0
AMV,D,20220113,000000,2.04,2.09,2.02,2.09,4193,0
AMV,D,20220114,000000,2.09,2.1,2.09,2.1,3901,0
AMV,D,20220117,000000,2.1,2.1,2.1,2.1,2798,0
AMV,D,20220118,000000,2.11,2.11,2.106,2.11,267,0
AMV,D,20220119,000000,2.1,2.1,2.02,2.07,455,0
AMV,D,20220120,000000,2.02,2.02,1.87,1.97,9028,0
AMV,D,20220121,000000,1.97,2,1.85,1.96,9082,0
AMV,D,20220124,000000,1.96,1.96,1.8,1.9178,20923,0
