<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OML,D,20120829,000000,1.31,1.31,1.28,1.3,6690,0
OML,D,20120830,000000,1.11,1.3,1.11,1.3,940,0
OML,D,20120911,000000,1.31,1.31,1.3,1.3,1320,0
OML,D,20120912,000000,1.24,1.24,1.08,1.18,460,0
OML,D,20120913,000000,1.18,1.19,1.18,1.19,540,0
OML,D,20120914,000000,1.19,1.25,1.19,1.25,150,0
OML,D,20120917,000000,1.28,1.28,1.28,1.28,10,0
OML,D,20120918,000000,1.28,1.3,1.28,1.3,21200,0
OML,D,20120919,000000,1.31,1.31,1.31,1.31,10,0
OML,D,20120920,000000,1.31,1.31,1.23,1.23,1110,0
OML,D,20120921,000000,1.24,1.28,1.24,1.28,120,0
OML,D,20120924,000000,1.28,1.29,1.24,1.29,16400,0
OML,D,20120925,000000,1.29,1.35,1.29,1.35,10700,0
OML,D,20120926,000000,1.35,1.5,1.35,1.5,5020,0
OML,D,20120927,000000,1.5,1.7,1.5,1.52,23750,0
OML,D,20120928,000000,1.56,1.6,1.4,1.6,6060,0
OML,D,20121001,000000,1.6,1.6,1.6,1.6,20,0
OML,D,20121002,000000,1.6,1.6,1.46,1.48,690,0
OML,D,20121004,000000,1.6,1.6,1.6,1.6,300,0
OML,D,20121005,000000,1.6,1.6,1.32,1.44,3910,0
OML,D,20121008,000000,1.35,1.35,1.29,1.3,1200,0
OML,D,20121009,000000,1.3,1.3,1.27,1.27,2210,0
OML,D,20121010,000000,1.27,1.27,1.27,1.27,10,0
OML,D,20121011,000000,1.27,1.27,1.02,1.15,6490,0
OML,D,20121012,000000,1.2,1.24,1.2,1.24,30,0
OML,D,20121015,000000,1.24,1.28,1.24,1.28,2420,0
OML,D,20121016,000000,1.29,1.29,1.29,1.29,20,0
OML,D,20121017,000000,1.29,1.29,1.29,1.29,10,0
OML,D,20121018,000000,1.29,1.29,1.29,1.29,10,0
OML,D,20121019,000000,1.29,1.29,1.29,1.29,20,0
OML,D,20121022,000000,1.29,1.29,1.29,1.29,10,0
OML,D,20121023,000000,1.29,1.29,1.28,1.28,20,0
OML,D,20121024,000000,1.29,1.29,1.29,1.29,10,0
OML,D,20121025,000000,1.29,1.29,1.29,1.29,20,0
OML,D,20121026,000000,1.29,1.29,1.29,1.29,20,0
OML,D,20121029,000000,1.29,1.29,1.29,1.29,10,0
OML,D,20121030,000000,1.29,1.29,1.28,1.28,20,0
OML,D,20121102,000000,1.29,1.29,1.29,1.29,20,0
OML,D,20121105,000000,1.29,1.29,1.29,1.29,20,0
OML,D,20121106,000000,1.29,1.29,1.29,1.29,20,0
OML,D,20121107,000000,1.29,1.29,1.29,1.29,10,0
OML,D,20121108,000000,1.29,1.29,1.29,1.29,20,0
OML,D,20121109,000000,1.29,1.29,1.29,1.29,10,0
OML,D,20121112,000000,1.29,1.29,1.29,1.29,20,0
OML,D,20121113,000000,1.29,1.29,1.29,1.29,10,0
OML,D,20121114,000000,1.29,1.29,1.29,1.29,20,0
OML,D,20121115,000000,1.29,1.29,1.29,1.29,10,0
OML,D,20121116,000000,1.29,1.29,1.29,1.29,10,0
OML,D,20121119,000000,1.29,1.29,1.29,1.29,10,0
OML,D,20121120,000000,1.29,1.29,1.29,1.29,10,0
OML,D,20121121,000000,1.29,1.29,1.29,1.29,10,0
OML,D,20121122,000000,1.29,1.29,1.29,1.29,10,0
OML,D,20121204,000000,1.29,1.29,1.29,1.29,790,0
OML,D,20130125,000000,1.2,1.2,1.19,1.19,2620,0
OML,D,20130128,000000,1.24,1.24,1.24,1.24,0,0
OML,D,20130130,000000,1.18,1.18,1.15,1.15,260,0
OML,D,20130131,000000,1.15,1.15,1.15,1.15,30,0
OML,D,20130201,000000,1.15,1.15,1.15,1.15,10,0
OML,D,20130204,000000,1.15,1.15,1.03,1.03,1500,0
OML,D,20130205,000000,1.04,1.05,1,1.05,6580,0
OML,D,20130314,000000,1,1.05,0.96,1.05,13250,0
OML,D,20130321,000000,1.05,1.05,1.05,1.05,20,0
OML,D,20130322,000000,1.05,1.05,1.05,1.05,4020,0
OML,D,20130325,000000,1.08,1.09,1.08,1.09,2000,0
OML,D,20130326,000000,1.09,1.09,1.09,1.09,4000,0
OML,D,20130328,000000,1.09,1.09,1.09,1.09,4000,0
OML,D,20130402,000000,1.09,1.09,1.07,1.07,3020,0
OML,D,20130403,000000,1.08,1.09,1.08,1.09,3030,0
OML,D,20130405,000000,1.09,1.09,1.09,1.09,2000,0
OML,D,20130408,000000,1.09,1.09,1.09,1.09,3000,0
OML,D,20130410,000000,1.09,1.09,1.09,1.09,3000,0
OML,D,20130422,000000,1.09,1.09,1.09,1.09,3000,0
OML,D,20130529,000000,1.09,1.09,1.09,1.09,4500,0
OML,D,20130603,000000,1.09,1.09,1.09,1.09,20,0
OML,D,20130604,000000,1.09,1.09,1.09,1.09,4000,0
OML,D,20130617,000000,1.1,1.11,1.1,1.11,240,0
OML,D,20130717,000000,1.15,1.15,1.15,1.15,20,0
OML,D,20130722,000000,1.16,1.16,1.16,1.16,20,0
OML,D,20130723,000000,1.16,1.16,1.16,1.16,10,0
OML,D,20130724,000000,1.16,1.16,1.16,1.16,290,0
OML,D,20130725,000000,1.16,1.16,1.16,1.16,10,0
OML,D,20130726,000000,1.15,1.15,1.15,1.15,0,0
OML,D,20130729,000000,1.16,1.16,1.16,1.16,20,0
OML,D,20130730,000000,1.16,1.16,1.16,1.16,10,0
OML,D,20130731,000000,1.16,1.16,1.16,1.16,20,0
OML,D,20130802,000000,1.16,1.16,1.16,1.16,20,0
OML,D,20130805,000000,1.16,1.16,1.16,1.16,10,0
OML,D,20130808,000000,1.16,1.16,1.16,1.16,10,0
OML,D,20130812,000000,1.16,1.16,1.16,1.16,10,0
OML,D,20130813,000000,1.16,1.16,1.16,1.16,20,0
OML,D,20130816,000000,1.16,1.16,1.16,1.16,10,0
OML,D,20130819,000000,1.16,1.16,1.16,1.16,10,0
OML,D,20130820,000000,1.16,1.16,1.16,1.16,10,0
OML,D,20130821,000000,1.16,1.16,1.16,1.16,20,0
OML,D,20130822,000000,1.16,1.16,1.16,1.16,10,0
OML,D,20130823,000000,1.16,1.16,1.16,1.16,10,0
OML,D,20130826,000000,1.16,1.16,1.16,1.16,10,0
OML,D,20130827,000000,1.16,1.16,1.16,1.16,30,0
OML,D,20130828,000000,1.16,1.16,1.16,1.16,20,0
OML,D,20130829,000000,1.16,1.16,1.16,1.16,10,0
OML,D,20130830,000000,1.16,1.16,1.16,1.16,20,0
OML,D,20130905,000000,1.16,1.16,1.16,1.16,10,0
OML,D,20130906,000000,1.16,1.16,1.16,1.16,50,0
OML,D,20130909,000000,1.16,1.16,1.16,1.16,20,0
OML,D,20130910,000000,1.16,1.16,1.16,1.16,20,0
OML,D,20130911,000000,1.16,1.16,1.16,1.16,20,0
OML,D,20130912,000000,1.16,1.16,1.16,1.16,10,0
OML,D,20130913,000000,1.16,1.16,1.16,1.16,10,0
OML,D,20130916,000000,1.16,1.16,1.16,1.16,10,0
OML,D,20130917,000000,1.16,1.16,1.16,1.16,20,0
