<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LGT,D,20130424,000000,0.95,0.95,0.78,0.78,57201,0
LGT,D,20130425,000000,0.75,0.81,0.75,0.81,7420,0
LGT,D,20130426,000000,0.79,0.81,0.78,0.81,5447,0
LGT,D,20130429,000000,0.82,0.89,0.8,0.89,65117,0
LGT,D,20130430,000000,0.79,0.89,0.79,0.88,7743,0
LGT,D,20130502,000000,0.85,0.85,0.81,0.84,7800,0
LGT,D,20130506,000000,0.81,0.81,0.8,0.8,5600,0
LGT,D,20130507,000000,0.85,0.85,0.84,0.84,18,0
LGT,D,20130508,000000,0.83,0.83,0.7,0.76,7502,0
LGT,D,20130509,000000,0.83,0.83,0.71,0.78,7999,0
LGT,D,20130510,000000,0.83,0.83,0.83,0.83,6,0
LGT,D,20130513,000000,0.83,0.83,0.74,0.74,6202,0
LGT,D,20130514,000000,0.76,0.76,0.75,0.76,5077,0
LGT,D,20130515,000000,0.76,0.76,0.76,0.76,8,0
LGT,D,20130516,000000,0.76,0.76,0.7,0.7,2445,0
LGT,D,20130517,000000,0.75,0.75,0.73,0.73,10,0
LGT,D,20130520,000000,0.73,0.73,0.73,0.73,5,0
LGT,D,20130521,000000,0.73,0.73,0.73,0.73,6,0
LGT,D,20130524,000000,0.7,0.74,0.7,0.74,10355,0
LGT,D,20130531,000000,0.7,0.74,0.7,0.74,4250,0
LGT,D,20130603,000000,0.75,0.75,0.75,0.75,7002,0
LGT,D,20130604,000000,0.74,0.74,0.7,0.74,1011,0
LGT,D,20130605,000000,0.75,0.75,0.75,0.75,2,0
LGT,D,20130606,000000,0.74,0.74,0.73,0.73,11,0
LGT,D,20130607,000000,0.73,0.73,0.73,0.73,10,0
LGT,D,20130610,000000,0.73,0.73,0.7,0.73,1522,0
LGT,D,20130611,000000,0.73,0.73,0.73,0.73,8,0
LGT,D,20130612,000000,0.73,0.73,0.7,0.73,4004,0
LGT,D,20130613,000000,0.72,0.72,0.7,0.72,1802,0
LGT,D,20130614,000000,0.72,0.72,0.72,0.72,6,0
LGT,D,20130617,000000,0.72,0.72,0.72,0.72,5,0
LGT,D,20130618,000000,0.71,0.71,0.71,0.71,10,0
LGT,D,20130619,000000,0.71,0.83,0.7,0.76,104814,0
LGT,D,20130620,000000,0.77,0.77,0.7,0.76,11970,0
LGT,D,20130621,000000,0.78,0.78,0.72,0.72,650,0
LGT,D,20130624,000000,0.72,0.75,0.7,0.75,1002,0
LGT,D,20130625,000000,0.75,0.75,0.75,0.75,3,0
LGT,D,20130626,000000,0.75,0.75,0.75,0.75,3,0
LGT,D,20130627,000000,0.74,0.74,0.74,0.74,4,0
LGT,D,20130628,000000,0.75,0.77,0.73,0.77,20035,0
LGT,D,20130701,000000,0.75,0.75,0.75,0.75,3,0
LGT,D,20130702,000000,0.75,0.79,0.75,0.79,12468,0
LGT,D,20130703,000000,0.78,0.78,0.78,0.78,7,0
LGT,D,20130705,000000,0.79,0.94,0.7,0.87,13889,0
LGT,D,20130709,000000,0.8,0.8,0.78,0.78,204,0
LGT,D,20130710,000000,0.78,0.98,0.78,0.98,110100,0
LGT,D,20130711,000000,1.01,1.01,0.84,0.99,22358,0
LGT,D,20130712,000000,0.99,0.99,0.91,0.91,1720,0
LGT,D,20130715,000000,1.09,1.11,0.95,1.11,87156,0
LGT,D,20130716,000000,1.11,1.3,0.94,0.99,15060,0
LGT,D,20130717,000000,1.01,1.09,0.9,1.09,22173,0
LGT,D,20130718,000000,1.09,1.09,0.9,1.08,2311,0
LGT,D,20130719,000000,1,1.07,0.9,1.07,13456,0
LGT,D,20130722,000000,1.07,1.09,0.9,1.01,18100,0
LGT,D,20130723,000000,1.21,1.21,1.2,1.2,50,0
LGT,D,20130724,000000,1,1.15,1,1.1,9270,0
LGT,D,20130725,000000,1.2,1.2,1.15,1.18,2360,0
LGT,D,20130726,000000,1.16,1.16,1.01,1.16,1605,0
LGT,D,20130729,000000,1.18,1.18,1.16,1.16,6,0
LGT,D,20130730,000000,1.1,1.18,0.93,1.18,14977,0
LGT,D,20130731,000000,1,1.15,1,1.05,3305,0
LGT,D,20130801,000000,0.96,1,0.9,1,4632,0
LGT,D,20130802,000000,1.14,1.14,0.92,0.94,1761,0
LGT,D,20130805,000000,0.94,1.1,0.83,1.1,8840,0
LGT,D,20130806,000000,1.1,1.1,1.1,1.1,8,0
LGT,D,20130807,000000,1.08,1.14,1.02,1.14,44894,0
LGT,D,20130808,000000,0.92,1.12,0.92,0.95,83232,0
LGT,D,20130809,000000,0.82,1.09,0.82,1.09,1202,0
LGT,D,20130812,000000,0.9,0.9,0.81,0.81,1889,0
LGT,D,20130813,000000,0.81,0.82,0.81,0.82,2118,0
LGT,D,20130814,000000,0.89,0.91,0.89,0.91,1396,0
LGT,D,20130816,000000,1.01,1.01,1.01,1.01,5,0
LGT,D,20130819,000000,1.07,1.07,0.9,0.9,3922,0
LGT,D,20130820,000000,1.02,1.02,0.85,1.02,1093,0
LGT,D,20130821,000000,1.02,1.02,0.82,0.82,668,0
LGT,D,20130822,000000,0.84,0.9,0.82,0.82,10499,0
LGT,D,20130823,000000,0.9,0.9,0.9,0.9,5,0
LGT,D,20130826,000000,0.9,0.9,0.9,0.9,2,0
LGT,D,20130827,000000,0.9,0.9,0.9,0.9,2,0
LGT,D,20130828,000000,0.88,0.88,0.78,0.8,10673,0
LGT,D,20130829,000000,0.85,0.85,0.85,0.85,1,0
LGT,D,20130830,000000,0.82,0.82,0.82,0.82,205,0
LGT,D,20130902,000000,0.82,0.82,0.8,0.8,2000,0
LGT,D,20130903,000000,0.8,0.8,0.8,0.8,4,0
LGT,D,20130904,000000,0.8,0.8,0.79,0.79,271,0
LGT,D,20130906,000000,0.79,0.79,0.79,0.79,737,0
LGT,D,20130909,000000,0.79,0.79,0.79,0.79,505,0
LGT,D,20130910,000000,0.72,0.8,0.72,0.8,4371,0
LGT,D,20130911,000000,0.92,0.92,0.85,0.85,133,0
LGT,D,20130912,000000,0.92,0.92,0.82,0.85,2004,0
LGT,D,20130913,000000,0.82,0.83,0.82,0.83,505,0
LGT,D,20130916,000000,0.85,0.89,0.83,0.86,2685,0
LGT,D,20130917,000000,0.86,0.86,0.86,0.86,1,0
LGT,D,20130918,000000,0.86,0.9,0.78,0.83,22720,0
LGT,D,20130919,000000,0.89,0.96,0.72,0.9,44333,0
LGT,D,20130920,000000,0.87,0.87,0.87,0.87,1451,0
LGT,D,20130923,000000,0.84,0.84,0.71,0.75,32035,0
LGT,D,20130924,000000,0.82,0.82,0.82,0.82,1,0
LGT,D,20130925,000000,0.82,0.82,0.76,0.76,2001,0
LGT,D,20130926,000000,0.82,0.86,0.81,0.86,7786,0
LGT,D,20130927,000000,0.95,0.95,0.8,0.87,504,0
LGT,D,20130930,000000,0.87,0.87,0.87,0.87,3,0
LGT,D,20131001,000000,0.82,0.99,0.82,0.99,2413,0
LGT,D,20131002,000000,0.9,0.9,0.82,0.9,1002,0
LGT,D,20131003,000000,0.86,0.86,0.86,0.86,4,0
LGT,D,20131004,000000,0.85,1.02,0.82,0.99,66063,0
LGT,D,20131007,000000,0.94,0.94,0.82,0.82,8402,0
LGT,D,20131008,000000,0.82,0.82,0.77,0.82,1990,0
LGT,D,20131009,000000,0.82,0.82,0.71,0.71,18297,0
LGT,D,20131010,000000,0.81,0.81,0.72,0.79,2201,0
LGT,D,20131011,000000,0.76,0.76,0.76,0.76,10000,0
LGT,D,20131014,000000,0.79,0.88,0.76,0.88,4340,0
LGT,D,20131015,000000,0.88,0.88,0.88,0.88,2,0
LGT,D,20131016,000000,0.88,0.88,0.88,0.88,6,0
LGT,D,20131017,000000,0.88,0.88,0.88,0.88,8,0
LGT,D,20131018,000000,0.88,0.88,0.75,0.75,2018,0
LGT,D,20131021,000000,0.88,0.88,0.71,0.78,4641,0
LGT,D,20131022,000000,0.85,0.85,0.85,0.85,4,0
LGT,D,20131023,000000,0.85,0.85,0.85,0.85,5,0
LGT,D,20131024,000000,0.85,0.85,0.85,0.85,5,0
LGT,D,20131025,000000,0.85,0.85,0.85,0.85,6,0
LGT,D,20131028,000000,0.85,0.85,0.85,0.85,12,0
LGT,D,20131029,000000,0.84,0.84,0.84,0.84,4,0
LGT,D,20131030,000000,0.84,0.84,0.84,0.84,13,0
LGT,D,20131031,000000,0.84,0.84,0.84,0.84,5,0
LGT,D,20131104,000000,0.84,0.95,0.77,0.78,10046,0
LGT,D,20131105,000000,0.87,0.87,0.78,0.78,223,0
LGT,D,20131106,000000,0.88,0.88,0.79,0.8,802,0
LGT,D,20131108,000000,0.88,0.88,0.85,0.85,6,0
LGT,D,20131112,000000,0.88,0.88,0.71,0.71,7201,0
LGT,D,20131113,000000,0.8,0.8,0.8,0.8,2,0
LGT,D,20131114,000000,0.76,0.76,0.68,0.68,3716,0
LGT,D,20131115,000000,0.68,0.7,0.68,0.7,1984,0
LGT,D,20131118,000000,0.7,0.7,0.64,0.69,5379,0
LGT,D,20131119,000000,0.7,0.7,0.59,0.7,2852,0
LGT,D,20131120,000000,0.7,0.7,0.7,0.7,2,0
LGT,D,20131121,000000,0.7,0.7,0.7,0.7,2,0
LGT,D,20131122,000000,0.7,0.7,0.7,0.7,3,0
LGT,D,20131125,000000,0.7,0.7,0.7,0.7,2,0
LGT,D,20131126,000000,0.65,0.77,0.6,0.77,42430,0
LGT,D,20131127,000000,0.85,0.88,0.69,0.88,1706,0
LGT,D,20131129,000000,0.76,0.76,0.69,0.76,5797,0
LGT,D,20131202,000000,0.73,0.73,0.68,0.73,1005,0
LGT,D,20131203,000000,0.73,0.73,0.73,0.73,3,0
LGT,D,20131204,000000,0.73,0.73,0.73,0.73,3,0
LGT,D,20131205,000000,0.73,0.73,0.73,0.73,5,0
LGT,D,20131206,000000,0.73,0.73,0.73,0.73,3,0
LGT,D,20131209,000000,0.73,0.73,0.73,0.73,7,0
LGT,D,20131210,000000,0.73,0.73,0.73,0.73,3,0
LGT,D,20131211,000000,0.73,0.73,0.65,0.65,2502,0
LGT,D,20131212,000000,0.65,0.65,0.62,0.65,2403,0
LGT,D,20131213,000000,0.65,0.65,0.65,0.65,2,0
LGT,D,20131216,000000,0.65,0.65,0.54,0.65,11762,0
LGT,D,20131217,000000,0.65,0.65,0.64,0.65,2397,0
LGT,D,20131218,000000,0.65,0.65,0.65,0.65,2,0
LGT,D,20131219,000000,0.65,0.7,0.65,0.7,7117,0
LGT,D,20131220,000000,0.7,0.7,0.58,0.69,2552,0
LGT,D,20131223,000000,0.69,0.81,0.58,0.58,23330,0
LGT,D,20131227,000000,0.55,0.62,0.48,0.55,7800,0
LGT,D,20131230,000000,0.66,0.68,0.56,0.56,1324,0
LGT,D,20140102,000000,0.67,0.67,0.67,0.67,1,0
LGT,D,20140103,000000,0.67,0.67,0.67,0.67,2,0
LGT,D,20140107,000000,0.67,0.67,0.67,0.67,2,0
LGT,D,20140108,000000,0.61,0.68,0.55,0.55,1366,0
LGT,D,20140109,000000,0.56,0.67,0.56,0.67,3470,0
LGT,D,20140110,000000,0.67,0.67,0.67,0.67,3,0
LGT,D,20140113,000000,0.67,0.67,0.63,0.67,1584,0
LGT,D,20140114,000000,0.56,0.66,0.56,0.66,183,0
LGT,D,20140115,000000,0.66,0.66,0.57,0.66,104,0
LGT,D,20140116,000000,0.66,0.66,0.56,0.56,3004,0
LGT,D,20140117,000000,0.55,0.55,0.55,0.55,380,0
LGT,D,20140121,000000,0.52,0.52,0.52,0.52,100,0
LGT,D,20140122,000000,0.59,0.67,0.59,0.67,2551,0
LGT,D,20140123,000000,0.67,0.67,0.67,0.67,2,0
LGT,D,20140124,000000,0.67,0.67,0.55,0.55,7757,0
LGT,D,20140127,000000,0.55,0.55,0.55,0.55,1002,0
LGT,D,20140128,000000,0.55,0.55,0.55,0.55,3,0
LGT,D,20140129,000000,0.55,0.55,0.55,0.55,2,0
LGT,D,20140130,000000,0.55,0.55,0.55,0.55,6704,0
LGT,D,20140131,000000,0.55,0.55,0.55,0.55,392,0
LGT,D,20140203,000000,0.61,0.61,0.61,0.61,4,0
LGT,D,20140204,000000,0.58,0.58,0.58,0.58,3,0
LGT,D,20140205,000000,0.58,0.58,0.58,0.58,3,0
LGT,D,20140206,000000,0.58,0.58,0.58,0.58,6002,0
LGT,D,20140207,000000,0.58,0.58,0.58,0.58,5,0
LGT,D,20140210,000000,0.58,0.58,0.58,0.58,3,0
LGT,D,20140211,000000,0.58,0.58,0.5,0.58,9113,0
LGT,D,20140212,000000,0.58,0.58,0.58,0.58,2,0
LGT,D,20140213,000000,0.58,0.58,0.55,0.58,104,0
LGT,D,20140214,000000,0.58,0.58,0.55,0.58,69001,0
LGT,D,20140217,000000,0.57,0.57,0.5,0.56,18627,0
LGT,D,20140218,000000,0.55,0.55,0.55,0.55,1,0
LGT,D,20140219,000000,0.55,0.55,0.55,0.55,999,0
LGT,D,20140220,000000,0.55,0.55,0.55,0.55,5,0
LGT,D,20140221,000000,0.55,0.55,0.5,0.55,1489,0
LGT,D,20140224,000000,0.55,0.55,0.55,0.55,5,0
LGT,D,20140225,000000,0.55,0.55,0.55,0.55,3,0
LGT,D,20140226,000000,0.55,0.65,0.55,0.6,17699,0
LGT,D,20140227,000000,0.6,0.6,0.5,0.58,3955,0
LGT,D,20140228,000000,0.6,0.6,0.51,0.6,8304,0
LGT,D,20140303,000000,0.65,0.65,0.58,0.65,2608,0
LGT,D,20140304,000000,0.65,0.65,0.55,0.55,5801,0
LGT,D,20140305,000000,0.65,0.65,0.52,0.57,9555,0
LGT,D,20140306,000000,0.57,0.57,0.57,0.57,4,0
LGT,D,20140307,000000,0.63,0.63,0.63,0.63,2,0
LGT,D,20140310,000000,0.58,0.58,0.5,0.56,5822,0
LGT,D,20140311,000000,0.58,0.58,0.49,0.58,5076,0
LGT,D,20140312,000000,0.58,0.58,0.49,0.54,4503,0
LGT,D,20140313,000000,0.57,0.57,0.56,0.56,3,0
LGT,D,20140314,000000,0.57,0.57,0.57,0.57,7,0
LGT,D,20140317,000000,0.57,0.57,0.57,0.57,1,0
LGT,D,20140318,000000,0.53,0.53,0.49,0.53,2004,0
LGT,D,20140319,000000,0.53,0.53,0.53,0.53,2,0
LGT,D,20140320,000000,0.52,0.52,0.52,0.52,4,0
LGT,D,20140321,000000,0.52,0.52,0.5,0.52,5005,0
LGT,D,20140324,000000,0.52,0.52,0.52,0.52,4,0
LGT,D,20140325,000000,0.52,0.52,0.49,0.52,32,0
LGT,D,20140326,000000,0.49,0.49,0.49,0.49,3000,0
LGT,D,20140327,000000,0.54,0.54,0.48,0.54,4198,0
LGT,D,20140328,000000,0.54,0.54,0.54,0.54,301,0
LGT,D,20140331,000000,0.54,0.54,0.54,0.54,3704,0
LGT,D,20140401,000000,0.58,0.59,0.58,0.59,2,0
LGT,D,20140402,000000,0.53,0.53,0.46,0.5,33457,0
LGT,D,20140403,000000,0.45,0.53,0.42,0.45,48854,0
LGT,D,20140404,000000,0.44,0.46,0.43,0.46,10026,0
LGT,D,20140407,000000,0.46,0.46,0.46,0.46,2,0
LGT,D,20140408,000000,0.46,0.46,0.46,0.46,1920,0
LGT,D,20140409,000000,0.48,0.53,0.45,0.48,15454,0
LGT,D,20140410,000000,0.52,0.52,0.52,0.52,100,0
LGT,D,20140414,000000,0.52,0.53,0.52,0.53,2985,0
LGT,D,20140415,000000,0.5,0.6,0.5,0.58,5592,0
LGT,D,20140416,000000,0.58,0.58,0.58,0.58,10,0
LGT,D,20140417,000000,0.52,0.55,0.52,0.52,252,0
LGT,D,20140422,000000,0.52,0.56,0.52,0.56,1560,0
LGT,D,20140423,000000,0.51,0.51,0.51,0.51,1,0
LGT,D,20140428,000000,0.51,0.53,0.47,0.52,6187,0
LGT,D,20140429,000000,0.44,0.49,0.44,0.49,181,0
LGT,D,20140430,000000,0.45,0.5,0.43,0.5,15499,0
LGT,D,20140505,000000,0.4,0.49,0.4,0.49,103,0
LGT,D,20140506,000000,0.5,0.5,0.49,0.49,101,0
LGT,D,20140507,000000,0.5,0.53,0.49,0.53,1001,0
LGT,D,20140508,000000,0.54,0.54,0.45,0.45,2399,0
LGT,D,20140512,000000,0.45,0.51,0.45,0.45,102,0
LGT,D,20140522,000000,0.51,0.51,0.51,0.51,100,0
