<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NCL,D,20220412,000000,32.99,40,31.21,38.49,113330,0
NCL,D,20220413,000000,39.8,41.99,36.6,41.39,20205,0
NCL,D,20220414,000000,41.39,49,41.39,48.75,31897,0
NCL,D,20220419,000000,51.42,70,51.42,64,46714,0
NCL,D,20220420,000000,65.99,65.99,55.46,56.1,24317,0
NCL,D,20220421,000000,55,55,48.2,50.3,23846,0
NCL,D,20220422,000000,50,53.99,48.2,52.8,8990,0
NCL,D,20220425,000000,52.95,52.95,46.5,48.615,9700,0
NCL,D,20220426,000000,51.8,57,44,52.8,21294,0
NCL,D,20220427,000000,53.3,53.3,46.35,47,10051,0
NCL,D,20220428,000000,48,49,45.31,47.76,3133,0
NCL,D,20220429,000000,47.78,49,45.2,45.55,4380,0
NCL,D,20220502,000000,45.34,46.9,43.8,46.8,1917,0
NCL,D,20220504,000000,47.8,53.8,45.71,51.22,3499,0
NCL,D,20220505,000000,52.78,54.15,49,49,2941,0
NCL,D,20220506,000000,47.5,49.4,45.1,49.11,6109,0
NCL,D,20220509,000000,49,51,46.6,50.23,2844,0
NCL,D,20220510,000000,50.23,51.49,48.1,50.68,1419,0
NCL,D,20220511,000000,49.2,50.5,47.5,48.78,2271,0
NCL,D,20220512,000000,48,48,45,46.2,6215,0
NCL,D,20220513,000000,47,47.76,45.27,47.18,1119,0
NCL,D,20220516,000000,46.9,47.25,45,47.25,995,0
NCL,D,20220517,000000,46.2,47.99,46,47.5,983,0
NCL,D,20220518,000000,46.11,48.5,46.11,47.1,378,0
NCL,D,20220519,000000,45.91,48,45.16,47.995,732,0
NCL,D,20220520,000000,45.515,47.85,45.515,47.38,189,0
NCL,D,20220523,000000,47,47.8,45.65,47,1311,0
NCL,D,20220524,000000,47,47,44.6,46.6,2419,0
NCL,D,20220525,000000,45.95,46.49,45,46,1790,0
NCL,D,20220526,000000,46,46,44.4,45,1623,0
NCL,D,20220527,000000,46.2,46.2,44,45,1177,0
NCL,D,20220530,000000,45,45,40.6,42.3,4214,0
NCL,D,20220531,000000,45.9,45.9,40,42.5,3535,0
NCL,D,20220601,000000,42,44,40,41.1,4015,0
NCL,D,20220602,000000,41.05,43,40.25,42.9,967,0
NCL,D,20220603,000000,43,43.3,41.15,42.5,773,0
NCL,D,20220606,000000,42.5,42.5,40,40.5,3067,0
NCL,D,20220607,000000,40,41.8,40,41,513,0
NCL,D,20220608,000000,42,42,39,39.15,477,0
NCL,D,20220609,000000,39.2,39.3,35.15,37.85,4678,0
NCL,D,20220610,000000,35.65,38.4,35.65,38,692,0
NCL,D,20220613,000000,37.95,38,35.3,35.7,3251,0
NCL,D,20220614,000000,37.5,38,36.5,38,427,0
NCL,D,20220615,000000,38,41.5,38,41.4,937,0
NCL,D,20220617,000000,41.3,41.3,38.5,38.6,841,0
NCL,D,20220620,000000,38,40,36,37.9,1290,0
NCL,D,20220621,000000,38.4,38.4,38,38,228,0
NCL,D,20220622,000000,37,39.3,36,37.45,281,0
NCL,D,20220623,000000,36,37.35,35.9,37.35,569,0
NCL,D,20220624,000000,37.7,38.8,36.1,38.7,955,0
NCL,D,20220627,000000,38.8,38.8,38,38.15,805,0
NCL,D,20220628,000000,38.15,38.15,35.85,37.5,733,0
NCL,D,20220629,000000,35.8,38.15,35.25,38.15,2089,0
NCL,D,20220630,000000,38.55,41.5,38.55,41.15,1039,0
NCL,D,20220701,000000,41.15,41.5,40.5,41.5,1299,0
NCL,D,20220704,000000,41.2,41.25,40.7,41.25,1686,0
NCL,D,20220705,000000,41.25,42.4,41.25,42.3,1474,0
NCL,D,20220706,000000,42.4,47,42.4,47,3754,0
NCL,D,20220707,000000,46.8,51.5,43.5,51.2,3683,0
NCL,D,20220708,000000,51.2,51.2,46,49,981,0
NCL,D,20220711,000000,47.6,49.3,46.55,49.3,260,0
NCL,D,20220712,000000,49.75,49.75,48,48.8,1758,0
NCL,D,20220713,000000,48,48,45.1,47.5,870,0
NCL,D,20220714,000000,48.7,48.75,48,48.75,186,0
NCL,D,20220715,000000,48.8,48.8,47.5,48.8,984,0
NCL,D,20220718,000000,49.8,49.9,48.25,49.2,240,0
NCL,D,20220719,000000,45.6,49.7,45.6,49.7,172,0
NCL,D,20220720,000000,49.8,49.8,49.6,49.6,228,0
NCL,D,20220721,000000,49.7,49.7,47,47,937,0
NCL,D,20220722,000000,45.9,48.7,45,47.6,1472,0
NCL,D,20220725,000000,47,49.6,46.7,47,1180,0
NCL,D,20220726,000000,47,47,45.8,47,1000,0
NCL,D,20220727,000000,46,48.4,46,48.4,3498,0
NCL,D,20220728,000000,48.4,48.5,47.5,47.95,1276,0
NCL,D,20220729,000000,47.95,48.45,47,48,565,0
NCL,D,20220801,000000,48,48.9,47.9,48.7,1118,0
NCL,D,20220802,000000,48,48.9,48,48,767,0
NCL,D,20220803,000000,48,49,47.5,48.7,728,0
NCL,D,20220804,000000,48,53,48,50.4,2762,0
NCL,D,20220805,000000,51.8,52.4,48.1,51.7,850,0
NCL,D,20220808,000000,51.3,54.9,51.3,54,1806,0
NCL,D,20220809,000000,54.8,54.9,53.8,54.3,704,0
NCL,D,20220810,000000,54.5,57.4,53.9,55.5,1511,0
NCL,D,20220811,000000,54,55.3,53.9,55,560,0
NCL,D,20220812,000000,55,58,55,56.8,2052,0
NCL,D,20220816,000000,57,63,57,62,4365,0
NCL,D,20220817,000000,62,73.7,60.2,67.5,10420,0
NCL,D,20220818,000000,70.1,82.5,68,80.1,12637,0
NCL,D,20220819,000000,80,83,77,78.5,7935,0
NCL,D,20220822,000000,78.6,89.8,78.6,87,7751,0
NCL,D,20220823,000000,88,96.9,88,94,12039,0
NCL,D,20220824,000000,94,96.5,91.1,94,3234,0
NCL,D,20220825,000000,94,128.2,93,113,22814,0
NCL,D,20220826,000000,115,130,108,121,11891,0
NCL,D,20220829,000000,120,120,108,116,3732,0
NCL,D,20220830,000000,110,115,101,101.8,5889,0
NCL,D,20220831,000000,97,114,92,100,10134,0
NCL,D,20220901,000000,100,107,95,103.4,1701,0
NCL,D,20220902,000000,103.4,124.8,103.4,118,9653,0
NCL,D,20220905,000000,119,120,114,118,2343,0
