<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QUB,D,20160929,000000,3,3.15,2.38,2.44,791374,0
QUB,D,20160930,000000,2.39,2.57,2.25,2.49,188280,0
QUB,D,20161003,000000,2.49,2.49,2.25,2.32,92091,0
QUB,D,20161004,000000,2.27,2.32,2.11,2.25,47062,0
QUB,D,20161005,000000,2.25,2.28,2.2,2.27,14940,0
QUB,D,20161006,000000,2.25,2.5,2.25,2.45,27886,0
QUB,D,20161007,000000,2.47,2.47,2.35,2.4,15237,0
QUB,D,20161010,000000,2.44,2.45,2.3,2.42,14480,0
QUB,D,20161011,000000,2.32,2.42,2.3,2.33,25959,0
QUB,D,20161012,000000,2.33,2.39,2.29,2.35,19809,0
QUB,D,20161013,000000,2.35,2.39,2.32,2.38,13044,0
QUB,D,20161014,000000,2.37,2.38,2.3,2.38,32278,0
QUB,D,20161017,000000,2.32,2.48,2.14,2.35,53180,0
QUB,D,20161018,000000,2.25,2.32,2.23,2.32,7679,0
QUB,D,20161019,000000,2.3,2.3,2.16,2.2,18235,0
QUB,D,20161020,000000,2.2,2.2,2.13,2.18,50500,0
QUB,D,20161021,000000,2.15,2.19,2.08,2.17,16823,0
QUB,D,20161024,000000,2.17,2.17,1.88,1.9,77175,0
QUB,D,20161025,000000,1.9,1.96,1.77,1.95,24871,0
QUB,D,20161026,000000,1.91,1.95,1.8,1.87,14985,0
QUB,D,20161027,000000,1.82,1.91,1.7,1.91,31039,0
QUB,D,20161028,000000,1.9,1.91,1.82,1.89,19814,0
QUB,D,20161031,000000,1.84,1.84,1.74,1.83,7511,0
QUB,D,20161102,000000,1.83,1.97,1.74,1.94,16676,0
QUB,D,20161103,000000,1.9,1.93,1.86,1.9,4734,0
QUB,D,20161104,000000,1.9,1.9,1.8,1.85,6023,0
QUB,D,20161107,000000,1.85,1.85,1.75,1.83,8803,0
QUB,D,20161108,000000,1.83,1.83,1.75,1.75,3154,0
QUB,D,20161109,000000,1.8,1.8,1.7,1.7,20067,0
QUB,D,20161110,000000,1.73,1.73,1.68,1.7,13022,0
QUB,D,20161114,000000,1.7,1.79,1.67,1.71,35578,0
QUB,D,20161115,000000,1.65,1.69,1.51,1.69,12164,0
QUB,D,20161116,000000,1.63,1.65,1.52,1.65,11342,0
QUB,D,20161117,000000,1.57,1.64,1.55,1.59,3941,0
QUB,D,20161118,000000,1.55,1.67,1.54,1.67,9296,0
QUB,D,20161121,000000,1.65,1.66,1.59,1.65,9030,0
QUB,D,20161122,000000,1.64,1.65,1.55,1.63,5099,0
QUB,D,20161123,000000,1.58,1.65,1.55,1.64,8462,0
QUB,D,20161124,000000,1.64,1.95,1.64,1.81,13825,0
QUB,D,20161125,000000,1.85,1.96,1.8,1.95,22861,0
QUB,D,20161128,000000,1.93,1.95,1.85,1.94,8040,0
QUB,D,20161129,000000,1.87,1.94,1.85,1.92,13322,0
QUB,D,20161130,000000,1.83,1.84,1.76,1.84,4280,0
QUB,D,20161201,000000,1.82,1.9,1.71,1.88,6370,0
QUB,D,20161202,000000,1.76,1.86,1.7,1.86,7201,0
QUB,D,20161205,000000,1.66,1.84,1.62,1.84,9691,0
QUB,D,20161206,000000,1.7,1.82,1.64,1.81,5645,0
QUB,D,20161207,000000,1.79,1.79,1.79,1.79,2300,0
QUB,D,20161208,000000,1.64,1.8,1.64,1.75,5261,0
QUB,D,20161209,000000,1.75,1.79,1.64,1.69,30696,0
QUB,D,20161212,000000,1.76,1.92,1.76,1.89,74891,0
QUB,D,20161213,000000,1.9,1.92,1.82,1.89,16227,0
QUB,D,20161214,000000,1.89,1.89,1.84,1.88,5355,0
QUB,D,20161215,000000,1.83,1.88,1.79,1.85,9348,0
QUB,D,20161216,000000,1.78,1.85,1.72,1.82,13544,0
QUB,D,20161219,000000,1.81,1.82,1.7,1.8,11597,0
QUB,D,20161220,000000,1.75,1.8,1.66,1.8,12531,0
QUB,D,20161221,000000,1.79,1.79,1.7,1.7,1595,0
QUB,D,20161222,000000,1.7,1.79,1.63,1.7,30686,0
QUB,D,20161223,000000,1.62,1.72,1.61,1.72,13444,0
QUB,D,20161227,000000,1.63,1.63,1.6,1.63,8400,0
QUB,D,20161228,000000,1.64,1.68,1.63,1.67,8985,0
QUB,D,20161229,000000,1.68,1.87,1.65,1.87,23555,0
QUB,D,20161230,000000,1.86,1.88,1.83,1.88,18900,0
QUB,D,20170102,000000,1.76,1.89,1.75,1.85,28571,0
QUB,D,20170103,000000,1.85,1.85,1.65,1.68,82145,0
