<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICG,D,20070830,000000,4.05,4.85,3,3,946250,0
ICG,D,20070831,000000,3.47,3.47,2.8,2.83,223420,0
ICG,D,20070903,000000,2.88,2.88,2.5,2.64,75040,0
ICG,D,20070904,000000,2.61,2.61,2.23,2.24,114860,0
ICG,D,20070905,000000,2.31,2.35,2.12,2.2,51980,0
ICG,D,20070906,000000,2.2,2.3,2.1,2.14,47300,0
ICG,D,20070907,000000,2.21,2.33,2.12,2.28,54670,0
ICG,D,20070910,000000,2.22,2.25,2.1,2.15,58130,0
ICG,D,20070911,000000,2.15,2.19,2.14,2.14,8570,0
ICG,D,20070912,000000,2.18,2.2,1.9,1.98,38140,0
ICG,D,20070913,000000,1.98,2.1,1.82,2.1,44800,0
ICG,D,20070914,000000,2.1,2.2,2.09,2.13,38680,0
ICG,D,20070917,000000,2.14,2.14,2.03,2.14,910,0
ICG,D,20070918,000000,2.01,2.13,2,2.1,4150,0
ICG,D,20070919,000000,2.11,2.15,2,2.11,6840,0
ICG,D,20070920,000000,2,2.1,2,2,7980,0
ICG,D,20070921,000000,2,2.07,2,2.07,4230,0
ICG,D,20070924,000000,2.05,2.05,1.91,2,7220,0
ICG,D,20070925,000000,2,2,1.87,1.93,7310,0
ICG,D,20070926,000000,1.87,1.87,1.81,1.87,11910,0
ICG,D,20070927,000000,1.9,1.9,1.8,1.85,11780,0
ICG,D,20070928,000000,1.88,1.88,1.82,1.82,3600,0
ICG,D,20071001,000000,1.8,1.82,1.7,1.8,4470,0
ICG,D,20071002,000000,1.85,1.85,1.71,1.84,71240,0
ICG,D,20071003,000000,1.84,1.84,1.75,1.8,1510,0
ICG,D,20071004,000000,1.75,1.82,1.75,1.82,8320,0
ICG,D,20071005,000000,1.85,1.87,1.83,1.87,14210,0
ICG,D,20071008,000000,1.87,1.95,1.87,1.93,9400,0
ICG,D,20071009,000000,1.92,1.92,1.8,1.9,3730,0
ICG,D,20071010,000000,1.9,1.9,1.82,1.89,780,0
ICG,D,20071011,000000,1.9,2.24,1.89,2.1,93840,0
ICG,D,20071012,000000,2.09,2.09,1.97,2.02,15790,0
ICG,D,20071015,000000,2.02,2.04,2,2.04,13630,0
ICG,D,20071016,000000,2,2,1.95,1.99,8170,0
ICG,D,20071017,000000,1.97,1.97,1.96,1.96,2350,0
ICG,D,20071018,000000,1.99,1.99,1.96,1.97,9570,0
ICG,D,20071019,000000,1.95,2,1.92,2,20720,0
ICG,D,20071022,000000,1.91,1.91,1.89,1.89,9450,0
ICG,D,20071023,000000,1.85,1.9,1.85,1.87,7130,0
ICG,D,20071024,000000,1.85,1.89,1.82,1.82,8740,0
ICG,D,20071025,000000,1.83,1.9,1.82,1.9,3400,0
ICG,D,20071026,000000,1.94,1.94,1.94,1.94,570,0
ICG,D,20071029,000000,1.95,1.95,1.94,1.94,500,0
ICG,D,20071030,000000,1.97,2,1.88,1.99,4800,0
ICG,D,20071102,000000,1.88,1.98,1.88,1.98,3660,0
ICG,D,20071105,000000,1.88,1.95,1.87,1.95,3770,0
ICG,D,20071106,000000,1.8,1.85,1.72,1.85,12500,0
ICG,D,20071107,000000,1.85,1.85,1.72,1.84,10770,0
ICG,D,20071108,000000,1.72,1.8,1.7,1.8,10600,0
ICG,D,20071109,000000,1.73,1.73,1.66,1.66,15530,0
ICG,D,20071112,000000,1.6,1.7,1.6,1.68,730,0
ICG,D,20071113,000000,1.7,1.7,1.6,1.65,9530,0
ICG,D,20071114,000000,1.65,1.65,1.65,1.65,2810,0
ICG,D,20071115,000000,1.6,1.6,1.55,1.6,5150,0
ICG,D,20071119,000000,1.5,1.5,1.41,1.5,5580,0
ICG,D,20071120,000000,1.4,1.4,1.15,1.35,41710,0
ICG,D,20071121,000000,1.29,1.29,1.2,1.2,5930,0
ICG,D,20071122,000000,1.1,1.1,0.9,0.97,135930,0
ICG,D,20071123,000000,1,1.1,1,1.1,21450,0
ICG,D,20071126,000000,1.1,1.12,1.05,1.05,28350,0
ICG,D,20071127,000000,1,1.07,1,1.07,2200,0
ICG,D,20071128,000000,1.05,1.05,1.05,1.05,1000,0
ICG,D,20071129,000000,1.05,1.24,0.99,1.2,256190,0
ICG,D,20071130,000000,1.2,1.22,1.16,1.2,4950,0
ICG,D,20071203,000000,1.2,1.2,1.2,1.2,3200,0
ICG,D,20071204,000000,1.16,1.19,1.16,1.19,1640,0
ICG,D,20071205,000000,1.19,1.19,1.16,1.19,11850,0
ICG,D,20071206,000000,1.18,1.29,1.18,1.2,14340,0
ICG,D,20071207,000000,1.29,1.29,1.16,1.26,14470,0
ICG,D,20071210,000000,1.31,1.66,1.31,1.66,119040,0
ICG,D,20071211,000000,1.65,1.85,1.48,1.8,67450,0
ICG,D,20071212,000000,1.75,1.75,1.6,1.64,43070,0
ICG,D,20071213,000000,1.65,1.75,1.62,1.7,28480,0
ICG,D,20071214,000000,1.65,1.7,1.65,1.7,5090,0
ICG,D,20071217,000000,1.65,1.68,1.5,1.68,3640,0
ICG,D,20071218,000000,1.55,1.73,1.55,1.73,36910,0
ICG,D,20071219,000000,1.6,1.85,1.6,1.75,23210,0
ICG,D,20071220,000000,1.8,1.84,1.79,1.82,20130,0
ICG,D,20071221,000000,1.85,1.85,1.7,1.75,10410,0
ICG,D,20071227,000000,1.8,1.89,1.74,1.85,4150,0
ICG,D,20071228,000000,1.85,1.85,1.75,1.8,4020,0
ICG,D,20080102,000000,1.76,1.78,1.7,1.78,4780,0
ICG,D,20080103,000000,1.7,1.8,1.7,1.8,1010,0
ICG,D,20080104,000000,1.79,1.79,1.65,1.75,3760,0
ICG,D,20080107,000000,1.58,1.65,1.55,1.65,4100,0
ICG,D,20080108,000000,1.63,1.68,1.6,1.68,9320,0
ICG,D,20080109,000000,1.6,1.6,1.6,1.6,1000,0
ICG,D,20080110,000000,1.51,1.59,1.42,1.58,5500,0
ICG,D,20080111,000000,1.5,1.56,1.49,1.55,18600,0
ICG,D,20080114,000000,1.58,1.58,1.4,1.58,1110,0
ICG,D,20080115,000000,1.43,1.5,1.35,1.5,4270,0
ICG,D,20080116,000000,1.4,1.4,1.4,1.4,1000,0
ICG,D,20080117,000000,1.3,1.6,1.3,1.33,4520,0
ICG,D,20080118,000000,1.65,1.65,1.34,1.49,3800,0
ICG,D,20080121,000000,1.36,1.4,1.3,1.3,8240,0
ICG,D,20080122,000000,1.2,1.4,1.2,1.4,2500,0
ICG,D,20080123,000000,1.39,1.39,1.3,1.38,1550,0
ICG,D,20080124,000000,1.4,1.58,1.4,1.58,4100,0
ICG,D,20080125,000000,1.6,1.76,1.6,1.7,20130,0
ICG,D,20080128,000000,1.75,1.75,1.7,1.75,43780,0
ICG,D,20080129,000000,1.76,1.97,1.76,1.9,33540,0
ICG,D,20080130,000000,1.9,1.97,1.8,1.8,19510,0
ICG,D,20080131,000000,1.89,1.89,1.8,1.89,3270,0
ICG,D,20080201,000000,1.8,1.89,1.8,1.89,1200,0
ICG,D,20080204,000000,1.8,1.85,1.75,1.85,5910,0
ICG,D,20080205,000000,1.81,1.83,1.6,1.8,4290,0
ICG,D,20080206,000000,1.79,1.8,1.62,1.8,12340,0
ICG,D,20080207,000000,1.7,1.78,1.7,1.78,11550,0
ICG,D,20080208,000000,1.65,1.78,1.65,1.78,580,0
ICG,D,20080211,000000,1.7,1.7,1.63,1.7,1660,0
ICG,D,20080212,000000,1.65,1.65,1.55,1.64,2080,0
