<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMR,D,20130118,000000,0.49,0.51,0.45,0.46,52759,0
IMR,D,20130121,000000,0.45,0.5,0.37,0.42,26459,0
IMR,D,20130122,000000,0.42,0.43,0.36,0.42,5868,0
IMR,D,20130123,000000,0.41,0.45,0.41,0.44,3545,0
IMR,D,20130124,000000,0.44,0.45,0.4,0.45,7430,0
IMR,D,20130125,000000,0.44,0.44,0.37,0.4,20760,0
IMR,D,20130128,000000,0.38,0.44,0.38,0.43,6980,0
IMR,D,20130129,000000,0.43,0.43,0.43,0.43,50,0
IMR,D,20130130,000000,0.42,0.42,0.42,0.42,260,0
IMR,D,20130131,000000,0.42,0.43,0.42,0.42,3983,0
IMR,D,20130201,000000,0.43,0.43,0.38,0.42,2244,0
IMR,D,20130204,000000,0.42,0.42,0.38,0.41,1960,0
IMR,D,20130205,000000,0.41,0.41,0.39,0.41,450,0
IMR,D,20130206,000000,0.41,0.43,0.35,0.4,18751,0
IMR,D,20130207,000000,0.4,0.4,0.4,0.4,80,0
IMR,D,20130208,000000,0.4,0.4,0.4,0.4,250,0
IMR,D,20130211,000000,0.4,0.4,0.4,0.4,130,0
IMR,D,20130212,000000,0.4,0.4,0.4,0.4,50,0
IMR,D,20130213,000000,0.39,0.4,0.39,0.4,200,0
IMR,D,20130214,000000,0.4,0.4,0.38,0.38,600,0
IMR,D,20130215,000000,0.38,0.39,0.34,0.34,16212,0
IMR,D,20130218,000000,0.34,0.34,0.34,0.34,43710,0
IMR,D,20130219,000000,0.34,0.34,0.32,0.32,2995,0
IMR,D,20130220,000000,0.33,0.34,0.33,0.34,300,0
IMR,D,20130221,000000,0.33,0.33,0.28,0.32,9239,0
IMR,D,20130222,000000,0.3,0.31,0.27,0.31,9410,0
IMR,D,20130225,000000,0.32,0.32,0.3,0.32,5210,0
IMR,D,20130226,000000,0.32,0.32,0.32,0.32,845,0
IMR,D,20130227,000000,0.33,0.33,0.33,0.33,200,0
IMR,D,20130228,000000,0.33,0.33,0.3,0.32,3900,0
IMR,D,20130301,000000,0.33,0.33,0.33,0.33,200,0
IMR,D,20130304,000000,0.33,0.33,0.33,0.33,100,0
IMR,D,20130305,000000,0.33,0.35,0.33,0.35,370,0
IMR,D,20130306,000000,0.35,0.35,0.35,0.35,330,0
IMR,D,20130307,000000,0.35,0.35,0.35,0.35,450,0
IMR,D,20130308,000000,0.35,0.35,0.35,0.35,1050,0
IMR,D,20130311,000000,0.35,0.35,0.35,0.35,700,0
IMR,D,20130312,000000,0.35,0.35,0.35,0.35,570,0
IMR,D,20130313,000000,0.35,0.4,0.35,0.4,5040,0
IMR,D,20130314,000000,0.4,0.4,0.4,0.4,150,0
IMR,D,20130315,000000,0.36,0.36,0.34,0.34,4930,0
IMR,D,20130318,000000,0.32,0.32,0.25,0.25,15680,0
IMR,D,20130319,000000,0.26,0.3,0.21,0.3,9810,0
IMR,D,20130320,000000,0.3,0.3,0.28,0.29,3000,0
IMR,D,20130321,000000,0.29,0.29,0.26,0.28,11054,0
IMR,D,20130322,000000,0.25,0.27,0.25,0.27,1793,0
IMR,D,20130325,000000,0.28,0.29,0.27,0.29,1065,0
IMR,D,20130326,000000,0.29,0.29,0.29,0.29,120,0
IMR,D,20130327,000000,0.29,0.29,0.27,0.29,131,0
IMR,D,20130328,000000,0.29,0.29,0.27,0.29,171,0
IMR,D,20130402,000000,0.29,0.29,0.27,0.27,201,0
IMR,D,20130403,000000,0.29,0.29,0.22,0.27,21371,0
IMR,D,20130404,000000,0.25,0.27,0.25,0.27,11,0
IMR,D,20130405,000000,0.27,0.28,0.25,0.27,1215,0
IMR,D,20130408,000000,0.28,0.28,0.27,0.27,105,0
IMR,D,20130409,000000,0.28,0.28,0.27,0.27,110,0
IMR,D,20130410,000000,0.28,0.28,0.27,0.27,185,0
IMR,D,20130411,000000,0.25,0.28,0.25,0.28,20,0
IMR,D,20130412,000000,0.28,0.28,0.28,0.28,200,0
IMR,D,20130415,000000,0.25,0.25,0.25,0.25,3,0
IMR,D,20130419,000000,0.25,0.25,0.25,0.25,2,0
IMR,D,20130422,000000,0.25,0.25,0.23,0.23,400,0
IMR,D,20130423,000000,0.25,0.25,0.23,0.23,121,0
IMR,D,20130425,000000,0.23,0.25,0.23,0.25,202,0
IMR,D,20130426,000000,0.25,0.25,0.25,0.25,200,0
IMR,D,20130506,000000,0.25,0.25,0.25,0.25,150,0
IMR,D,20130507,000000,0.25,0.25,0.25,0.25,295,0
IMR,D,20130508,000000,0.23,0.23,0.18,0.18,1595,0
IMR,D,20130509,000000,0.2,0.2,0.2,0.2,1000,0
IMR,D,20130510,000000,0.2,0.2,0.2,0.2,50,0
IMR,D,20130513,000000,0.19,0.19,0.18,0.18,6800,0
IMR,D,20130514,000000,0.17,0.2,0.17,0.2,1155,0
IMR,D,20130515,000000,0.2,0.21,0.2,0.21,300,0
IMR,D,20130521,000000,0.18,0.19,0.16,0.19,700,0
IMR,D,20130522,000000,0.19,0.19,0.15,0.18,1200,0
IMR,D,20130523,000000,0.15,0.15,0.12,0.15,810,0
IMR,D,20130524,000000,0.15,0.15,0.15,0.15,190,0
