<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ESB0725.PL,D,20180227,000000,97.2,97.2,97.2,97.2,1,0
ESB0725.PL,D,20180302,000000,100,100,100,100,2,0
ESB0725.PL,D,20180726,000000,100,100,100,100,2,0
ESB0725.PL,D,20180904,000000,101,101,101,101,10,0
ESB0725.PL,D,20181015,000000,100,100,98.5,98.5,4,0
ESB0725.PL,D,20181115,000000,98,98,96,96,28,0
ESB0725.PL,D,20181130,000000,96,98,96,98,3,0
ESB0725.PL,D,20181203,000000,98,98,98,98,15,0
ESB0725.PL,D,20190121,000000,99,99,99,99,1,0
ESB0725.PL,D,20190205,000000,93.01,93.01,88.05,88.05,22,0
ESB0725.PL,D,20190206,000000,97.99,99,77,84.99,151,0
ESB0725.PL,D,20190207,000000,79.99,79.99,79.99,79.99,1,0
ESB0725.PL,D,20190208,000000,80.01,89.99,80.01,89.5,18,0
ESB0725.PL,D,20190212,000000,79,80,79,80,25,0
ESB0725.PL,D,20190220,000000,85.85,85.9,85.85,85.9,5,0
ESB0725.PL,D,20190227,000000,95,100,95,100,2,0
ESB0725.PL,D,20190314,000000,90,90,90,90,4,0
ESB0725.PL,D,20190318,000000,88,88,88,88,6,0
ESB0725.PL,D,20190405,000000,88,88,88,88,6,0
ESB0725.PL,D,20190430,000000,95,99.99,95,99.99,2,0
ESB0725.PL,D,20190517,000000,89,89,89,89,50,0
ESB0725.PL,D,20190523,000000,95,99.99,95,99.99,4,0
ESB0725.PL,D,20190524,000000,95,95,95,95,2,0
ESB0725.PL,D,20190531,000000,99.99,99.99,99.99,99.99,1,0
ESB0725.PL,D,20190619,000000,95,95,95,95,23,0
ESB0725.PL,D,20190627,000000,95,95,95,95,23,0
ESB0725.PL,D,20190701,000000,99.9,99.9,99.9,99.9,8,0
ESB0725.PL,D,20190718,000000,99.95,99.95,99.95,99.95,3,0
ESB0725.PL,D,20190726,000000,99.95,99.95,99.95,99.95,10,0
ESB0725.PL,D,20190730,000000,99.95,99.95,99.95,99.95,2,0
ESB0725.PL,D,20190806,000000,95,95,95,95,1,0
ESB0725.PL,D,20190930,000000,100,100,100,100,1,0
ESB0725.PL,D,20191011,000000,100,100,100,100,8,0
ESB0725.PL,D,20191211,000000,100,100,100,100,8,0
ESB0725.PL,D,20200117,000000,100,100,100,100,2,0
ESB0725.PL,D,20200306,000000,95,95,95,95,5,0
ESB0725.PL,D,20200324,000000,80,80,80,80,8,0
ESB0725.PL,D,20200325,000000,70,70,70,70,2,0
ESB0725.PL,D,20200331,000000,85,94.95,75,94.95,6,0
ESB0725.PL,D,20200529,000000,89.99,89.99,89.99,89.99,1,0
ESB0725.PL,D,20200612,000000,89.99,90,89.99,90,100,0
ESB0725.PL,D,20200701,000000,89.99,89.99,89.99,89.99,3,0
ESB0725.PL,D,20200729,000000,88,88,88,88,11,0
ESB0725.PL,D,20200817,000000,80,80,80,80,3,0
ESB0725.PL,D,20200819,000000,80,80,80,80,73,0
ESB0725.PL,D,20200831,000000,89.95,94.95,79.95,94.95,6,0
ESB0725.PL,D,20200907,000000,94.95,94.95,94.95,94.95,10,0
ESB0725.PL,D,20200930,000000,96.95,96.95,96.95,96.95,1,0
ESB0725.PL,D,20201014,000000,95,95,95,95,5,0
ESB0725.PL,D,20201030,000000,97,97,97,97,1,0
ESB0725.PL,D,20201208,000000,89.01,89.01,89.01,89.01,1,0
ESB0725.PL,D,20201230,000000,98.85,98.85,98.85,98.85,1,0
ESB0725.PL,D,20210104,000000,97.85,97.85,97.85,97.85,10,0
ESB0725.PL,D,20210301,000000,95,95,95,95,5,0
ESB0725.PL,D,20210428,000000,96,96,96,96,5,0
ESB0725.PL,D,20210708,000000,96,96,96,96,5,0
ESB0725.PL,D,20210713,000000,95,95,95,95,25,0
ESB0725.PL,D,20210719,000000,95,95,95,95,3,0
ESB0725.PL,D,20210826,000000,96,96,96,96,10,0
ESB0725.PL,D,20210908,000000,96,96,96,96,16,0
ESB0725.PL,D,20210929,000000,91,91,91,91,147,0
ESB0725.PL,D,20210930,000000,95.99,95.99,95.99,95.99,1,0
ESB0725.PL,D,20211015,000000,95.95,95.95,95.95,95.95,9,0
ESB0725.PL,D,20211021,000000,95.95,95.95,95.95,95.95,2,0
ESB0725.PL,D,20211022,000000,96,96,96,96,29,0
ESB0725.PL,D,20211029,000000,93.5,93.5,91,93.49,89,0
ESB0725.PL,D,20211102,000000,93.49,93.5,93.49,93.5,5,0
ESB0725.PL,D,20211116,000000,91,91,90,90,77,0
ESB0725.PL,D,20211117,000000,90,90,90,90,2,0
ESB0725.PL,D,20211119,000000,94.99,94.99,94.99,94.99,2,0
ESB0725.PL,D,20211124,000000,96.8,96.8,96.8,96.8,63,0
ESB0725.PL,D,20211214,000000,97.5,97.5,97.5,97.5,5,0
ESB0725.PL,D,20211228,000000,97.1,97.1,97.1,97.1,10,0
ESB0725.PL,D,20211230,000000,97,97,97,97,3,0
ESB0725.PL,D,20220104,000000,98,99.5,98,99.5,8,0
ESB0725.PL,D,20220110,000000,99.99,99.99,99.99,99.99,5,0
ESB0725.PL,D,20220117,000000,99.99,99.99,99.99,99.99,5,0
ESB0725.PL,D,20220124,000000,99.9,99.9,99.9,99.9,5,0
ESB0725.PL,D,20220323,000000,96,96,96,96,36,0
ESB0725.PL,D,20220421,000000,95,95,95,95,2,0
ESB0725.PL,D,20220422,000000,95,95,95,95,1,0
ESB0725.PL,D,20220512,000000,95,95,95,95,1,0
ESB0725.PL,D,20220620,000000,93,93,93,93,2,0
ESB0725.PL,D,20220712,000000,93,93,93,93,2,0
ESB0725.PL,D,20220718,000000,98,98,98,98,1,0
ESB0725.PL,D,20220728,000000,96,96,96,96,3,0
ESB0725.PL,D,20220809,000000,98,98,95,95,8,0
ESB0725.PL,D,20220811,000000,95,95,95,95,25,0
ESB0725.PL,D,20220812,000000,95,95,95,95,2,0
