<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OK0722.PL,D,20191203,000000,96.35,96.35,96.35,96.35,302,0
OK0722.PL,D,20191213,000000,96.35,96.35,96.35,96.35,5,0
OK0722.PL,D,20191218,000000,96.35,96.35,96.35,96.35,6,0
OK0722.PL,D,20191219,000000,96.35,96.35,96.35,96.35,10,0
OK0722.PL,D,20191223,000000,96.35,96.35,96.35,96.35,3,0
OK0722.PL,D,20191230,000000,96.35,96.35,96.35,96.35,2,0
OK0722.PL,D,20200102,000000,96.25,96.25,96.25,96.25,5,0
OK0722.PL,D,20200103,000000,96.26,96.26,96.26,96.26,2,0
OK0722.PL,D,20200114,000000,96.05,96.05,96.05,96.05,210,0
OK0722.PL,D,20200219,000000,96.50,96.50,96.50,96.50,41,0
OK0722.PL,D,20200221,000000,96.55,96.60,96.55,96.60,12,0
OK0722.PL,D,20200224,000000,96.5,96.5,96.2,96.2,20,0
OK0722.PL,D,20200225,000000,96.30,96.30,96.30,96.30,8,0
OK0722.PL,D,20200227,000000,96.74,96.74,96.74,96.74,48,0
OK0722.PL,D,20200228,000000,96.50,96.50,96.50,96.50,10,0
OK0722.PL,D,20200305,000000,97.30,97.30,97.30,97.30,200,0
OK0722.PL,D,20200306,000000,97.40,97.40,97.00,97.00,39,0
OK0722.PL,D,20200309,000000,97.00,97.10,97.00,97.10,13,0
OK0722.PL,D,20200312,000000,97.00,97.00,97.00,97.00,30,0
OK0722.PL,D,20200316,000000,98.50,98.50,98.50,98.50,5,0
OK0722.PL,D,20200317,000000,97.30,97.70,97.30,97.70,11,0
OK0722.PL,D,20200320,000000,98.00,98.00,98.00,98.00,3,0
OK0722.PL,D,20200424,000000,98.40,98.40,98.40,98.40,1,0
OK0722.PL,D,20200427,000000,98.40,98.40,98.40,98.40,10,0
OK0722.PL,D,20200506,000000,98.95,98.95,98.95,98.95,1,0
OK0722.PL,D,20200511,000000,98.90,98.90,98.60,98.60,502,0
OK0722.PL,D,20200512,000000,98.60,98.68,98.60,98.68,516,0
OK0722.PL,D,20200513,000000,98.68,98.70,98.68,98.70,910,0
OK0722.PL,D,20200514,000000,98.70,98.70,98.69,98.70,805,0
OK0722.PL,D,20200515,000000,98.70,98.70,98.69,98.70,803,0
OK0722.PL,D,20200518,000000,98.70,98.73,98.69,98.72,611,0
OK0722.PL,D,20200519,000000,98.70,98.70,98.70,98.70,1,0
OK0722.PL,D,20200521,000000,98.67,98.67,98.67,98.67,5,0
OK0722.PL,D,20200522,000000,98.70,98.70,98.70,98.70,300,0
OK0722.PL,D,20200525,000000,98.70,98.72,98.70,98.72,400,0
OK0722.PL,D,20200526,000000,98.72,98.72,98.72,98.72,500,0
OK0722.PL,D,20200527,000000,98.72,98.72,98.70,98.70,500,0
OK0722.PL,D,20200528,000000,98.72,98.80,98.72,98.80,600,0
OK0722.PL,D,20200529,000000,98.78,98.90,98.78,98.90,500,0
OK0722.PL,D,20200601,000000,99.00,99.00,98.90,99.00,405,0
OK0722.PL,D,20200602,000000,99.00,99.20,98.99,99.20,310,0
