<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPC0630.PL,D,20200605,000000,101.38,101.38,100.5,100.5,2,0
FPC0630.PL,D,20200608,000000,100.5,100.5,100.5,100.5,9,0
FPC0630.PL,D,20200610,000000,100.39,100.39,100.39,100.39,3,0
FPC0630.PL,D,20200617,000000,100.29,100.3,100.09,100.09,486,0
FPC0630.PL,D,20200618,000000,99.94,99.94,99.65,99.65,736,0
FPC0630.PL,D,20200619,000000,99.7,99.7,99.68,99.68,11,0
FPC0630.PL,D,20200622,000000,100.49,100.5,100.49,100.49,210,0
FPC0630.PL,D,20200623,000000,100.49,100.5,100.49,100.5,155,0
FPC0630.PL,D,20200624,000000,100.44,100.44,100.44,100.44,557,0
FPC0630.PL,D,20200625,000000,100.44,100.44,100.44,100.44,449,0
FPC0630.PL,D,20200626,000000,100.44,100.44,100.3,100.44,762,0
FPC0630.PL,D,20200629,000000,100.35,100.35,100.35,100.35,223,0
FPC0630.PL,D,20200630,000000,100.4,100.4,100.4,100.4,1,0
FPC0630.PL,D,20200701,000000,100.24,100.24,100.04,100.04,402,0
FPC0630.PL,D,20200702,000000,99.99,100.3,99.86,100.3,9640,0
FPC0630.PL,D,20200703,000000,100.24,100.24,100.24,100.24,246,0
FPC0630.PL,D,20200706,000000,100.02,100.03,100,100,2448,0
FPC0630.PL,D,20200707,000000,100.01,100.18,99.91,100.08,6263,0
FPC0630.PL,D,20200708,000000,100.12,100.12,100.09,100.09,660,0
FPC0630.PL,D,20200709,000000,100,100,100,100,100,0
FPC0630.PL,D,20200710,000000,100,100.14,100,100.1,621,0
FPC0630.PL,D,20200713,000000,100,100,99.95,99.99,128,0
FPC0630.PL,D,20200714,000000,99.94,100.19,99.94,100.19,398,0
FPC0630.PL,D,20200715,000000,100.09,100.39,100.09,100.34,4863,0
FPC0630.PL,D,20200716,000000,100.44,100.44,100.35,100.35,1106,0
FPC0630.PL,D,20200717,000000,100.24,100.43,100.24,100.3,2005,0
FPC0630.PL,D,20200720,000000,100.49,100.49,100.44,100.44,189,0
FPC0630.PL,D,20200722,000000,100.42,100.42,100.42,100.42,3,0
FPC0630.PL,D,20200723,000000,100.42,100.42,100.42,100.42,198,0
FPC0630.PL,D,20200724,000000,100.44,100.44,100.29,100.29,299,0
FPC0630.PL,D,20200727,000000,100.41,100.41,100.35,100.35,325,0
FPC0630.PL,D,20200728,000000,100.35,100.49,100.35,100.49,299,0
FPC0630.PL,D,20200729,000000,100.49,100.69,100.49,100.69,2458,0
