<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STA_PB,D,20200827,000000,42.53,42.53,29.87,37.22,0,0
STA_PB,D,20200828,000000,37.22,37.22,28.61,28.99,0,0
STA_PB,D,20200831,000000,30.12,30.12,24.05,24.05,0,0
STA_PB,D,20200901,000000,22.33,23.54,21.27,21.29,0,0
STA_PB,D,20200902,000000,21.01,29.62,21.01,27.84,0,0
STA_PB,D,20200903,000000,29.24,29.87,25.44,27.84,0,0
STA_PB,D,20200904,000000,26.55,27.59,26.08,26.58,0,0
STA_PB,D,20200907,000000,27.34,28.71,25.06,25.06,0,0
STA_PB,D,20200908,000000,25.06,26.2,23.54,24.3,0,0
STA_PB,D,20200909,000000,24.3,26.58,23.29,26.58,0,0
STA_PB,D,20200910,000000,27.59,29.09,25.32,27.34,0,0
STA_PB,D,20200911,000000,28.35,28.35,25.82,25.82,0,0
STA_PB,D,20200914,000000,27.97,27.97,26.33,27.57,0,0
STA_PB,D,20200915,000000,29.11,34.42,27.59,32.2,0,0
STA_PB,D,20200916,000000,35.1,35.16,31.65,34.43,0,0
STA_PB,D,20200917,000000,35.42,35.42,29.97,33.42,0,0
STA_PB,D,20200918,000000,33.42,33.85,32.91,33.85,0,0
STA_PB,D,20200921,000000,33.85,33.85,32.41,32.41,0,0
STA_PB,D,20200922,000000,32.53,32.53,30.89,32.33,0,0
STA_PB,D,20200923,000000,32.35,32.35,31.39,31.39,0,0
STA_PB,D,20200924,000000,31.14,31.14,28.11,29.37,0,0
STA_PB,D,20200925,000000,29.62,29.62,27.85,28.86,0,0
STA_PB,D,20200928,000000,29.63,32.35,29.63,31.77,0,0
STA_PB,D,20200929,000000,31.9,31.9,27.87,27.87,0,0
STA_PB,D,20200930,000000,30.38,32.1,30.38,32.1,0,0
STA_PB,D,20201001,000000,32.91,32.94,31.65,31.65,0,0
STA_PB,D,20201002,000000,32.41,32.41,30.38,30.38,0,0
STA_PB,D,20201005,000000,31.64,31.64,28.25,30.13,0,0
STA_PB,D,20201006,000000,30.38,30.38,29.62,30.13,0,0
STA_PB,D,20201007,000000,29.87,30.13,29.87,30.13,0,0
STA_PB,D,20201008,000000,29.62,30.38,28.1,30.38,0,0
STA_PB,D,20201009,000000,30.13,30.13,28.1,29.11,0,0
STA_PB,D,20201012,000000,27.87,29.11,27.87,28.35,0,0
STA_PB,D,20201013,000000,29.37,29.87,29.11,29.11,0,0
STA_PB,D,20201014,000000,29.87,29.87,25.57,26.18,0,0
STA_PB,D,20201015,000000,26.58,26.71,26.2,26.71,0,0
STA_PB,D,20201016,000000,25.57,27.71,25.57,27.34,0,0
STA_PB,D,20201019,000000,27.09,28.86,27.09,28.86,0,0
STA_PB,D,20201020,000000,28.46,28.86,27.85,28.61,0,0
STA_PB,D,20201021,000000,29.87,30.38,28.35,28.35,0,0
STA_PB,D,20201022,000000,28.35,32.15,28.35,29.62,0,0
STA_PB,D,20201023,000000,29.62,29.62,28.35,29.62,0,0
STA_PB,D,20201026,000000,28.63,28.63,26.15,26.15,0,0
STA_PB,D,20201027,000000,27.85,27.85,26.58,26.84,0,0
STA_PB,D,20201028,000000,26.96,26.96,25.32,26.58,0,0
