<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSA_PE,D,20120615,000000,217,217,217,217,0,0
BSA_PE,D,20120618,000000,181.3,196.9,146.9,179.3,0,0
BSA_PE,D,20120619,000000,175,175,143.8,144.7,0,0
BSA_PE,D,20120620,000000,146.9,146.9,115.6,132.1,0,0
BSA_PE,D,20120621,000000,131.3,157.2,112.5,157.2,0,0
BSA_PE,D,20120622,000000,187.5,223.3,187.5,223.3,0,0
BSA_PE,D,20120625,000000,256.3,256.3,206.3,207.6,0,0
BSA_PE,D,20120626,000000,203.1,225,171.9,191.8,0,0
BSA_PE,D,20120627,000000,193.8,271.9,162.5,225,0,0
BSA_PE,D,20120628,000000,234.4,234.4,187.5,204.4,0,0
BSA_PE,D,20120629,000000,171.9,204.4,171.9,204.4,0,0
BSA_PE,D,20120702,000000,203.1,237.5,203.1,204.4,0,0
BSA_PE,D,20120703,000000,196.9,196.9,162.5,173,0,0
BSA_PE,D,20120704,000000,171.9,171.9,140.6,140.6,0,0
BSA_PE,D,20120705,000000,131.3,157.2,112.5,157.2,0,0
BSA_PE,D,20120706,000000,156.3,156.3,131.3,151,0,0
BSA_PE,D,20120709,000000,150,150,125,141.5,0,0
BSA_PE,D,20120710,000000,125,125.8,112.5,125.8,0,0
BSA_PE,D,20120711,000000,125,125,112.5,113.2,0,0
BSA_PE,D,20120712,000000,109.4,110.1,109.4,110.1,0,0
BSA_PE,D,20120713,000000,109.4,157.2,109.4,157.2,0,0
BSA_PE,D,20120716,000000,165.6,196.9,165.6,182.4,0,0
BSA_PE,D,20120717,000000,187.5,187.5,150,160.4,0,0
BSA_PE,D,20120718,000000,143.8,159.4,128.1,147.8,0,0
BSA_PE,D,20120719,000000,131.3,131.3,118.8,125.8,0,0
BSA_PE,D,20120720,000000,109.4,125.8,100,125.8,0,0
BSA_PE,D,20120723,000000,121.9,143.8,100,106.9,0,0
BSA_PE,D,20120724,000000,115.6,115.6,93.8,110.1,0,0
BSA_PE,D,20120725,000000,93.8,103.1,81.3,88.1,0,0
BSA_PE,D,20120726,000000,84.4,90.6,68.8,69.2,0,0
BSA_PE,D,20120727,000000,68.8,69.2,56.3,69.2,0,0
BSA_PE,D,20120730,000000,78.1,78.1,65.6,69.2,0,0
BSA_PE,D,20120731,000000,71.9,75,65.6,69.2,0,0
BSA_PE,D,20120801,000000,62.5,88.1,56.3,88.1,0,0
BSA_PE,D,20120802,000000,100,106.3,81.3,84.9,0,0
BSA_PE,D,20120803,000000,84.4,84.4,68.8,78.6,0,0
BSA_PE,D,20120806,000000,75,75,62.5,62.5,0,0
BSA_PE,D,20120807,000000,56.3,75.5,56.3,75.5,0,0
BSA_PE,D,20120808,000000,75,75,65.6,66,0,0
BSA_PE,D,20120809,000000,65.6,65.6,53.1,53.5,0,0
BSA_PE,D,20120810,000000,50,59.8,46.9,59.8,0,0
BSA_PE,D,20120813,000000,59.4,62.9,59.4,62.9,0,0
BSA_PE,D,20120814,000000,59.4,59.8,50,59.8,0,0
BSA_PE,D,20120816,000000,53.1,62.9,53.1,62.9,0,0
BSA_PE,D,20120817,000000,62.5,62.5,50,59.8,0,0
BSA_PE,D,20120820,000000,59.4,59.4,53.1,56.6,0,0
BSA_PE,D,20120821,000000,56.3,65.6,50,62.9,0,0
BSA_PE,D,20120822,000000,53.1,71.9,53.1,66,0,0
BSA_PE,D,20120823,000000,68.8,68.8,62.5,66,0,0
BSA_PE,D,20120824,000000,68.8,78.6,68.8,78.6,0,0
BSA_PE,D,20120827,000000,71.9,93.8,24.9,24.9,0,0
BSA_PE,D,20120828,000000,27.5,30,20,24,0,0
BSA_PE,D,20120829,000000,23.1,24.8,20.7,23.2,0,0
BSA_PE,D,20120830,000000,22.3,34,22.3,34,0,0
BSA_PE,D,20120831,000000,34.7,49.7,34.7,49.7,0,0
BSA_PE,D,20120903,000000,52.1,59.6,41.3,59.6,0,0
BSA_PE,D,20120904,000000,61.2,86.8,60.3,81.2,0,0
BSA_PE,D,20120905,000000,89.3,96.7,72.1,72.1,0,0
BSA_PE,D,20120906,000000,67.8,102.7,66.1,102.7,0,0
BSA_PE,D,20120907,000000,105.8,142.5,105.8,142.5,0,0
BSA_PE,D,20120910,000000,143,169.4,140.5,164.8,0,0
BSA_PE,D,20120911,000000,165.3,198.3,165.3,168.2,0,0
BSA_PE,D,20120912,000000,169.4,214.9,138,211.2,0,0
BSA_PE,D,20120913,000000,227.3,227.3,145.5,174,0,0
BSA_PE,D,20120914,000000,186,186,127.6,127.6,0,0
BSA_PE,D,20120917,000000,130.6,144.6,126.4,136.7,0,0
BSA_PE,D,20120918,000000,128.1,163.6,125.6,132.5,0,0
BSA_PE,D,20120919,000000,132.2,132.2,105.8,106,0,0
BSA_PE,D,20120920,000000,109.9,125.6,97.5,104.4,0,0
BSA_PE,D,20120921,000000,114.9,138,114.9,137.5,0,0
BSA_PE,D,20120924,000000,142.1,149.6,139.7,149.1,0,0
BSA_PE,D,20120925,000000,153.7,153.7,134.7,147.5,0,0
BSA_PE,D,20120926,000000,146.3,154.1,140.5,154.1,0,0
BSA_PE,D,20120927,000000,153.7,153.7,131.4,140.8,0,0
BSA_PE,D,20120928,000000,143.8,148.8,115.7,134.2,0,0
BSA_PE,D,20121001,000000,128.1,133.1,113.2,131.7,0,0
BSA_PE,D,20121002,000000,131.4,132.2,114,116,0,0
BSA_PE,D,20121003,000000,115.7,139.2,115.7,139.2,0,0
BSA_PE,D,20121004,000000,143,146.3,119.8,130.1,0,0
BSA_PE,D,20121005,000000,131.4,138,129.8,132.5,0,0
BSA_PE,D,20121008,000000,133.1,140,132.2,140,0,0
BSA_PE,D,20121009,000000,140.5,140.5,125.6,136.7,0,0
BSA_PE,D,20121010,000000,136.4,145.5,135.5,145,0,0
BSA_PE,D,20121011,000000,144.6,146.3,136.4,144.1,0,0
BSA_PE,D,20121012,000000,136.4,142.1,136.4,140.8,0,0
BSA_PE,D,20121015,000000,129.8,139.7,124,124.3,0,0
BSA_PE,D,20121016,000000,134.7,134.7,98.3,98.6,0,0
BSA_PE,D,20121017,000000,107.4,107.4,84.3,89.5,0,0
BSA_PE,D,20121018,000000,90.1,103.3,85.1,95.3,0,0
BSA_PE,D,20121019,000000,95,97.5,84.3,84.5,0,0
BSA_PE,D,20121022,000000,88.4,90.9,84.3,87,0,0
BSA_PE,D,20121023,000000,89.3,89.3,84.3,87,0,0
BSA_PE,D,20121024,000000,93.4,93.4,83.5,84.5,0,0
BSA_PE,D,20121025,000000,86.8,96.9,85.1,96.9,0,0
BSA_PE,D,20121026,000000,86.8,90.1,84.3,85.3,0,0
BSA_PE,D,20121029,000000,85.1,89.3,83.5,85.3,0,0
BSA_PE,D,20121030,000000,89.3,90.1,83.5,88.6,0,0
BSA_PE,D,20121031,000000,88.4,88.4,84.5,84.5,0,0
BSA_PE,D,20121102,000000,85.1,88.4,84.3,84.5,0,0
BSA_PE,D,20121105,000000,83.5,89.3,83.5,83.7,0,0
BSA_PE,D,20121106,000000,86,86.8,83.5,83.7,0,0
BSA_PE,D,20121107,000000,83.5,83.5,50.4,50.5,0,0
BSA_PE,D,20121108,000000,49.6,49.6,28.9,29,0,0
BSA_PE,D,20121109,000000,24.8,42.2,24.8,42.2,0,0
BSA_PE,D,20121112,000000,51.2,59.5,50.4,58,0,0
BSA_PE,D,20121113,000000,60.3,86.2,55.4,86.2,0,0
BSA_PE,D,20121114,000000,90.1,112.4,86,88.6,0,0
BSA_PE,D,20121115,000000,86.8,92.6,71.1,77.9,0,0
BSA_PE,D,20121116,000000,82.6,86,77.7,84.5,0,0
BSA_PE,D,20121119,000000,81.8,116.8,78.5,116.8,0,0
BSA_PE,D,20121120,000000,152.9,156.2,85.3,85.3,0,0
BSA_PE,D,20121121,000000,89.3,121.5,89.3,110.2,0,0
BSA_PE,D,20121122,000000,114.9,115.7,104.1,110.2,0,0
BSA_PE,D,20121123,000000,104.1,109.9,91.7,96.9,0,0
BSA_PE,D,20121126,000000,99.2,99.2,86,87.8,0,0
BSA_PE,D,20121127,000000,84.3,107.4,83.5,101.1,0,0
BSA_PE,D,20121128,000000,105.8,105.8,94.2,99.4,0,0
