<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EEE_MV,D,20121122,000000,12.352,12.352,12.352,12.352,0,0
EEE_MV,D,20121123,000000,12.216,12.352,12.216,12.352,0,0
EEE_MV,D,20121126,000000,12.283,12.283,10.779,11.492,0,0
EEE_MV,D,20121127,000000,11.316,11.316,10.417,10.417,0,0
EEE_MV,D,20121128,000000,10.779,11.023,10.417,11.023,0,0
EEE_MV,D,20121129,000000,11.131,11.131,11.131,11.131,0,0
EEE_MV,D,20121130,000000,10.593,11.854,10.417,11.854,0,0
EEE_MV,D,20121203,000000,11.131,11.131,10.593,11.131,0,0
EEE_MV,D,20121204,000000,10.955,11.316,10.055,11.316,0,0
EEE_MV,D,20121205,000000,10.417,11.492,10.417,11.492,0,0
EEE_MV,D,20121206,000000,11.492,11.854,11.492,11.854,0,0
EEE_MV,D,20121207,000000,11.883,13.29,11.492,13.29,0,0
EEE_MV,D,20121210,000000,12.392,12.392,12.392,12.392,0,0
EEE_MV,D,20121211,000000,12.216,12.216,11.492,12.216,0,0
EEE_MV,D,20121212,000000,11.492,13.29,11.316,13.29,0,0
EEE_MV,D,20121213,000000,13.251,13.427,12.567,12.929,0,0
EEE_MV,D,20121214,000000,12.889,12.889,11.854,12.567,0,0
EEE_MV,D,20121217,000000,12.567,13.29,12.567,13.29,0,0
EEE_MV,D,20121218,000000,13.29,13.29,12.567,13.183,0,0
EEE_MV,D,20121219,000000,13.183,13.427,12.753,13.427,0,0
EEE_MV,D,20121220,000000,12.645,13.427,12.645,13.29,0,0
EEE_MV,D,20121221,000000,12.929,13.183,12.352,13.183,0,0
EEE_MV,D,20121227,000000,13.251,13.251,13.251,13.251,0,0
EEE_MV,D,20121228,000000,13.212,13.574,12.567,13.534,0,0
EEE_MV,D,20130102,000000,13.534,13.534,12.216,12.538,0,0
EEE_MV,D,20130103,000000,12.567,12.567,12.567,12.567,0,0
EEE_MV,D,20130107,000000,12.567,12.889,12.216,12.567,0,0
EEE_MV,D,20130111,000000,12.216,12.392,12.069,12.392,0,0
EEE_MV,D,20130114,000000,12.03,12.03,11.492,11.814,0,0
EEE_MV,D,20130115,000000,11.854,12.567,11.854,12.567,0,0
EEE_MV,D,20130116,000000,12.392,12.392,12.392,12.392,0,0
EEE_MV,D,20130117,000000,12.352,12.392,12.03,12.03,0,0
EEE_MV,D,20130118,000000,12.03,12.03,12.03,12.03,0,0
EEE_MV,D,20130121,000000,11.854,11.854,11.854,11.854,0,0
EEE_MV,D,20130123,000000,11.385,12.567,11.385,12.567,0,0
EEE_MV,D,20130124,000000,12.567,12.567,11.492,11.492,0,0
EEE_MV,D,20130128,000000,11.492,11.492,11.492,11.492,0,0
EEE_MV,D,20130129,000000,11.316,11.316,11.316,11.316,0,0
EEE_MV,D,20130201,000000,10.955,10.955,10.955,10.955,0,0
EEE_MV,D,20130204,000000,10.779,10.779,10.779,10.779,0,0
EEE_MV,D,20130205,000000,11.102,11.131,11.102,11.131,0,0
EEE_MV,D,20130207,000000,11.131,11.131,11.131,11.131,0,0
EEE_MV,D,20130208,000000,11.238,11.492,10.886,10.886,0,0
EEE_MV,D,20130212,000000,10.779,10.779,10.779,10.779,0,0
EEE_MV,D,20130213,000000,10.955,10.955,10.955,10.955,0,0
EEE_MV,D,20130214,000000,10.955,10.955,10.955,10.955,0,0
EEE_MV,D,20130215,000000,10.955,10.955,10.955,10.955,0,0
EEE_MV,D,20130218,000000,10.955,10.955,10.955,10.955,0,0
EEE_MV,D,20130219,000000,10.955,10.955,10.955,10.955,0,0
EEE_MV,D,20130220,000000,10.955,10.955,10.955,10.955,0,0
EEE_MV,D,20130221,000000,10.955,10.955,10.955,10.955,0,0
EEE_MV,D,20130222,000000,10.955,10.955,10.955,10.955,0,0
EEE_MV,D,20130225,000000,10.955,10.955,10.955,10.955,0,0
EEE_MV,D,20130226,000000,10.955,10.955,10.955,10.955,0,0
EEE_MV,D,20130228,000000,10.993,11.131,10.993,11.131,0,0
EEE_MV,D,20130301,000000,11.131,11.316,11.131,11.316,0,0
EEE_MV,D,20130304,000000,11.316,11.492,10.955,10.955,0,0
EEE_MV,D,20130305,000000,11.062,11.492,10.847,11.278,0,0
EEE_MV,D,20130306,000000,11.131,11.316,11.131,11.316,0,0
EEE_MV,D,20130307,000000,11.278,11.345,11.169,11.345,0,0
