<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIG_MOTO,D,20170102,000000,5185.17,5212.35,5080.07,5086.31,80948,0
WIG_MOTO,D,20170103,000000,5138.74,5179.33,5111.73,5163.93,63518,0
WIG_MOTO,D,20170104,000000,5199.95,5200.07,5145.48,5145.48,85554,0
WIG_MOTO,D,20170105,000000,5173.05,5191.26,5108.65,5123.21,242407,0
WIG_MOTO,D,20170109,000000,5134,5157.36,5099.74,5105.94,215494,0
WIG_MOTO,D,20170110,000000,5124.32,5170.44,5108.75,5140.61,205566,0
WIG_MOTO,D,20170111,000000,5157.02,5243.04,5156.39,5210.55,357955,0
WIG_MOTO,D,20170112,000000,5221.88,5242.61,5151.19,5169.83,196082,0
WIG_MOTO,D,20170113,000000,5172.91,5213,5155.51,5208.25,75287,0
WIG_MOTO,D,20170116,000000,5190.98,5246.39,5190.98,5234.71,48274,0
WIG_MOTO,D,20170117,000000,5247.81,5308.71,5223.24,5307.96,98189,0
WIG_MOTO,D,20170118,000000,5308.06,5340.73,5275.57,5314.37,1292282,0
WIG_MOTO,D,20170119,000000,5318.59,5326.58,5286.74,5310.81,262038,0
WIG_MOTO,D,20170120,000000,5313.9,5432.25,5313.9,5432.25,197244,0
WIG_MOTO,D,20170123,000000,5431.73,5455.44,5376.79,5425.41,86381,0
WIG_MOTO,D,20170124,000000,5423.46,5483.53,5392.52,5455.47,291681,0
WIG_MOTO,D,20170125,000000,5485.49,5605.12,5485.49,5569.32,245809,0
WIG_MOTO,D,20170126,000000,5596.28,5597.4,5513.45,5537,126658,0
WIG_MOTO,D,20170127,000000,5578.59,5578.59,5492.53,5557.85,63105,0
WIG_MOTO,D,20170130,000000,5555.33,5566.18,5526.9,5552.54,108764,0
WIG_MOTO,D,20170131,000000,5551.52,5569.32,5521.8,5555.74,146913,0
WIG_MOTO,D,20170201,000000,5558.57,5576.46,5529.47,5538.05,51978,0
WIG_MOTO,D,20170202,000000,5551.36,5558.66,5416.37,5433.72,38789,0
WIG_MOTO,D,20170203,000000,5424.4,5424.57,5322.74,5366.56,75076,0
WIG_MOTO,D,20170206,000000,5376.35,5417.77,5352.25,5373.26,89205,0
WIG_MOTO,D,20170207,000000,5349.46,5351.91,5306.66,5310.89,96295,0
WIG_MOTO,D,20170208,000000,5364.74,5364.74,5332.73,5348.16,61558,0
WIG_MOTO,D,20170209,000000,5385.65,5511.31,5372.83,5509.27,199684,0
WIG_MOTO,D,20170210,000000,5544.34,5565.69,5511.5,5548.26,74635,0
WIG_MOTO,D,20170213,000000,5542.59,5547.09,5476.15,5486.08,75705,0
WIG_MOTO,D,20170214,000000,5487.97,5548.53,5487.48,5548.53,640346,0
WIG_MOTO,D,20170215,000000,5541.68,5546.1,5501.89,5527.19,577466,0
WIG_MOTO,D,20170216,000000,5544.22,5600.85,5544.22,5594.99,177201,0
WIG_MOTO,D,20170217,000000,5609.03,5621.76,5555.99,5555.99,115095,0
WIG_MOTO,D,20170220,000000,5587.04,5598.03,5558.72,5572.76,68552,0
WIG_MOTO,D,20170221,000000,5592.39,5648.18,5592.34,5642.83,134605,0
WIG_MOTO,D,20170222,000000,5658.93,5682.68,5632.39,5665.74,67796,0
WIG_MOTO,D,20170223,000000,5680.68,5699.76,5639.35,5654.53,246797,0
WIG_MOTO,D,20170224,000000,5674.32,5687.05,5592.92,5649.54,577633,0
WIG_MOTO,D,20170227,000000,5669.6,5689.38,5608.83,5689.38,1421256,0
WIG_MOTO,D,20170228,000000,5695.06,5714.08,5652.41,5677.46,483180,0
WIG_MOTO,D,20170301,000000,5635.21,5793.24,5635.21,5770.22,1090199,0
WIG_MOTO,D,20170302,000000,5758.71,5799.96,5734.34,5741.62,1354215,0
WIG_MOTO,D,20170303,000000,5727.71,5748.49,5708.88,5721.41,280515,0
WIG_MOTO,D,20170306,000000,5749.68,5755.86,5697.21,5737.35,223178,0
WIG_MOTO,D,20170307,000000,5754.98,5755.12,5641.69,5695.87,448416,0
WIG_MOTO,D,20170308,000000,5713.5,5720.32,5584.02,5584.02,295607,0
WIG_MOTO,D,20170309,000000,5585.56,5653.56,5494.57,5497.61,155247,0
WIG_MOTO,D,20170310,000000,5588.08,5588.72,5494.74,5494.74,890490,0
WIG_MOTO,D,20170313,000000,5517.26,5610.01,5508.84,5540.07,552139,0
WIG_MOTO,D,20170314,000000,5594.99,5611.68,5535.02,5554.09,213466,0
WIG_MOTO,D,20170315,000000,5572.33,5714.62,5571.42,5644.52,1888361,0
WIG_MOTO,D,20170316,000000,5710.97,5801.77,5706.23,5781.03,953669,0
WIG_MOTO,D,20170317,000000,5779.75,5795.8,5656.24,5692.45,430962,0
WIG_MOTO,D,20170320,000000,5729.12,5738.52,5578.6,5653.18,756064,0
WIG_MOTO,D,20170321,000000,5622.06,5622.06,5492.73,5492.73,397358,0
WIG_MOTO,D,20170322,000000,5471.86,5497.43,5404.95,5472.67,236143,0
WIG_MOTO,D,20170323,000000,5437.58,5494.7,5426.35,5451.41,710333,0
WIG_MOTO,D,20170324,000000,5462.97,5466.33,5387.64,5431.4,203133,0
WIG_MOTO,D,20170327,000000,5387,5418.4,5383.01,5388.51,68858,0
WIG_MOTO,D,20170328,000000,5390.63,5442.1,5390.63,5404.68,89274,0
WIG_MOTO,D,20170329,000000,5437.28,5478.16,5415.21,5428.5,234161,0
WIG_MOTO,D,20170330,000000,5424.84,5427.43,5386.04,5414.3,144609,0
WIG_MOTO,D,20170331,000000,5459.92,5466.74,5401.89,5457.59,127817,0
WIG_MOTO,D,20170403,000000,5452.59,5470.42,5433.94,5458.49,95348,0
WIG_MOTO,D,20170404,000000,5453.67,5508.3,5453.6,5461.53,74362,0
WIG_MOTO,D,20170405,000000,5485.65,5485.65,5462.62,5463.59,136149,0
WIG_MOTO,D,20170406,000000,5444.14,5457.27,5426.71,5441.91,715882,0
WIG_MOTO,D,20170407,000000,5455.39,5507.64,5435.45,5504.13,126551,0
WIG_MOTO,D,20170410,000000,5486.38,5532.54,5441.48,5447.42,228761,0
WIG_MOTO,D,20170411,000000,5472.1,5481.43,5380.55,5386.18,183910,0
WIG_MOTO,D,20170412,000000,5420.05,5420.05,5384.48,5404.46,128789,0
WIG_MOTO,D,20170413,000000,5401.19,5465.53,5395.6,5395.6,132209,0
WIG_MOTO,D,20170418,000000,5476.77,5478.64,5383,5416.87,308538,0
WIG_MOTO,D,20170419,000000,5449.05,5480.45,5427.88,5471.55,171587,0
WIG_MOTO,D,20170420,000000,5467.03,5484.3,5447.77,5484.3,191454,0
WIG_MOTO,D,20170421,000000,5486.68,5489.8,5423.71,5445.87,222429,0
WIG_MOTO,D,20170424,000000,5477.65,5531.51,5448.29,5531.51,277357,0
WIG_MOTO,D,20170425,000000,5551.44,5551.44,5486.24,5502.2,110168,0
WIG_MOTO,D,20170426,000000,5518.15,5561.22,5502.89,5557.1,324299,0
WIG_MOTO,D,20170427,000000,5539.02,5558.51,5472.58,5550.55,251988,0
WIG_MOTO,D,20170428,000000,5603.02,5603.02,5484.97,5549.33,541318,0
WIG_MOTO,D,20170502,000000,5584.06,5635.57,5563.99,5619.53,160905,0
WIG_MOTO,D,20170504,000000,5632.14,5633.9,5544.06,5586.35,261184,0
WIG_MOTO,D,20170505,000000,5554.92,5621.84,5543.27,5621.84,644564,0
WIG_MOTO,D,20170508,000000,5619.51,5715.31,5585.89,5694.11,324670,0
WIG_MOTO,D,20170509,000000,5734.54,5852.34,5701.48,5701.48,267110,0
WIG_MOTO,D,20170510,000000,5637.79,5702.17,5628,5702.17,267093,0
WIG_MOTO,D,20170511,000000,5702.89,5740.46,5651.92,5680.56,537433,0
WIG_MOTO,D,20170512,000000,5657.05,5693.82,5649.72,5682.29,280100,0
WIG_MOTO,D,20170515,000000,5680.47,5697.61,5646.91,5654.06,94005,0
WIG_MOTO,D,20170516,000000,5702.02,5711.22,5597.14,5612.54,81850,0
WIG_MOTO,D,20170517,000000,5561.91,5609.32,5545.06,5605.35,103652,0
WIG_MOTO,D,20170518,000000,5601.61,5610.03,5491.98,5610.03,174771,0
WIG_MOTO,D,20170519,000000,5607.95,5705.33,5607.53,5705.33,119402,0
WIG_MOTO,D,20170522,000000,5715.23,5773.72,5671.14,5773.72,49083,0
WIG_MOTO,D,20170523,000000,5710.77,5736.99,5700.15,5718.57,71170,0
WIG_MOTO,D,20170524,000000,5696.67,5756.78,5663.89,5756.78,629610,0
WIG_MOTO,D,20170525,000000,5781.13,5807.08,5756.44,5807.08,623145,0
WIG_MOTO,D,20170526,000000,5766.23,5835.27,5764.48,5814.15,32347,0
WIG_MOTO,D,20170529,000000,5800.86,5802.48,5770.47,5797.37,40833,0
WIG_MOTO,D,20170530,000000,5786.77,5803.99,5750.6,5795.06,922334,0
WIG_MOTO,D,20170531,000000,5780.97,5950.11,5767.69,5950.11,175059,0
WIG_MOTO,D,20170601,000000,5927.51,5937.91,5800.56,5828.38,151712,0
WIG_MOTO,D,20170602,000000,5845.54,5852.61,5807.58,5817.26,622488,0
WIG_MOTO,D,20170605,000000,5873.02,5886.76,5790.92,5873.09,167607,0
WIG_MOTO,D,20170606,000000,5878.84,5880.06,5813.48,5854.63,329999,0
WIG_MOTO,D,20170607,000000,5856.97,5856.97,5760.34,5764.43,2177853,0
WIG_MOTO,D,20170608,000000,5816.6,5816.6,5765.2,5775.78,700238,0
WIG_MOTO,D,20170609,000000,5788.91,5788.96,5740.59,5754.85,411598,0
WIG_MOTO,D,20170612,000000,5749.83,5769.52,5691.69,5699.26,117563,0
WIG_MOTO,D,20170613,000000,5702.3,5707.55,5666.5,5686.8,84482,0
WIG_MOTO,D,20170614,000000,5751.28,5751.95,5641.05,5641.05,702871,0
WIG_MOTO,D,20170616,000000,5661.11,5688.47,5594.02,5659.32,404193,0
WIG_MOTO,D,20170619,000000,5678.53,5736.06,5658.2,5736.06,39388,0
WIG_MOTO,D,20170620,000000,5711.22,5765.81,5711.22,5747.72,100951,0
WIG_MOTO,D,20170621,000000,5728.12,5813.7,5695.23,5809.73,18260,0
WIG_MOTO,D,20170622,000000,5802.28,5811.64,5765.69,5801.88,16774,0
WIG_MOTO,D,20170623,000000,5828.25,5828.25,5715.82,5806.63,15289,0
WIG_MOTO,D,20170626,000000,5829.46,5829.46,5739.85,5778.92,235933,0
WIG_MOTO,D,20170627,000000,5834.59,5834.59,5734.67,5776.34,45268,0
WIG_MOTO,D,20170628,000000,5738.19,5786.6,5591.35,5660.93,43785,0
WIG_MOTO,D,20170629,000000,5669.62,5707.36,5626.55,5707.36,83343,0
WIG_MOTO,D,20170630,000000,5695.98,5764.16,5642.2,5764.16,160450,0
WIG_MOTO,D,20170703,000000,5731.13,5734.12,5708.37,5716.95,14727,0
WIG_MOTO,D,20170704,000000,5711.19,5711.19,5645.72,5645.72,121623,0
WIG_MOTO,D,20170705,000000,5684.43,5700.97,5591.43,5601.8,61049,0
WIG_MOTO,D,20170706,000000,5600.19,5635,5594.49,5595.52,75128,0
WIG_MOTO,D,20170707,000000,5641.2,5641.2,5570.56,5570.56,39525,0
WIG_MOTO,D,20170710,000000,5494.45,5544.87,5480.29,5502.74,76696,0
WIG_MOTO,D,20170711,000000,5525.63,5528.45,5465.45,5469.26,227451,0
WIG_MOTO,D,20170712,000000,5476.61,5501.17,5451.06,5459.48,43160,0
WIG_MOTO,D,20170713,000000,5457.05,5486.32,5421.79,5421.79,99582,0
